数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/21,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/20,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/17,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/16,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/15,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/14,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/13,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/10,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/09,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/08,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/07,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/06,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/03,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/02,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/01,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/30,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/29,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/26,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/25,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/24,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/23,硝酸,东北地区,东北,1200,1250,1225,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/22,硝酸,东北地区,东北,1200,1250,1225,-100,-7.55%,元/吨,,Nitric_Acid_Domestic,3
2026/06/18,硝酸,东北地区,东北,1300,1350,1325,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/17,硝酸,东北地区,东北,1300,1350,1325,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/16,硝酸,东北地区,东北,1300,1350,1325,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/15,硝酸,东北地区,东北,1300,1350,1325,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/12,硝酸,东北地区,东北,1300,1350,1325,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/11,硝酸,东北地区,东北,1300,1350,1325,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/10,硝酸,东北地区,东北,1300,1350,1325,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/09,硝酸,东北地区,东北,1300,1350,1325,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/08,硝酸,东北地区,东北,1300,1350,1325,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/05,硝酸,东北地区,东北,1300,1350,1325,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/04,硝酸,东北地区,东北,1300,1350,1325,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/03,硝酸,东北地区,东北,1300,1350,1325,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/02,硝酸,东北地区,东北,1300,1350,1325,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/01,硝酸,东北地区,东北,1300,1350,1325,-100,-7.02%,元/吨,,Nitric_Acid_Domestic,3
2026/05/29,硝酸,东北地区,东北,1400,1450,1425,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/28,硝酸,东北地区,东北,1400,1450,1425,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/27,硝酸,东北地区,东北,1400,1450,1425,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/26,硝酸,东北地区,东北,1400,1450,1425,-50,-3.39%,元/吨,,Nitric_Acid_Domestic,3
2026/05/25,硝酸,东北地区,东北,1450,1500,1475,-50,-3.28%,元/吨,,Nitric_Acid_Domestic,3
2026/05/22,硝酸,东北地区,东北,1500,1550,1525,-225,-12.86%,元/吨,,Nitric_Acid_Domestic,3
2026/05/21,硝酸,东北地区,东北,1700,1800,1750,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/20,硝酸,东北地区,东北,1700,1800,1750,0,0%,元/吨,送到价,Nitric_Acid_Domestic,3
