数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/07,硝酸,山东省,山东,6.7,8,7.3,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/07/06,硝酸,山东省,山东,6.7,8,7.3,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/07/03,硝酸,山东省,山东,6.7,8,7.3,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/07/02,硝酸,山东省,山东,6.7,8,7.3,-0.3,-3.95%,元/度,,Nitric_Acid_Domestic,3
2026/07/01,硝酸,山东省,山东,7.2,8,7.6,0.5,7.04%,元/度,,Nitric_Acid_Domestic,3
2026/06/30,硝酸,山东省,山东,6.7,7.5,7.1,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/29,硝酸,山东省,山东,6.7,7.5,7.1,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/26,硝酸,山东省,山东,6.7,7.5,7.1,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/25,硝酸,山东省,山东,6.7,7.5,7.1,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/24,硝酸,山东省,山东,6.7,7.5,7.1,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/23,硝酸,山东省,山东,6.7,7.5,7.1,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/22,硝酸,山东省,山东,6.7,7.5,7.1,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/18,硝酸,山东省,山东,6.7,7.5,7.1,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/17,硝酸,山东省,山东,6.7,7.5,7.1,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/16,硝酸,山东省,山东,6.7,7.5,7.1,-0.2,-2.74%,元/度,,Nitric_Acid_Domestic,3
2026/06/15,硝酸,山东省,山东,7.2,7.5,7.3,-0.5,-6.41%,元/度,,Nitric_Acid_Domestic,3
2026/06/12,硝酸,山东省,山东,7.5,8,7.8,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/11,硝酸,山东省,山东,7.5,8,7.8,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/10,硝酸,山东省,山东,7.5,8,7.8,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/09,硝酸,山东省,山东,7.5,8,7.8,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/08,硝酸,山东省,山东,7.5,8,7.8,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/05,硝酸,山东省,山东,7.5,8,7.8,-0.1,-1.27%,元/度,,Nitric_Acid_Domestic,3
2026/06/04,硝酸,山东省,山东,7.5,8.3,7.9,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/03,硝酸,山东省,山东,7.5,8.3,7.9,-0.5,-5.95%,元/度,,Nitric_Acid_Domestic,3
2026/06/02,硝酸,山东省,山东,8,8.8,8.4,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/06/01,硝酸,山东省,山东,8,8.8,8.4,-0.1,-1.18%,元/度,,Nitric_Acid_Domestic,3
2026/05/29,硝酸,山东省,山东,8,9,8.5,-0.3,-3.41%,元/度,,Nitric_Acid_Domestic,3
2026/05/28,硝酸,山东省,山东,8.5,9,8.8,-0.1,-1.12%,元/度,,Nitric_Acid_Domestic,3
2026/05/27,硝酸,山东省,山东,8.5,9.3,8.9,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/05/26,硝酸,山东省,山东,8.5,9.3,8.9,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/05/25,硝酸,山东省,山东,8.5,9.3,8.9,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/05/22,硝酸,山东省,山东,8.5,9.3,8.9,-0.3,-3.26%,元/度,,Nitric_Acid_Domestic,3
2026/05/21,硝酸,山东省,山东,8.5,9.8,9.2,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/05/20,硝酸,山东省,山东,8.5,9.8,9.2,-0.4,-4.17%,元/度,,Nitric_Acid_Domestic,3
2026/05/19,硝酸,山东省,山东,9.2,10,9.6,-0.2,-2.04%,元/度,,Nitric_Acid_Domestic,3
2026/05/18,硝酸,山东省,山东,9.2,10.5,9.8,-0.7,-6.67%,元/度,,Nitric_Acid_Domestic,3
2026/05/15,硝酸,山东省,山东,10,11,10.5,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/05/14,硝酸,山东省,山东,10,11,10.5,-0.5,-4.55%,元/度,,Nitric_Acid_Domestic,3
2026/05/13,硝酸,山东省,山东,10.5,11.5,11,0,0%,元/度,,Nitric_Acid_Domestic,3
2026/05/12,硝酸,山东省,山东,10.5,11.5,11,0,0%,元/度,,Nitric_Acid_Domestic,3
