数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/13,硝酸,河南省,河南,380,440,410,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/10,硝酸,河南省,河南,380,440,410,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/09,硝酸,河南省,河南,380,440,410,-10,-2.38%,元/吨,,Nitric_Acid_Domestic,3
2026/07/08,硝酸,河南省,河南,400,440,420,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/07,硝酸,河南省,河南,400,440,420,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/06,硝酸,河南省,河南,400,440,420,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/03,硝酸,河南省,河南,400,440,420,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/02,硝酸,河南省,河南,400,440,420,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/01,硝酸,河南省,河南,400,440,420,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/30,硝酸,河南省,河南,400,440,420,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/29,硝酸,河南省,河南,400,440,420,5,1.2%,元/吨,,Nitric_Acid_Domestic,3
2026/06/26,硝酸,河南省,河南,390,440,415,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/25,硝酸,河南省,河南,390,440,415,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/24,硝酸,河南省,河南,390,440,415,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/23,硝酸,河南省,河南,390,440,415,-10,-2.35%,元/吨,,Nitric_Acid_Domestic,3
2026/06/22,硝酸,河南省,河南,400,450,425,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/18,硝酸,河南省,河南,400,450,425,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/17,硝酸,河南省,河南,400,450,425,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/16,硝酸,河南省,河南,400,450,425,-10,-2.3%,元/吨,,Nitric_Acid_Domestic,3
2026/06/15,硝酸,河南省,河南,420,450,435,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/12,硝酸,河南省,河南,420,450,435,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/11,硝酸,河南省,河南,420,450,435,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/10,硝酸,河南省,河南,420,450,435,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/09,硝酸,河南省,河南,420,450,435,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/08,硝酸,河南省,河南,420,450,435,-15,-3.33%,元/吨,,Nitric_Acid_Domestic,3
2026/06/05,硝酸,河南省,河南,420,480,450,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/04,硝酸,河南省,河南,420,480,450,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/03,硝酸,河南省,河南,420,480,450,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/02,硝酸,河南省,河南,420,480,450,-25,-5.26%,元/吨,,Nitric_Acid_Domestic,3
2026/06/01,硝酸,河南省,河南,450,500,475,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/29,硝酸,河南省,河南,450,500,475,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/28,硝酸,河南省,河南,450,500,475,-15,-3.06%,元/吨,,Nitric_Acid_Domestic,3
2026/05/27,硝酸,河南省,河南,480,500,490,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/26,硝酸,河南省,河南,480,500,490,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/25,硝酸,河南省,河南,480,500,490,-15,-2.97%,元/吨,,Nitric_Acid_Domestic,3
2026/05/22,硝酸,河南省,河南,480,530,505,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/21,硝酸,河南省,河南,480,530,505,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/20,硝酸,河南省,河南,480,530,505,-20,-3.81%,元/吨,,Nitric_Acid_Domestic,3
2026/05/19,硝酸,河南省,河南,500,550,525,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/18,硝酸,河南省,河南,500,550,525,-10,-1.87%,元/吨,,Nitric_Acid_Domestic,3
2026/05/15,硝酸,河南省,河南,520,550,535,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/14,硝酸,河南省,河南,520,550,535,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/13,硝酸,河南省,河南,520,550,535,-25,-4.46%,元/吨,,Nitric_Acid_Domestic,3
2026/05/12,硝酸,河南省,河南,550,570,560,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/11,硝酸,河南省,河南,550,570,560,-10,-1.75%,元/吨,,Nitric_Acid_Domestic,3
2026/05/09,硝酸,河南省,河南,560,580,570,-10,-1.72%,元/吨,,Nitric_Acid_Domestic,3
2026/05/08,硝酸,河南省,河南,560,600,580,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/07,硝酸,河南省,河南,560,600,580,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/05/06,硝酸,河南省,河南,560,600,580,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/04/30,硝酸,河南省,河南,560,600,580,0,0%,元/吨,,Nitric_Acid_Domestic,3
