数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/13,硝酸,安徽省,皖北,1070,1150,1110,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/10,硝酸,安徽省,皖北,1070,1150,1110,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/09,硝酸,安徽省,皖北,1070,1150,1110,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/08,硝酸,安徽省,皖北,1070,1150,1110,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/07,硝酸,安徽省,皖北,1070,1150,1110,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/06,硝酸,安徽省,皖北,1070,1150,1110,-40,-3.48%,元/吨,,Nitric_Acid_Domestic,3
2026/07/03,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/02,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/07/01,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/30,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/29,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/26,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/25,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/24,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/23,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/22,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/18,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/17,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/16,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/15,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/12,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/11,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/10,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/09,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/08,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/05,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
2026/06/04,硝酸,安徽省,皖北,1100,1200,1150,0,0%,元/吨,,Nitric_Acid_Domestic,3
