数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/17,辛醇,东北地区,东北,7300,7300,7300,100,1.39%,元/吨,,Octanol_Domestic,3
2026/07/16,辛醇,东北地区,东北,7200,7200,7200,0,0%,元/吨,,Octanol_Domestic,3
2026/07/15,辛醇,东北地区,东北,7200,7200,7200,200,2.86%,元/吨,,Octanol_Domestic,3
2026/07/14,辛醇,东北地区,东北,7000,7000,7000,100,1.45%,元/吨,,Octanol_Domestic,3
2026/07/13,辛醇,东北地区,东北,6900,6900,6900,0,0%,元/吨,,Octanol_Domestic,3
2026/07/10,辛醇,东北地区,东北,6900,6900,6900,100,1.47%,元/吨,,Octanol_Domestic,3
2026/07/09,辛醇,东北地区,东北,6800,6800,6800,200,3.03%,元/吨,,Octanol_Domestic,3
2026/07/08,辛醇,东北地区,东北,6600,6600,6600,100,1.54%,元/吨,,Octanol_Domestic,3
2026/07/07,辛醇,东北地区,东北,6500,6500,6500,0,0%,元/吨,,Octanol_Domestic,3
2026/07/06,辛醇,东北地区,东北,6500,6500,6500,-100,-1.52%,元/吨,,Octanol_Domestic,3
2026/07/03,辛醇,东北地区,东北,6600,6600,6600,-200,-2.94%,元/吨,,Octanol_Domestic,3
2026/07/02,辛醇,东北地区,东北,6800,6800,6800,-200,-2.86%,元/吨,,Octanol_Domestic,3
2026/07/01,辛醇,东北地区,东北,7000,7000,7000,-100,-1.41%,元/吨,,Octanol_Domestic,3
2026/06/30,辛醇,东北地区,东北,7100,7100,7100,-150,-2.07%,元/吨,,Octanol_Domestic,3
2026/06/29,辛醇,东北地区,东北,7250,7250,7250,-200,-2.68%,元/吨,,Octanol_Domestic,3
2026/06/26,辛醇,东北地区,东北,7400,7500,7450,-50,-0.67%,元/吨,,Octanol_Domestic,3
2026/06/25,辛醇,东北地区,东北,7500,7500,7500,-175,-2.28%,元/吨,,Octanol_Domestic,3
2026/06/24,辛醇,东北地区,东北,7650,7700,7675,-25,-0.32%,元/吨,,Octanol_Domestic,3
2026/06/23,辛醇,东北地区,东北,7700,7700,7700,0,0%,元/吨,,Octanol_Domestic,3
2026/06/22,辛醇,东北地区,东北,7700,7700,7700,0,0%,元/吨,,Octanol_Domestic,3
