数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/17,辛醇,华北地区,山东,7300,7300,7300,100,1.39%,元/吨,,Octanol_Domestic,3
2026/07/16,辛醇,华北地区,山东,7200,7200,7200,50,0.7%,元/吨,,Octanol_Domestic,3
2026/07/15,辛醇,华北地区,山东,7100,7200,7150,150,2.14%,元/吨,,Octanol_Domestic,3
2026/07/14,辛醇,华北地区,山东,7000,7000,7000,100,1.45%,元/吨,,Octanol_Domestic,3
2026/07/13,辛醇,华北地区,山东,6900,6900,6900,0,0%,元/吨,,Octanol_Domestic,3
2026/07/10,辛醇,华北地区,山东,6900,6900,6900,100,1.47%,元/吨,,Octanol_Domestic,3
2026/07/09,辛醇,华北地区,山东,6800,6800,6800,200,3.03%,元/吨,,Octanol_Domestic,3
2026/07/08,辛醇,华北地区,山东,6600,6600,6600,100,1.54%,元/吨,,Octanol_Domestic,3
2026/07/07,辛醇,华北地区,山东,6500,6500,6500,0,0%,元/吨,,Octanol_Domestic,3
2026/07/06,辛醇,华北地区,山东,6500,6500,6500,-100,-1.52%,元/吨,,Octanol_Domestic,3
2026/07/03,辛醇,华北地区,山东,6600,6600,6600,-200,-2.94%,元/吨,,Octanol_Domestic,3
2026/07/02,辛醇,华北地区,山东,6800,6800,6800,-250,-3.55%,元/吨,,Octanol_Domestic,3
2026/07/01,辛醇,华北地区,山东,7000,7100,7050,-100,-1.4%,元/吨,,Octanol_Domestic,3
2026/06/30,辛醇,华北地区,山东,7100,7200,7150,-125,-1.72%,元/吨,,Octanol_Domestic,3
2026/06/29,辛醇,华北地区,山东,7250,7300,7275,-175,-2.35%,元/吨,,Octanol_Domestic,3
2026/06/26,辛醇,华北地区,山东,7400,7500,7450,-50,-0.67%,元/吨,,Octanol_Domestic,3
2026/06/25,辛醇,华北地区,山东,7500,7500,7500,-150,-1.96%,元/吨,,Octanol_Domestic,3
2026/06/24,辛醇,华北地区,山东,7650,7650,7650,-50,-0.65%,元/吨,,Octanol_Domestic,3
2026/06/23,辛醇,华北地区,山东,7700,7700,7700,0,0%,元/吨,,Octanol_Domestic,3
2026/06/22,辛醇,华北地区,山东,7700,7700,7700,0,0%,元/吨,,Octanol_Domestic,3
2026/06/18,辛醇,华北地区,山东,7700,7700,7700,-250,-3.14%,元/吨,,Octanol_Domestic,3
2026/06/17,辛醇,华北地区,山东,7900,8000,7950,-25,-0.31%,元/吨,,Octanol_Domestic,3
2026/06/16,辛醇,华北地区,山东,7950,8000,7975,0,0%,元/吨,,Octanol_Domestic,3
2026/06/15,辛醇,华北地区,山东,7950,8000,7975,-125,-1.54%,元/吨,,Octanol_Domestic,3
2026/06/12,辛醇,华北地区,山东,8100,8100,8100,0,0%,元/吨,,Octanol_Domestic,3
2026/06/11,辛醇,华北地区,山东,8100,8100,8100,0,0%,元/吨,,Octanol_Domestic,3
2026/06/10,辛醇,华北地区,山东,8100,8100,8100,0,0%,元/吨,,Octanol_Domestic,3
2026/06/09,辛醇,华北地区,山东,8100,8100,8100,0,0%,元/吨,,Octanol_Domestic,3
2026/06/08,辛醇,华北地区,山东,8100,8100,8100,100,1.25%,元/吨,,Octanol_Domestic,3
2026/06/05,辛醇,华北地区,山东,8000,8000,8000,0,0%,元/吨,,Octanol_Domestic,3
2026/06/04,辛醇,华北地区,山东,8000,8000,8000,100,1.27%,元/吨,,Octanol_Domestic,3
2026/06/03,辛醇,华北地区,山东,7900,7900,7900,0,0%,元/吨,,Octanol_Domestic,3
2026/06/02,辛醇,华北地区,山东,7900,7900,7900,50,0.64%,元/吨,,Octanol_Domestic,3
2026/06/01,辛醇,华北地区,山东,7800,7900,7850,0,0%,元/吨,,Octanol_Domestic,3
2026/05/29,辛醇,华北地区,山东,7800,7900,7850,0,0%,元/吨,,Octanol_Domestic,3
2026/05/28,辛醇,华北地区,山东,7800,7900,7850,-50,-0.63%,元/吨,,Octanol_Domestic,3
2026/05/27,辛醇,华北地区,山东,7900,7900,7900,0,0%,元/吨,,Octanol_Domestic,3
2026/05/26,辛醇,华北地区,山东,7900,7900,7900,0,0%,元/吨,,Octanol_Domestic,3
2026/05/25,辛醇,华北地区,山东,7900,7900,7900,50,0.64%,元/吨,,Octanol_Domestic,3
2026/05/22,辛醇,华北地区,山东,7800,7900,7850,0,0%,元/吨,,Octanol_Domestic,3
2026/05/21,辛醇,华北地区,山东,7800,7900,7850,0,0%,元/吨,,Octanol_Domestic,3
2026/05/20,辛醇,华北地区,山东,7800,7900,7850,0,0%,元/吨,,Octanol_Domestic,3
2026/05/19,辛醇,华北地区,山东,7800,7900,7850,-50,-0.63%,元/吨,,Octanol_Domestic,3
2026/05/18,辛醇,华北地区,山东,7800,8000,7900,-300,-3.66%,元/吨,,Octanol_Domestic,3
2026/05/15,辛醇,华北地区,山东,8200,8200,8200,-100,-1.2%,元/吨,,Octanol_Domestic,3
2026/05/14,辛醇,华北地区,山东,8300,8300,8300,-50,-0.6%,元/吨,,Octanol_Domestic,3
2026/05/13,辛醇,华北地区,山东,8300,8400,8350,-200,-2.34%,元/吨,,Octanol_Domestic,3
2026/05/12,辛醇,华北地区,山东,8500,8600,8550,-150,-1.72%,元/吨,,Octanol_Domestic,3
2026/05/11,辛醇,华北地区,山东,8700,8700,8700,-150,-1.69%,元/吨,,Octanol_Domestic,3
2026/05/09,辛醇,华北地区,山东,8800,8900,8850,0,0%,元/吨,,Octanol_Domestic,3
2026/05/08,辛醇,华北地区,山东,8800,8900,8850,0,0%,元/吨,,Octanol_Domestic,3
2026/05/07,辛醇,华北地区,山东,8800,8900,8850,50,0.57%,元/吨,,Octanol_Domestic,3
2026/05/06,辛醇,华北地区,山东,8800,8800,8800,100,1.15%,元/吨,,Octanol_Domestic,3
2026/04/30,辛醇,华北地区,山东,8700,8700,8700,0,0%,元/吨,,Octanol_Domestic,3
2026/04/29,辛醇,华北地区,山东,8700,8700,8700,-100,-1.14%,元/吨,,Octanol_Domestic,3
2026/04/28,辛醇,华北地区,山东,8800,8800,8800,0,0%,元/吨,,Octanol_Domestic,3
2026/04/27,辛醇,华北地区,山东,8800,8800,8800,-100,-1.12%,元/吨,,Octanol_Domestic,3
2026/04/24,辛醇,华北地区,山东,8900,8900,8900,-150,-1.66%,元/吨,,Octanol_Domestic,3
2026/04/23,辛醇,华北地区,山东,9000,9100,9050,-150,-1.63%,元/吨,,Octanol_Domestic,3
2026/04/22,辛醇,华北地区,山东,9200,9200,9200,0,0%,元/吨,,Octanol_Domestic,3
2026/04/21,辛醇,华北地区,山东,9200,9200,9200,0,0%,元/吨,,Octanol_Domestic,3
2026/04/20,辛醇,华北地区,山东,9200,9200,9200,0,0%,元/吨,,Octanol_Domestic,3
2026/04/17,辛醇,华北地区,山东,9200,9200,9200,100,1.1%,元/吨,,Octanol_Domestic,3
2026/04/16,辛醇,华北地区,山东,9100,9100,9100,50,0.55%,元/吨,,Octanol_Domestic,3
2026/04/15,辛醇,华北地区,山东,9000,9100,9050,50,0.56%,元/吨,,Octanol_Domestic,3
2026/04/14,辛醇,华北地区,山东,9000,9000,9000,0,0%,元/吨,预估,Octanol_Domestic,3
2026/04/13,辛醇,华北地区,山东,9000,9000,9000,-50,-0.55%,元/吨,,Octanol_Domestic,3
2026/04/10,辛醇,华北地区,山东,9000,9100,9050,-50,-0.55%,元/吨,,Octanol_Domestic,3
2026/04/09,辛醇,华北地区,山东,9100,9100,9100,-100,-1.09%,元/吨,,Octanol_Domestic,3
2026/04/08,辛醇,华北地区,山东,9100,9300,9200,-200,-2.13%,元/吨,,Octanol_Domestic,3
2026/04/07,辛醇,华北地区,山东,9400,9400,9400,300,3.3%,元/吨,评估价,Octanol_Domestic,3
2026/04/03,辛醇,华北地区,山东,9100,9100,9100,50,0.55%,元/吨,,Octanol_Domestic,3
2026/04/02,辛醇,华北地区,山东,9000,9100,9050,-50,-0.55%,元/吨,,Octanol_Domestic,3
2026/04/01,辛醇,华北地区,山东,9100,9100,9100,0,0%,元/吨,,Octanol_Domestic,3
2026/03/31,辛醇,华北地区,山东,9100,9100,9100,200,2.25%,元/吨,,Octanol_Domestic,3
2026/03/30,辛醇,华北地区,山东,8900,8900,8900,225,2.59%,元/吨,,Octanol_Domestic,3
2026/03/27,辛醇,华北地区,山东,8500,8850,8675,-225,-2.53%,元/吨,,Octanol_Domestic,3
2026/03/26,辛醇,华北地区,山东,8700,9100,8900,-400,-4.3%,元/吨,,Octanol_Domestic,3
2026/03/25,辛醇,华北地区,山东,9200,9400,9300,-150,-1.59%,元/吨,,Octanol_Domestic,3
2026/03/24,辛醇,华北地区,山东,9400,9500,9450,250,2.72%,元/吨,,Octanol_Domestic,3
2026/03/23,辛醇,华北地区,山东,9200,9200,9200,500,5.75%,元/吨,评估,Octanol_Domestic,3
2026/03/20,辛醇,华北地区,山东,8700,8700,8700,275,3.26%,元/吨,,Octanol_Domestic,3
2026/03/19,辛醇,华北地区,山东,8300,8550,8425,150,1.81%,元/吨,,Octanol_Domestic,3
2026/03/18,辛醇,华北地区,山东,8200,8350,8275,125,1.53%,元/吨,,Octanol_Domestic,3
2026/03/17,辛醇,华北地区,山东,8100,8200,8150,0,0%,元/吨,,Octanol_Domestic,3
2026/03/16,辛醇,华北地区,山东,8100,8200,8150,50,0.62%,元/吨,,Octanol_Domestic,3
2026/03/13,辛醇,华北地区,山东,8000,8200,8100,-50,-0.61%,元/吨,,Octanol_Domestic,3
2026/03/12,辛醇,华北地区,山东,8000,8300,8150,-300,-3.55%,元/吨,,Octanol_Domestic,3
2026/03/11,辛醇,华北地区,山东,8000,8900,8450,-600,-6.63%,元/吨,,Octanol_Domestic,3
2026/03/10,辛醇,华北地区,山东,8900,9200,9050,0,0%,元/吨,评估价,Octanol_Domestic,3
2026/03/09,辛醇,华北地区,山东,8900,9200,9050,1525,20.27%,元/吨,,Octanol_Domestic,3
2026/03/06,辛醇,华北地区,山东,7500,7550,7525,325,4.51%,元/吨,,Octanol_Domestic,3
2026/03/05,辛醇,华北地区,山东,7200,7200,7200,200,2.86%,元/吨,,Octanol_Domestic,3
2026/03/04,辛醇,华北地区,山东,7000,7000,7000,200,2.94%,元/吨,,Octanol_Domestic,3
2026/03/03,辛醇,华北地区,山东,6800,6800,6800,200,3.03%,元/吨,,Octanol_Domestic,3
2026/03/02,辛醇,华北地区,山东,6600,6600,6600,100,1.54%,元/吨,,Octanol_Domestic,3
2026/02/28,辛醇,华北地区,山东,6500,6500,6500,0,0%,元/吨,,Octanol_Domestic,3
2026/02/27,辛醇,华北地区,山东,6500,6500,6500,-25,-0.38%,元/吨,,Octanol_Domestic,3
2026/02/26,辛醇,华北地区,山东,6500,6550,6525,25,0.38%,元/吨,,Octanol_Domestic,3
2026/02/25,辛醇,华北地区,山东,6500,6500,6500,0,0%,元/吨,,Octanol_Domestic,3
2026/02/24,辛醇,华北地区,山东,6500,6500,6500,0,0%,元/吨,,Octanol_Domestic,3
2026/02/14,辛醇,华北地区,山东,6500,6500,6500,0,0%,元/吨,,Octanol_Domestic,3
2026/02/13,辛醇,华北地区,山东,6500,6500,6500,-50,-0.76%,元/吨,,Octanol_Domestic,3
2026/02/12,辛醇,华北地区,山东,6500,6600,6550,0,0%,元/吨,,Octanol_Domestic,3
2026/02/11,辛醇,华北地区,山东,6500,6600,6550,-100,-1.5%,元/吨,,Octanol_Domestic,3
