数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/07,辛醇,华东地区,江苏,6600,6700,6650,25,0.38%,元/吨,,Octanol_Domestic,3
2026/07/06,辛醇,华东地区,江苏,6550,6700,6625,0,0%,元/吨,,Octanol_Domestic,3
2026/07/03,辛醇,华东地区,江苏,6600,6650,6625,-200,-2.93%,元/吨,,Octanol_Domestic,3
2026/07/02,辛醇,华东地区,江苏,6800,6850,6825,-200,-2.85%,元/吨,,Octanol_Domestic,3
2026/07/01,辛醇,华东地区,江苏,7000,7050,7025,-125,-1.75%,元/吨,,Octanol_Domestic,3
2026/06/30,辛醇,华东地区,江苏,7150,7150,7150,-125,-1.72%,元/吨,,Octanol_Domestic,3
2026/06/29,辛醇,华东地区,江苏,7250,7300,7275,-175,-2.35%,元/吨,,Octanol_Domestic,3
2026/06/26,辛醇,华东地区,江苏,7400,7500,7450,-75,-1%,元/吨,,Octanol_Domestic,3
2026/06/25,辛醇,华东地区,江苏,7500,7550,7525,-175,-2.27%,元/吨,,Octanol_Domestic,3
2026/06/24,辛醇,华东地区,江苏,7650,7750,7700,-50,-0.65%,元/吨,,Octanol_Domestic,3
2026/06/23,辛醇,华东地区,江苏,7700,7800,7750,-50,-0.64%,元/吨,,Octanol_Domestic,3
2026/06/22,辛醇,华东地区,江苏,7800,7800,7800,0,0%,元/吨,,Octanol_Domestic,3
2026/06/18,辛醇,华东地区,江苏,7800,7800,7800,-200,-2.5%,元/吨,,Octanol_Domestic,3
2026/06/17,辛醇,华东地区,江苏,8000,8000,8000,-50,-0.62%,元/吨,,Octanol_Domestic,3
2026/06/16,辛醇,华东地区,江苏,8000,8100,8050,-50,-0.62%,元/吨,,Octanol_Domestic,3
2026/06/15,辛醇,华东地区,江苏,8100,8100,8100,-50,-0.61%,元/吨,,Octanol_Domestic,3
2026/06/12,辛醇,华东地区,江苏,8100,8200,8150,-50,-0.61%,元/吨,,Octanol_Domestic,3
2026/06/11,辛醇,华东地区,江苏,8200,8200,8200,0,0%,元/吨,,Octanol_Domestic,3
2026/06/10,辛醇,华东地区,江苏,8200,8200,8200,0,0%,元/吨,,Octanol_Domestic,3
2026/06/09,辛醇,华东地区,江苏,8200,8200,8200,0,0%,元/吨,,Octanol_Domestic,3
2026/06/08,辛醇,华东地区,江苏,8200,8200,8200,100,1.23%,元/吨,,Octanol_Domestic,3
2026/06/05,辛醇,华东地区,江苏,8100,8100,8100,25,0.31%,元/吨,,Octanol_Domestic,3
2026/06/04,辛醇,华东地区,江苏,8050,8100,8075,25,0.31%,元/吨,,Octanol_Domestic,3
2026/06/03,辛醇,华东地区,江苏,8000,8100,8050,0,0%,元/吨,,Octanol_Domestic,3
2026/06/02,辛醇,华东地区,江苏,8000,8100,8050,25,0.31%,元/吨,,Octanol_Domestic,3
2026/06/01,辛醇,华东地区,江苏,8000,8050,8025,25,0.31%,元/吨,,Octanol_Domestic,3
2026/05/29,辛醇,华东地区,江苏,8000,8000,8000,50,0.63%,元/吨,,Octanol_Domestic,3
2026/05/28,辛醇,华东地区,江苏,7900,8000,7950,-50,-0.63%,元/吨,,Octanol_Domestic,3
2026/05/27,辛醇,华东地区,江苏,8000,8000,8000,-25,-0.31%,元/吨,,Octanol_Domestic,3
2026/05/26,辛醇,华东地区,江苏,8000,8050,8025,0,0%,元/吨,,Octanol_Domestic,3
2026/05/25,辛醇,华东地区,江苏,8000,8050,8025,0,0%,元/吨,,Octanol_Domestic,3
2026/05/22,辛醇,华东地区,江苏,8000,8050,8025,25,0.31%,元/吨,,Octanol_Domestic,3
2026/05/21,辛醇,华东地区,江苏,8000,8000,8000,25,0.31%,元/吨,,Octanol_Domestic,3
2026/05/20,辛醇,华东地区,江苏,7950,8000,7975,25,0.31%,元/吨,,Octanol_Domestic,3
2026/05/19,辛醇,华东地区,江苏,7900,8000,7950,50,0.63%,元/吨,,Octanol_Domestic,3
2026/05/18,辛醇,华东地区,江苏,7900,7900,7900,-350,-4.24%,元/吨,,Octanol_Domestic,3
2026/05/15,辛醇,华东地区,江苏,8200,8300,8250,-125,-1.49%,元/吨,,Octanol_Domestic,3
2026/05/14,辛醇,华东地区,江苏,8350,8400,8375,-25,-0.3%,元/吨,,Octanol_Domestic,3
2026/05/13,辛醇,华东地区,江苏,8400,8400,8400,-175,-2.04%,元/吨,,Octanol_Domestic,3
2026/05/12,辛醇,华东地区,江苏,8550,8600,8575,-175,-2%,元/吨,,Octanol_Domestic,3
2026/05/11,辛醇,华东地区,江苏,8750,8750,8750,-125,-1.41%,元/吨,,Octanol_Domestic,3
2026/05/09,辛醇,华东地区,江苏,8850,8900,8875,-25,-0.28%,元/吨,,Octanol_Domestic,3
