数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/23,丙二醇,华南地区,广东,9200,9500,9350,225,2.47%,元/吨,,PG_Domestic,3
2026/07/22,丙二醇,华南地区,广东,9100,9150,9125,75,0.83%,元/吨,,PG_Domestic,3
2026/07/21,丙二醇,华南地区,广东,9000,9100,9050,50,0.56%,元/吨,,PG_Domestic,3
2026/07/20,丙二醇,华南地区,广东,8900,9100,9000,-250,-2.7%,元/吨,,PG_Domestic,3
2026/07/17,丙二醇,华南地区,广东,9200,9300,9250,0,0%,元/吨,,PG_Domestic,3
2026/07/16,丙二醇,华南地区,广东,9200,9300,9250,0,0%,元/吨,,PG_Domestic,3
2026/07/15,丙二醇,华南地区,广东,9200,9300,9250,500,5.71%,元/吨,,PG_Domestic,3
2026/07/14,丙二醇,华南地区,广东,8700,8800,8750,0,0%,元/吨,,PG_Domestic,3
2026/07/13,丙二醇,华南地区,广东,8700,8800,8750,350,4.17%,元/吨,,PG_Domestic,3
2026/07/10,丙二醇,华南地区,广东,8300,8500,8400,200,2.44%,元/吨,,PG_Domestic,3
2026/07/09,丙二醇,华南地区,广东,8100,8300,8200,75,0.92%,元/吨,,PG_Domestic,3
2026/07/08,丙二醇,华南地区,广东,8000,8250,8125,-50,-0.61%,元/吨,,PG_Domestic,3
2026/07/07,丙二醇,华南地区,广东,8100,8250,8175,-25,-0.3%,元/吨,,PG_Domestic,3
2026/07/06,丙二醇,华南地区,广东,8100,8300,8200,-150,-1.8%,元/吨,,PG_Domestic,3
2026/07/03,丙二醇,华南地区,广东,8200,8500,8350,-50,-0.6%,元/吨,,PG_Domestic,3
2026/07/02,丙二醇,华南地区,广东,8300,8500,8400,-100,-1.18%,元/吨,,PG_Domestic,3
2026/07/01,丙二醇,华南地区,广东,8400,8600,8500,0,0%,元/吨,,PG_Domestic,3
2026/06/30,丙二醇,华南地区,广东,8400,8600,8500,0,0%,元/吨,,PG_Domestic,3
2026/06/29,丙二醇,华南地区,广东,8400,8600,8500,0,0%,元/吨,,PG_Domestic,3
2026/06/26,丙二醇,华南地区,广东,8400,8600,8500,0,0%,元/吨,,PG_Domestic,3
2026/06/25,丙二醇,华南地区,广东,8400,8600,8500,0,0%,元/吨,,PG_Domestic,3
2026/06/24,丙二醇,华南地区,广东,8400,8600,8500,0,0%,元/吨,,PG_Domestic,3
2026/06/23,丙二醇,华南地区,广东,8400,8600,8500,0,0%,元/吨,,PG_Domestic,3
2026/06/22,丙二醇,华南地区,广东,8400,8600,8500,0,0%,元/吨,,PG_Domestic,3
