数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/10,丙二醇,华东地区,江苏,8500,8800,8650,425,5.17%,元/吨,,PG_Domestic,3
2026/07/09,丙二醇,华东地区,江苏,8100,8350,8225,150,1.86%,元/吨,,PG_Domestic,3
2026/07/08,丙二醇,华东地区,江苏,7950,8200,8075,0,0%,元/吨,,PG_Domestic,3
2026/07/07,丙二醇,华东地区,江苏,7950,8200,8075,-50,-0.62%,元/吨,,PG_Domestic,3
2026/07/06,丙二醇,华东地区,江苏,7950,8300,8125,-225,-2.69%,元/吨,,PG_Domestic,3
2026/07/03,丙二醇,华东地区,江苏,8200,8500,8350,-250,-2.91%,元/吨,,PG_Domestic,3
2026/07/02,丙二醇,华东地区,江苏,8400,8800,8600,0,0%,元/吨,,PG_Domestic,3
2026/07/01,丙二醇,华东地区,江苏,8400,8800,8600,0,0%,元/吨,,PG_Domestic,3
2026/06/30,丙二醇,华东地区,江苏,8400,8800,8600,25,0.29%,元/吨,,PG_Domestic,3
2026/06/29,丙二醇,华东地区,江苏,8350,8800,8575,0,0%,元/吨,,PG_Domestic,3
2026/06/26,丙二醇,华东地区,江苏,8350,8800,8575,0,0%,元/吨,,PG_Domestic,3
2026/06/25,丙二醇,华东地区,江苏,8350,8800,8575,0,0%,元/吨,,PG_Domestic,3
2026/06/24,丙二醇,华东地区,江苏,8350,8800,8575,0,0%,元/吨,,PG_Domestic,3
2026/06/23,丙二醇,华东地区,江苏,8350,8800,8575,0,0%,元/吨,,PG_Domestic,3
2026/06/22,丙二醇,华东地区,江苏,8350,8800,8575,0,0%,元/吨,,PG_Domestic,3
2026/06/18,丙二醇,华东地区,江苏,8350,8800,8575,-150,-1.72%,元/吨,,PG_Domestic,3
2026/06/17,丙二醇,华东地区,江苏,8550,8900,8725,-150,-1.69%,元/吨,,PG_Domestic,3
2026/06/16,丙二醇,华东地区,江苏,8700,9050,8875,-50,-0.56%,元/吨,,PG_Domestic,3
2026/06/15,丙二醇,华东地区,江苏,8750,9100,8925,0,0%,元/吨,,PG_Domestic,3
2026/06/12,丙二醇,华东地区,江苏,8750,9100,8925,375,4.39%,元/吨,,PG_Domestic,3
2026/06/11,丙二醇,华东地区,江苏,8300,8800,8550,25,0.29%,元/吨,,PG_Domestic,3
2026/06/10,丙二醇,华东地区,江苏,8250,8800,8525,75,0.89%,元/吨,,PG_Domestic,3
2026/06/09,丙二醇,华东地区,江苏,8200,8700,8450,-50,-0.59%,元/吨,,PG_Domestic,3
