数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/30,PMA,华东地区,华东,,,9750,0,0%,元/吨,,PMA_Domestic,3
2026/06/29,PMA,华东地区,华东,,,9750,-250,-2.5%,元/吨,,PMA_Domestic,3
2026/06/26,PMA,华东地区,华东,,,10000,0,0%,元/吨,,PMA_Domestic,3
2026/06/25,PMA,华东地区,华东,,,10000,0,0%,元/吨,,PMA_Domestic,3
2026/06/24,PMA,华东地区,华东,,,10000,0,0%,元/吨,,PMA_Domestic,3
2026/06/23,PMA,华东地区,华东,,,10000,0,0%,元/吨,,PMA_Domestic,3
2026/06/22,PMA,华东地区,华东,,,10000,-100,-0.99%,元/吨,,PMA_Domestic,3
2026/06/18,PMA,华东地区,华东,,,10100,-150,-1.46%,元/吨,,PMA_Domestic,3
2026/06/17,PMA,华东地区,华东,,,10250,0,0%,元/吨,,PMA_Domestic,3
2026/06/16,PMA,华东地区,华东,,,10250,0,0%,元/吨,,PMA_Domestic,3
2026/06/15,PMA,华东地区,华东,,,10250,-250,-2.38%,元/吨,,PMA_Domestic,3
2026/06/12,PMA,华东地区,华东,,,10500,0,0%,元/吨,,PMA_Domestic,3
2026/06/11,PMA,华东地区,华东,,,10500,0,0%,元/吨,,PMA_Domestic,3
2026/06/10,PMA,华东地区,华东,,,10500,0,0%,元/吨,,PMA_Domestic,3
2026/06/09,PMA,华东地区,华东,,,10500,-100,-0.94%,元/吨,,PMA_Domestic,3
2026/06/08,PMA,华东地区,华东,,,10600,0,0%,元/吨,,PMA_Domestic,3
2026/06/05,PMA,华东地区,华东,,,10600,0,0%,元/吨,,PMA_Domestic,3
2026/06/04,PMA,华东地区,华东,,,10600,0,0%,元/吨,,PMA_Domestic,3
2026/06/03,PMA,华东地区,华东,,,10600,0,0%,元/吨,,PMA_Domestic,3
2026/06/02,PMA,华东地区,华东,,,10600,-300,-2.75%,元/吨,,PMA_Domestic,3
2026/06/01,PMA,华东地区,华东,,,10900,-200,-1.8%,元/吨,,PMA_Domestic,3
2026/05/29,PMA,华东地区,华东,,,11100,-200,-1.77%,元/吨,,PMA_Domestic,3
2026/05/28,PMA,华东地区,华东,,,11300,0,0%,元/吨,,PMA_Domestic,3
2026/05/27,PMA,华东地区,华东,,,11300,0,0%,元/吨,,PMA_Domestic,3
2026/05/26,PMA,华东地区,华东,,,11300,0,0%,元/吨,,PMA_Domestic,3
2026/05/25,PMA,华东地区,华东,,,11300,-200,-1.74%,元/吨,,PMA_Domestic,3
2026/05/22,PMA,华东地区,华东,,,11500,0,0%,元/吨,,PMA_Domestic,3
2026/05/21,PMA,华东地区,华东,,,11500,0,0%,元/吨,,PMA_Domestic,3
2026/05/20,PMA,华东地区,华东,,,11500,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/19,PMA,华东地区,华东,,,11500,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/18,PMA,华东地区,华东,,,11500,-100,-0.86%,元/吨,桶装,PMA_Domestic,3
2026/05/15,PMA,华东地区,华东,,,11600,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/14,PMA,华东地区,华东,,,11600,-150,-1.28%,元/吨,桶装,PMA_Domestic,3
2026/05/13,PMA,华东地区,华东,,,11750,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/12,PMA,华东地区,华东,,,11750,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/11,PMA,华东地区,华东,,,11750,-150,-1.26%,元/吨,桶装,PMA_Domestic,3
2026/05/09,PMA,华东地区,华东,,,11900,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/08,PMA,华东地区,华东,,,11900,-150,-1.24%,元/吨,桶装,PMA_Domestic,3
2026/05/07,PMA,华东地区,华东,,,12050,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/06,PMA,华东地区,华东,,,12050,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/30,PMA,华东地区,华东,,,12050,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/29,PMA,华东地区,华东,,,12050,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/28,PMA,华东地区,华东,,,12050,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/27,PMA,华东地区,华东,,,12050,-100,-0.82%,元/吨,桶装,PMA_Domestic,3
2026/04/24,PMA,华东地区,华东,,,12150,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/23,PMA,华东地区,华东,,,12150,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/22,PMA,华东地区,华东,,,12150,-750,-5.81%,元/吨,桶装,PMA_Domestic,3
2026/04/21,PMA,华东地区,华东,,,12900,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/20,PMA,华东地区,华东,,,12900,-200,-1.53%,元/吨,桶装,PMA_Domestic,3
2026/04/17,PMA,华东地区,华东,,,13100,0,0%,元/吨,桶装,PMA_Domestic,3
