数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/17,PMA,华南地区,华南,,,9800,0,0%,元/吨,,PMA_Domestic,3
2026/07/16,PMA,华南地区,华南,,,9800,0,0%,元/吨,,PMA_Domestic,3
2026/07/15,PMA,华南地区,华南,,,9800,100,1.03%,元/吨,,PMA_Domestic,3
2026/07/14,PMA,华南地区,华南,,,9700,0,0%,元/吨,,PMA_Domestic,3
2026/07/13,PMA,华南地区,华南,,,9700,0,0%,元/吨,,PMA_Domestic,3
2026/07/10,PMA,华南地区,华南,,,9700,0,0%,元/吨,,PMA_Domestic,3
2026/07/09,PMA,华南地区,华南,,,9700,0,0%,元/吨,,PMA_Domestic,3
2026/07/08,PMA,华南地区,华南,,,9700,0,0%,元/吨,,PMA_Domestic,3
2026/07/07,PMA,华南地区,华南,,,9700,0,0%,元/吨,,PMA_Domestic,3
2026/07/06,PMA,华南地区,华南,,,9700,-200,-2.02%,元/吨,,PMA_Domestic,3
2026/07/03,PMA,华南地区,华南,,,9900,0,0%,元/吨,,PMA_Domestic,3
2026/07/02,PMA,华南地区,华南,,,9900,0,0%,元/吨,,PMA_Domestic,3
2026/07/01,PMA,华南地区,华南,,,9900,0,0%,元/吨,,PMA_Domestic,3
2026/06/30,PMA,华南地区,华南,,,9900,-100,-1%,元/吨,,PMA_Domestic,3
2026/06/29,PMA,华南地区,华南,,,10000,-200,-1.96%,元/吨,,PMA_Domestic,3
2026/06/26,PMA,华南地区,华南,,,10200,0,0%,元/吨,,PMA_Domestic,3
2026/06/25,PMA,华南地区,华南,,,10200,0,0%,元/吨,,PMA_Domestic,3
2026/06/24,PMA,华南地区,华南,,,10200,0,0%,元/吨,,PMA_Domestic,3
2026/06/23,PMA,华南地区,华南,,,10200,0,0%,元/吨,,PMA_Domestic,3
2026/06/22,PMA,华南地区,华南,,,10200,-150,-1.45%,元/吨,,PMA_Domestic,3
2026/06/18,PMA,华南地区,华南,,,10350,-250,-2.36%,元/吨,,PMA_Domestic,3
2026/06/17,PMA,华南地区,华南,,,10600,0,0%,元/吨,,PMA_Domestic,3
2026/06/16,PMA,华南地区,华南,,,10600,0,0%,元/吨,,PMA_Domestic,3
2026/06/15,PMA,华南地区,华南,,,10600,-300,-2.75%,元/吨,,PMA_Domestic,3
2026/06/12,PMA,华南地区,华南,,,10900,0,0%,元/吨,,PMA_Domestic,3
2026/06/11,PMA,华南地区,华南,,,10900,0,0%,元/吨,,PMA_Domestic,3
2026/06/10,PMA,华南地区,华南,,,10900,0,0%,元/吨,,PMA_Domestic,3
2026/06/09,PMA,华南地区,华南,,,10900,-200,-1.8%,元/吨,,PMA_Domestic,3
2026/06/08,PMA,华南地区,华南,,,11100,0,0%,元/吨,,PMA_Domestic,3
2026/06/05,PMA,华南地区,华南,,,11100,0,0%,元/吨,,PMA_Domestic,3
2026/06/04,PMA,华南地区,华南,,,11100,0,0%,元/吨,,PMA_Domestic,3
2026/06/03,PMA,华南地区,华南,,,11100,0,0%,元/吨,,PMA_Domestic,3
2026/06/02,PMA,华南地区,华南,,,11100,-100,-0.89%,元/吨,,PMA_Domestic,3
2026/06/01,PMA,华南地区,华南,,,11200,-200,-1.75%,元/吨,,PMA_Domestic,3
2026/05/29,PMA,华南地区,华南,,,11400,0,0%,元/吨,,PMA_Domestic,3
2026/05/28,PMA,华南地区,华南,,,11400,0,0%,元/吨,,PMA_Domestic,3
2026/05/27,PMA,华南地区,华南,,,11400,0,0%,元/吨,,PMA_Domestic,3
2026/05/26,PMA,华南地区,华南,,,11400,0,0%,元/吨,,PMA_Domestic,3
2026/05/25,PMA,华南地区,华南,,,11400,-150,-1.3%,元/吨,,PMA_Domestic,3
2026/05/22,PMA,华南地区,华南,,,11550,0,0%,元/吨,,PMA_Domestic,3
2026/05/21,PMA,华南地区,华南,,,11550,0,0%,元/吨,,PMA_Domestic,3
2026/05/20,PMA,华南地区,华南,,,11550,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/19,PMA,华南地区,华南,,,11550,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/18,PMA,华南地区,华南,,,11550,-100,-0.86%,元/吨,桶装,PMA_Domestic,3
2026/05/15,PMA,华南地区,华南,,,11650,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/14,PMA,华南地区,华南,,,11650,-150,-1.27%,元/吨,桶装,PMA_Domestic,3
2026/05/13,PMA,华南地区,华南,,,11800,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/12,PMA,华南地区,华南,,,11800,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/11,PMA,华南地区,华南,,,11800,-300,-2.48%,元/吨,桶装,PMA_Domestic,3
2026/05/09,PMA,华南地区,华南,,,12100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/08,PMA,华南地区,华南,,,12100,-200,-1.63%,元/吨,桶装,PMA_Domestic,3
2026/05/07,PMA,华南地区,华南,,,12300,0,0%,元/吨,桶装,PMA_Domestic,3
2026/05/06,PMA,华南地区,华南,,,12300,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/30,PMA,华南地区,华南,,,12300,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/29,PMA,华南地区,华南,,,12300,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/28,PMA,华南地区,华南,,,12300,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/27,PMA,华南地区,华南,,,12300,-200,-1.6%,元/吨,桶装,PMA_Domestic,3
2026/04/24,PMA,华南地区,华南,,,12500,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/23,PMA,华南地区,华南,,,12500,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/22,PMA,华南地区,华南,,,12500,-500,-3.85%,元/吨,桶装,PMA_Domestic,3
2026/04/21,PMA,华南地区,华南,,,13000,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/20,PMA,华南地区,华南,,,13000,-100,-0.76%,元/吨,桶装,PMA_Domestic,3
2026/04/17,PMA,华南地区,华南,,,13100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/16,PMA,华南地区,华南,,,13100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/15,PMA,华南地区,华南,,,13100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/14,PMA,华南地区,华南,,,13100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/13,PMA,华南地区,华南,,,13100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/10,PMA,华南地区,华南,,,13100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/09,PMA,华南地区,华南,,,13100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/08,PMA,华南地区,华南,,,13100,400,3.15%,元/吨,桶装,PMA_Domestic,3
2026/04/07,PMA,华南地区,华南,,,12700,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/03,PMA,华南地区,华南,,,12700,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/02,PMA,华南地区,华南,,,12700,0,0%,元/吨,桶装,PMA_Domestic,3
2026/04/01,PMA,华南地区,华南,,,12700,0,0%,元/吨,桶装,PMA_Domestic,3
2026/03/31,PMA,华南地区,华南,,,12700,0,0%,元/吨,桶装,PMA_Domestic,3
2026/03/30,PMA,华南地区,华南,,,12700,500,4.1%,元/吨,桶装,PMA_Domestic,3
2026/03/27,PMA,华南地区,华南,,,12200,0,0%,元/吨,桶装,PMA_Domestic,3
2026/03/26,PMA,华南地区,华南,,,12200,100,0.83%,元/吨,桶装,PMA_Domestic,3
2026/03/25,PMA,华南地区,华南,,,12100,400,3.42%,元/吨,桶装,PMA_Domestic,3
2026/03/24,PMA,华南地区,华南,,,11700,0,0%,元/吨,桶装,PMA_Domestic,3
2026/03/23,PMA,华南地区,华南,,,11700,600,5.41%,元/吨,桶装,PMA_Domestic,3
2026/03/20,PMA,华南地区,华南,,,11100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/03/19,PMA,华南地区,华南,,,11100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/03/18,PMA,华南地区,华南,,,11100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/03/17,PMA,华南地区,华南,,,11100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/03/16,PMA,华南地区,华南,,,11100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/03/13,PMA,华南地区,华南,,,11100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/03/12,PMA,华南地区,华南,,,11100,0,0%,元/吨,桶装,PMA_Domestic,3
2026/03/11,PMA,华南地区,华南,,,11100,-500,-4.31%,元/吨,桶装,PMA_Domestic,3
2026/03/10,PMA,华南地区,华南,,,11600,0,0%,元/吨,桶装,PMA_Domestic,3
2026/03/09,PMA,华南地区,华南,,,11600,3000,34.88%,元/吨,桶装,PMA_Domestic,3
2026/03/06,PMA,华南地区,华南,,,8600,500,6.17%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/03/05,PMA,华南地区,华南,,,8100,100,1.25%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/03/04,PMA,华南地区,华南,,,8000,100,1.27%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/03/03,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/03/02,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/28,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/27,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/26,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/25,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/24,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/14,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/13,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/12,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/11,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/10,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/09,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/06,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/05,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/04,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/03,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
2026/02/02,PMA,华南地区,华南,,,7900,0,0%,元/吨,厂提现汇 桶装,PMA_Domestic,3
