数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/23,PM,华南地区,华南,,,10100,0,0%,元/吨,,PM_Domestic,3
2026/07/22,PM,华南地区,华南,,,10100,0,0%,元/吨,,PM_Domestic,3
2026/07/21,PM,华南地区,华南,,,10100,0,0%,元/吨,,PM_Domestic,3
2026/07/20,PM,华南地区,华南,,,10100,200,2.02%,元/吨,,PM_Domestic,3
2026/07/17,PM,华南地区,华南,,,9900,0,0%,元/吨,,PM_Domestic,3
2026/07/16,PM,华南地区,华南,,,9900,0,0%,元/吨,,PM_Domestic,3
2026/07/15,PM,华南地区,华南,,,9900,100,1.02%,元/吨,,PM_Domestic,3
2026/07/14,PM,华南地区,华南,,,9800,0,0%,元/吨,,PM_Domestic,3
2026/07/13,PM,华南地区,华南,,,9800,0,0%,元/吨,,PM_Domestic,3
2026/07/10,PM,华南地区,华南,,,9800,0,0%,元/吨,,PM_Domestic,3
2026/07/09,PM,华南地区,华南,,,9800,0,0%,元/吨,,PM_Domestic,3
2026/07/08,PM,华南地区,华南,,,9800,0,0%,元/吨,,PM_Domestic,3
2026/07/07,PM,华南地区,华南,,,9800,0,0%,元/吨,,PM_Domestic,3
2026/07/06,PM,华南地区,华南,,,9800,-200,-2%,元/吨,,PM_Domestic,3
2026/07/03,PM,华南地区,华南,,,10000,0,0%,元/吨,,PM_Domestic,3
2026/07/02,PM,华南地区,华南,,,10000,0,0%,元/吨,,PM_Domestic,3
2026/07/01,PM,华南地区,华南,,,10000,0,0%,元/吨,,PM_Domestic,3
2026/06/30,PM,华南地区,华南,,,10000,-100,-0.99%,元/吨,,PM_Domestic,3
2026/06/29,PM,华南地区,华南,,,10100,-300,-2.88%,元/吨,,PM_Domestic,3
2026/06/26,PM,华南地区,华南,,,10400,0,0%,元/吨,,PM_Domestic,3
2026/06/25,PM,华南地区,华南,,,10400,0,0%,元/吨,,PM_Domestic,3
2026/06/24,PM,华南地区,华南,,,10400,0,0%,元/吨,,PM_Domestic,3
2026/06/23,PM,华南地区,华南,,,10400,0,0%,元/吨,,PM_Domestic,3
2026/06/22,PM,华南地区,华南,,,10400,-150,-1.42%,元/吨,,PM_Domestic,3
2026/06/18,PM,华南地区,华南,,,10550,-200,-1.86%,元/吨,,PM_Domestic,3
2026/06/17,PM,华南地区,华南,,,10750,0,0%,元/吨,,PM_Domestic,3
2026/06/16,PM,华南地区,华南,,,10750,0,0%,元/吨,,PM_Domestic,3
2026/06/15,PM,华南地区,华南,,,10750,-250,-2.27%,元/吨,,PM_Domestic,3
2026/06/12,PM,华南地区,华南,,,11000,0,0%,元/吨,,PM_Domestic,3
2026/06/11,PM,华南地区,华南,,,11000,0,0%,元/吨,,PM_Domestic,3
2026/06/10,PM,华南地区,华南,,,11000,0,0%,元/吨,,PM_Domestic,3
2026/06/09,PM,华南地区,华南,,,11000,-200,-1.79%,元/吨,,PM_Domestic,3
2026/06/08,PM,华南地区,华南,,,11200,0,0%,元/吨,,PM_Domestic,3
2026/06/05,PM,华南地区,华南,,,11200,0,0%,元/吨,,PM_Domestic,3
2026/06/04,PM,华南地区,华南,,,11200,0,0%,元/吨,,PM_Domestic,3
2026/06/03,PM,华南地区,华南,,,11200,0,0%,元/吨,,PM_Domestic,3
2026/06/02,PM,华南地区,华南,,,11200,-100,-0.88%,元/吨,,PM_Domestic,3
2026/06/01,PM,华南地区,华南,,,11300,-200,-1.74%,元/吨,,PM_Domestic,3
