数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/30,PX,华东地区,上海石化,,,8630,0,0%,元/吨,6月结算价,PX_Domestic,2
2026/06/29,PX,华东地区,上海石化,,,8630,0,0%,元/吨,6月结算价,PX_Domestic,2
2026/06/26,PX,华东地区,上海石化,,,8630,0,0%,元/吨,6月结算价,PX_Domestic,2
2026/06/25,PX,华东地区,上海石化,,,8630,-900,-9.44%,元/吨,6月结算价,PX_Domestic,2
2026/06/24,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/23,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/22,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/18,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/17,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/16,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/15,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/12,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/11,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/10,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/09,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/08,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/05,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/04,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/03,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/02,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/06/01,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/05/29,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/05/28,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/05/27,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/05/26,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/05/25,PX,华东地区,上海石化,,,9530,0,0%,元/吨,5月结算价,PX_Domestic,2
2026/05/22,PX,华东地区,上海石化,,,9530,-235,-2.41%,元/吨,5月结算价,PX_Domestic,2
2026/05/21,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/05/20,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/05/19,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/05/18,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/05/15,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/05/14,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/05/13,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/05/12,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/05/11,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/05/09,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/05/08,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/05/07,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/05/06,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/04/30,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/04/29,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/04/28,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/04/27,PX,华东地区,上海石化,,,9765,0,0%,元/吨,4月结算价,PX_Domestic,2
2026/04/24,PX,华东地区,上海石化,,,9765,15,0.15%,元/吨,4月结算价,PX_Domestic,2
2026/04/23,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/22,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/21,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/20,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/17,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/16,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/15,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/14,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/13,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/10,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/09,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/08,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/07,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/03,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/02,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/04/01,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/03/31,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/03/30,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/03/27,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/03/26,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/03/25,PX,华东地区,上海石化,,,9750,0,0%,元/吨,3月结算价,PX_Domestic,2
2026/03/24,PX,华东地区,上海石化,,,9750,2365,32.02%,元/吨,3月结算价,PX_Domestic,2
2026/03/23,PX,华东地区,上海石化,,,7385,0,0%,元/吨,2月结算价,PX_Domestic,2
2026/03/20,PX,华东地区,上海石化,,,7385,0,0%,元/吨,2月结算价,PX_Domestic,2
2026/03/19,PX,华东地区,上海石化,,,7385,0,0%,元/吨,2月结算价,PX_Domestic,2
2026/03/18,PX,华东地区,上海石化,,,7385,0,0%,元/吨,2月结算价,PX_Domestic,2
2026/03/17,PX,华东地区,上海石化,,,7385,0,0%,元/吨,2月结算价,PX_Domestic,2
2026/03/16,PX,华东地区,上海石化,,,7385,0,0%,元/吨,2月结算价,PX_Domestic,2
