数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/15,苯酚,华北地区,华北,8400,8400,8400,150,1.82%,元/吨,,Phenol_Domestic,3
2026/07/14,苯酚,华北地区,华北,8250,8250,8250,0,0%,元/吨,,Phenol_Domestic,3
2026/07/13,苯酚,华北地区,华北,8250,8250,8250,0,0%,元/吨,,Phenol_Domestic,3
2026/07/10,苯酚,华北地区,华北,8200,8300,8250,0,0%,元/吨,,Phenol_Domestic,3
2026/07/09,苯酚,华北地区,华北,8200,8300,8250,225,2.8%,元/吨,,Phenol_Domestic,3
2026/07/08,苯酚,华北地区,华北,8000,8050,8025,150,1.9%,元/吨,,Phenol_Domestic,3
2026/07/07,苯酚,华北地区,华北,7850,7900,7875,125,1.61%,元/吨,,Phenol_Domestic,3
2026/07/06,苯酚,华北地区,华北,7750,7750,7750,75,0.98%,元/吨,,Phenol_Domestic,3
2026/07/03,苯酚,华北地区,华北,7650,7700,7675,0,0%,元/吨,,Phenol_Domestic,3
2026/07/02,苯酚,华北地区,华北,7650,7700,7675,-75,-0.97%,元/吨,,Phenol_Domestic,3
2026/07/01,苯酚,华北地区,华北,7700,7800,7750,100,1.31%,元/吨,,Phenol_Domestic,3
2026/06/30,苯酚,华北地区,华北,7650,7650,7650,125,1.66%,元/吨,,Phenol_Domestic,3
2026/06/29,苯酚,华北地区,华北,7500,7550,7525,25,0.33%,元/吨,,Phenol_Domestic,3
2026/06/26,苯酚,华北地区,华北,7500,7500,7500,0,0%,元/吨,,Phenol_Domestic,3
2026/06/25,苯酚,华北地区,华北,7500,7500,7500,-350,-4.46%,元/吨,,Phenol_Domestic,3
2026/06/24,苯酚,华北地区,华北,7800,7900,7850,0,0%,元/吨,,Phenol_Domestic,3
2026/06/23,苯酚,华北地区,华北,7800,7900,7850,0,0%,元/吨,,Phenol_Domestic,3
2026/06/22,苯酚,华北地区,华北,7800,7900,7850,300,3.97%,元/吨,,Phenol_Domestic,3
2026/06/18,苯酚,华北地区,华北,7550,7550,7550,-350,-4.43%,元/吨,,Phenol_Domestic,3
2026/06/17,苯酚,华北地区,华北,7900,7900,7900,-225,-2.77%,元/吨,,Phenol_Domestic,3
2026/06/16,苯酚,华北地区,华北,8100,8150,8125,-50,-0.61%,元/吨,,Phenol_Domestic,3
2026/06/15,苯酚,华北地区,华北,8150,8200,8175,25,0.31%,元/吨,,Phenol_Domestic,3
2026/06/12,苯酚,华北地区,华北,8150,8150,8150,100,1.24%,元/吨,,Phenol_Domestic,3
2026/06/11,苯酚,华北地区,华北,8050,8050,8050,0,0%,元/吨,,Phenol_Domestic,3
2026/06/10,苯酚,华北地区,华北,8050,8050,8050,-25,-0.31%,元/吨,,Phenol_Domestic,3
2026/06/09,苯酚,华北地区,华北,8050,8100,8075,200,2.54%,元/吨,,Phenol_Domestic,3
2026/06/08,苯酚,华北地区,华北,7850,7900,7875,100,1.29%,元/吨,,Phenol_Domestic,3
2026/06/05,苯酚,华北地区,华北,7750,7800,7775,0,0%,元/吨,,Phenol_Domestic,3
2026/06/04,苯酚,华北地区,华北,7750,7800,7775,75,0.97%,元/吨,,Phenol_Domestic,3
2026/06/03,苯酚,华北地区,华北,7700,7700,7700,300,4.05%,元/吨,,Phenol_Domestic,3
2026/06/02,苯酚,华北地区,华北,7400,7400,7400,-75,-1%,元/吨,,Phenol_Domestic,3
2026/06/01,苯酚,华北地区,华北,7450,7500,7475,-25,-0.33%,元/吨,,Phenol_Domestic,3
2026/05/29,苯酚,华北地区,华北,7500,7500,7500,0,0%,元/吨,,Phenol_Domestic,3
2026/05/28,苯酚,华北地区,华北,7500,7500,7500,-200,-2.6%,元/吨,,Phenol_Domestic,3
2026/05/27,苯酚,华北地区,华北,7700,7700,7700,-100,-1.28%,元/吨,,Phenol_Domestic,3
2026/05/26,苯酚,华北地区,华北,7800,7800,7800,0,0%,元/吨,,Phenol_Domestic,3
2026/05/25,苯酚,华北地区,华北,7800,7800,7800,-100,-1.27%,元/吨,,Phenol_Domestic,3
2026/05/22,苯酚,华北地区,华北,7900,7900,7900,-200,-2.47%,元/吨,,Phenol_Domestic,3
2026/05/21,苯酚,华北地区,华北,8100,8100,8100,-100,-1.22%,元/吨,,Phenol_Domestic,3
2026/05/20,苯酚,华北地区,华北,8200,8200,8200,0,0%,元/吨,,Phenol_Domestic,3
2026/05/19,苯酚,华北地区,华北,8200,8200,8200,0,0%,元/吨,,Phenol_Domestic,3
2026/05/18,苯酚,华北地区,华北,8200,8200,8200,325,4.13%,元/吨,,Phenol_Domestic,3
2026/05/15,苯酚,华北地区,华北,7850,7900,7875,0,0%,元/吨,,Phenol_Domestic,3
2026/05/14,苯酚,华北地区,华北,7850,7900,7875,75,0.96%,元/吨,,Phenol_Domestic,3
2026/05/13,苯酚,华北地区,华北,7800,7800,7800,50,0.65%,元/吨,,Phenol_Domestic,3
