数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/13,苯酚,华南地区,华南,8200,8300,8250,0,0%,元/吨,,Phenol_Domestic,3
2026/07/10,苯酚,华南地区,华南,8200,8300,8250,-50,-0.6%,元/吨,,Phenol_Domestic,3
2026/07/09,苯酚,华南地区,华南,8250,8350,8300,100,1.22%,元/吨,,Phenol_Domestic,3
2026/07/08,苯酚,华南地区,华南,8200,8200,8200,250,3.14%,元/吨,,Phenol_Domestic,3
2026/07/07,苯酚,华南地区,华南,7900,8000,7950,25,0.32%,元/吨,,Phenol_Domestic,3
2026/07/06,苯酚,华南地区,华南,7850,8000,7925,75,0.96%,元/吨,,Phenol_Domestic,3
2026/07/03,苯酚,华南地区,华南,7800,7900,7850,50,0.64%,元/吨,,Phenol_Domestic,3
2026/07/02,苯酚,华南地区,华南,7700,7900,7800,-50,-0.64%,元/吨,,Phenol_Domestic,3
2026/07/01,苯酚,华南地区,华南,7800,7900,7850,0,0%,元/吨,,Phenol_Domestic,3
2026/06/30,苯酚,华南地区,华南,7800,7900,7850,200,2.61%,元/吨,,Phenol_Domestic,3
2026/06/29,苯酚,华南地区,华南,7600,7700,7650,0,0%,元/吨,,Phenol_Domestic,3
2026/06/26,苯酚,华南地区,华南,7600,7700,7650,0,0%,元/吨,,Phenol_Domestic,3
2026/06/25,苯酚,华南地区,华南,7600,7700,7650,-250,-3.16%,元/吨,,Phenol_Domestic,3
2026/06/24,苯酚,华南地区,华南,7800,8000,7900,0,0%,元/吨,,Phenol_Domestic,3
2026/06/23,苯酚,华南地区,华南,7800,8000,7900,50,0.64%,元/吨,,Phenol_Domestic,3
2026/06/22,苯酚,华南地区,华南,7800,7900,7850,100,1.29%,元/吨,,Phenol_Domestic,3
2026/06/18,苯酚,华南地区,华南,7700,7800,7750,0,0%,元/吨,,Phenol_Domestic,3
2026/06/17,苯酚,华南地区,华南,7700,7800,7750,-350,-4.32%,元/吨,,Phenol_Domestic,3
2026/06/16,苯酚,华南地区,华南,8000,8200,8100,-125,-1.52%,元/吨,,Phenol_Domestic,3
