数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/21,苯酚,华北地区,山东,8350,8350,8350,0,0%,元/吨,,Phenol_Domestic,3
2026/07/20,苯酚,华北地区,山东,8350,8350,8350,0,0%,元/吨,,Phenol_Domestic,3
2026/07/17,苯酚,华北地区,山东,8350,8350,8350,-150,-1.76%,元/吨,,Phenol_Domestic,3
2026/07/16,苯酚,华北地区,山东,8500,8500,8500,0,0%,元/吨,,Phenol_Domestic,3
2026/07/15,苯酚,华北地区,山东,8500,8500,8500,300,3.66%,元/吨,,Phenol_Domestic,3
2026/07/14,苯酚,华北地区,山东,8200,8200,8200,0,0%,元/吨,,Phenol_Domestic,3
2026/07/13,苯酚,华北地区,山东,8200,8200,8200,-100,-1.2%,元/吨,,Phenol_Domestic,3
2026/07/10,苯酚,华北地区,山东,8300,8300,8300,0,0%,元/吨,,Phenol_Domestic,3
2026/07/09,苯酚,华北地区,山东,8300,8300,8300,300,3.75%,元/吨,,Phenol_Domestic,3
2026/07/08,苯酚,华北地区,山东,8000,8000,8000,100,1.27%,元/吨,,Phenol_Domestic,3
2026/07/07,苯酚,华北地区,山东,7900,7900,7900,150,1.94%,元/吨,,Phenol_Domestic,3
2026/07/06,苯酚,华北地区,山东,7700,7800,7750,50,0.65%,元/吨,,Phenol_Domestic,3
2026/07/03,苯酚,华北地区,山东,7700,7700,7700,-100,-1.28%,元/吨,,Phenol_Domestic,3
2026/07/02,苯酚,华北地区,山东,7800,7800,7800,0,0%,元/吨,,Phenol_Domestic,3
2026/07/01,苯酚,华北地区,山东,7800,7800,7800,175,2.3%,元/吨,,Phenol_Domestic,3
2026/06/30,苯酚,华北地区,山东,7600,7650,7625,125,1.67%,元/吨,,Phenol_Domestic,3
2026/06/29,苯酚,华北地区,山东,7500,7500,7500,0,0%,元/吨,,Phenol_Domestic,3
2026/06/26,苯酚,华北地区,山东,7500,7500,7500,-300,-3.85%,元/吨,,Phenol_Domestic,3
2026/06/25,苯酚,华北地区,山东,7800,7800,7800,0,0%,元/吨,,Phenol_Domestic,3
2026/06/24,苯酚,华北地区,山东,7800,7800,7800,0,0%,元/吨,,Phenol_Domestic,3
2026/06/23,苯酚,华北地区,山东,7800,7800,7800,0,0%,元/吨,,Phenol_Domestic,3
2026/06/22,苯酚,华北地区,山东,7800,7800,7800,250,3.31%,元/吨,,Phenol_Domestic,3
2026/06/18,苯酚,华北地区,山东,7550,7550,7550,-350,-4.43%,元/吨,,Phenol_Domestic,3
2026/06/17,苯酚,华北地区,山东,7900,7900,7900,-200,-2.47%,元/吨,,Phenol_Domestic,3
