数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/20,苯酚,华中地区,河南,8550,8550,8550,175,2.09%,元/吨,,Phenol_Domestic,3
2026/07/17,苯酚,华中地区,河南,8350,8400,8375,-50,-0.59%,元/吨,,Phenol_Domestic,3
2026/07/16,苯酚,华中地区,河南,8400,8450,8425,-125,-1.46%,元/吨,,Phenol_Domestic,3
2026/07/15,苯酚,华中地区,河南,8550,8550,8550,25,0.29%,元/吨,,Phenol_Domestic,3
2026/07/14,苯酚,华中地区,河南,8500,8550,8525,150,1.79%,元/吨,,Phenol_Domestic,3
2026/07/13,苯酚,华中地区,河南,8300,8450,8375,50,0.6%,元/吨,,Phenol_Domestic,3
2026/07/10,苯酚,华中地区,河南,8250,8400,8325,-100,-1.19%,元/吨,,Phenol_Domestic,3
2026/07/09,苯酚,华中地区,河南,8400,8450,8425,100,1.2%,元/吨,,Phenol_Domestic,3
2026/07/08,苯酚,华中地区,河南,8300,8350,8325,200,2.46%,元/吨,,Phenol_Domestic,3
2026/07/07,苯酚,华中地区,河南,8100,8150,8125,25,0.31%,元/吨,,Phenol_Domestic,3
2026/07/06,苯酚,华中地区,河南,8050,8150,8100,125,1.57%,元/吨,,Phenol_Domestic,3
2026/07/03,苯酚,华中地区,河南,7950,8000,7975,100,1.27%,元/吨,,Phenol_Domestic,3
2026/07/02,苯酚,华中地区,河南,7850,7900,7875,-100,-1.25%,元/吨,,Phenol_Domestic,3
2026/07/01,苯酚,华中地区,河南,7950,8000,7975,-25,-0.31%,元/吨,,Phenol_Domestic,3
2026/06/30,苯酚,华中地区,河南,8000,8000,8000,200,2.56%,元/吨,,Phenol_Domestic,3
2026/06/29,苯酚,华中地区,河南,7800,7800,7800,75,0.97%,元/吨,,Phenol_Domestic,3
2026/06/26,苯酚,华中地区,河南,7700,7750,7725,25,0.32%,元/吨,,Phenol_Domestic,3
2026/06/25,苯酚,华中地区,河南,7650,7750,7700,-250,-3.14%,元/吨,,Phenol_Domestic,3
