数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/16,苯酚,华东地区,福建,8600,8600,8600,-50,-0.58%,元/吨,,Phenol_Domestic,3
2026/07/15,苯酚,华东地区,福建,8650,8650,8650,0,0%,元/吨,,Phenol_Domestic,3
2026/07/14,苯酚,华东地区,福建,8600,8700,8650,250,2.98%,元/吨,,Phenol_Domestic,3
2026/07/13,苯酚,华东地区,福建,8400,8400,8400,0,0%,元/吨,,Phenol_Domestic,3
2026/07/10,苯酚,华东地区,福建,8400,8400,8400,-200,-2.33%,元/吨,,Phenol_Domestic,3
2026/07/09,苯酚,华东地区,福建,8600,8600,8600,150,1.78%,元/吨,,Phenol_Domestic,3
2026/07/08,苯酚,华东地区,福建,8400,8500,8450,200,2.42%,元/吨,,Phenol_Domestic,3
2026/07/07,苯酚,华东地区,福建,8250,8250,8250,75,0.92%,元/吨,,Phenol_Domestic,3
2026/07/06,苯酚,华东地区,福建,8150,8200,8175,125,1.55%,元/吨,,Phenol_Domestic,3
2026/07/03,苯酚,华东地区,福建,8050,8050,8050,50,0.63%,元/吨,,Phenol_Domestic,3
2026/07/02,苯酚,华东地区,福建,8000,8000,8000,-75,-0.93%,元/吨,,Phenol_Domestic,3
2026/07/01,苯酚,华东地区,福建,8050,8100,8075,-25,-0.31%,元/吨,,Phenol_Domestic,3
2026/06/30,苯酚,华东地区,福建,8100,8100,8100,200,2.53%,元/吨,,Phenol_Domestic,3
2026/06/29,苯酚,华东地区,福建,7900,7900,7900,50,0.64%,元/吨,,Phenol_Domestic,3
2026/06/26,苯酚,华东地区,福建,7850,7850,7850,50,0.64%,元/吨,,Phenol_Domestic,3
2026/06/25,苯酚,华东地区,福建,7800,7800,7800,-300,-3.7%,元/吨,,Phenol_Domestic,3
2026/06/24,苯酚,华东地区,福建,8100,8100,8100,-50,-0.61%,元/吨,,Phenol_Domestic,3
2026/06/23,苯酚,华东地区,福建,8150,8150,8150,0,0%,元/吨,,Phenol_Domestic,3
2026/06/22,苯酚,华东地区,福建,8100,8200,8150,250,3.16%,元/吨,,Phenol_Domestic,3
2026/06/18,苯酚,华东地区,福建,7900,7900,7900,-100,-1.25%,元/吨,,Phenol_Domestic,3
2026/06/17,苯酚,华东地区,福建,8000,8000,8000,-250,-3.03%,元/吨,,Phenol_Domestic,3
2026/06/16,苯酚,华东地区,福建,8250,8250,8250,-150,-1.79%,元/吨,,Phenol_Domestic,3
2026/06/15,苯酚,华东地区,福建,8400,8400,8400,-50,-0.59%,元/吨,,Phenol_Domestic,3
2026/06/12,苯酚,华东地区,福建,8450,8500,8450,-50,-0.59%,元/吨,,Phenol_Domestic,3
2026/06/11,苯酚,华东地区,福建,8500,8500,8500,100,1.19%,元/吨,,Phenol_Domestic,3
2026/06/10,苯酚,华东地区,福建,8400,8400,8400,0,0%,元/吨,,Phenol_Domestic,3
2026/06/09,苯酚,华东地区,福建,8350,8450,8400,25,0.3%,元/吨,,Phenol_Domestic,3
2026/06/08,苯酚,华东地区,福建,8300,8450,8375,175,2.13%,元/吨,,Phenol_Domestic,3
2026/06/05,苯酚,华东地区,福建,8200,8200,8200,0,0%,元/吨,,Phenol_Domestic,3
2026/06/04,苯酚,华东地区,福建,8200,8200,8200,50,0.61%,元/吨,,Phenol_Domestic,3
2026/06/03,苯酚,华东地区,福建,8100,8200,8150,300,3.82%,元/吨,,Phenol_Domestic,3
2026/06/02,苯酚,华东地区,福建,7800,7900,7850,50,0.64%,元/吨,,Phenol_Domestic,3
2026/06/01,苯酚,华东地区,福建,7800,7800,7800,-25,-0.32%,元/吨,,Phenol_Domestic,3
2026/05/29,苯酚,华东地区,福建,7800,7850,7825,75,0.97%,元/吨,,Phenol_Domestic,3
2026/05/28,苯酚,华东地区,福建,7750,7750,7750,-175,-2.21%,元/吨,,Phenol_Domestic,3
2026/05/27,苯酚,华东地区,福建,7900,7950,7925,-175,-2.16%,元/吨,,Phenol_Domestic,3
2026/05/26,苯酚,华东地区,福建,8100,8100,8100,-50,-0.61%,元/吨,,Phenol_Domestic,3
2026/05/25,苯酚,华东地区,福建,8150,8150,8150,-75,-0.91%,元/吨,,Phenol_Domestic,3
2026/05/22,苯酚,华东地区,福建,8200,8250,8225,-25,-0.3%,元/吨,,Phenol_Domestic,3
2026/05/21,苯酚,华东地区,福建,8250,8250,8250,-150,-1.79%,元/吨,,Phenol_Domestic,3
2026/05/20,苯酚,华东地区,福建,8400,8400,8400,-50,-0.59%,元/吨,,Phenol_Domestic,3
2026/05/19,苯酚,华东地区,福建,8450,8450,8450,-150,-1.74%,元/吨,,Phenol_Domestic,3
2026/05/18,苯酚,华东地区,福建,8600,8600,8600,375,4.56%,元/吨,,Phenol_Domestic,3
2026/05/15,苯酚,华东地区,福建,8200,8250,8225,-25,-0.3%,元/吨,,Phenol_Domestic,3
2026/05/14,苯酚,华东地区,福建,8250,8250,8250,50,0.61%,元/吨,,Phenol_Domestic,3
2026/05/13,苯酚,华东地区,福建,8200,8200,8200,0,0%,元/吨,,Phenol_Domestic,3
