数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/16,苯酐,华北地区,华北,,,8300,200,2.47%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/07/15,苯酐,华北地区,华北,,,8100,350,4.52%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/07/14,苯酐,华北地区,华北,,,7750,100,1.31%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/07/13,苯酐,华北地区,华北,,,7650,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/07/10,苯酐,华北地区,华北,,,7650,50,0.66%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/07/09,苯酐,华北地区,华北,,,7600,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/07/08,苯酐,华北地区,华北,,,7600,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/07/07,苯酐,华北地区,华北,,,7600,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/07/06,苯酐,华北地区,华北,,,7600,-150,-1.94%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/07/03,苯酐,华北地区,华北,,,7750,-150,-1.9%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/07/02,苯酐,华北地区,华北,,,7900,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/07/01,苯酐,华北地区,华北,,,7900,-50,-0.63%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/30,苯酐,华北地区,华北,,,7950,-50,-0.63%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/29,苯酐,华北地区,华北,,,8000,-200,-2.44%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/26,苯酐,华北地区,华北,,,8200,-100,-1.2%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/25,苯酐,华北地区,华北,,,8300,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/24,苯酐,华北地区,华北,,,8300,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/23,苯酐,华北地区,华北,,,8300,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/22,苯酐,华北地区,华北,,,8300,-100,-1.19%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/18,苯酐,华北地区,华北,,,8400,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/17,苯酐,华北地区,华北,,,8400,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/16,苯酐,华北地区,华北,,,8400,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/15,苯酐,华北地区,华北,,,8400,-50,-0.59%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/12,苯酐,华北地区,华北,,,8450,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/11,苯酐,华北地区,华北,,,8450,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/10,苯酐,华北地区,华北,,,8450,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/09,苯酐,华北地区,华北,,,8450,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/08,苯酐,华北地区,华北,,,8450,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/05,苯酐,华北地区,华北,,,8450,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/04,苯酐,华北地区,华北,,,8450,-50,-0.59%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/03,苯酐,华北地区,华北,,,8500,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/02,苯酐,华北地区,华北,,,8500,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/06/01,苯酐,华北地区,华北,,,8500,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/29,苯酐,华北地区,华北,,,8500,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/28,苯酐,华北地区,华北,,,8500,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/27,苯酐,华北地区,华北,,,8500,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/26,苯酐,华北地区,华北,,,8500,-100,-1.16%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/25,苯酐,华北地区,华北,,,8600,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/22,苯酐,华北地区,华北,,,8600,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/21,苯酐,华北地区,华北,,,8600,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/20,苯酐,华北地区,华北,,,8600,100,1.18%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/19,苯酐,华北地区,华北,,,8500,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/18,苯酐,华北地区,华北,,,8500,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/15,苯酐,华北地区,华北,,,8500,-150,-1.73%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/14,苯酐,华北地区,华北,,,8650,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/13,苯酐,华北地区,华北,,,8650,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/12,苯酐,华北地区,华北,,,8650,-50,-0.57%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/11,苯酐,华北地区,华北,,,8700,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/09,苯酐,华北地区,华北,,,8700,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/08,苯酐,华北地区,华北,,,8700,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/07,苯酐,华北地区,华北,,,8700,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/05/06,苯酐,华北地区,华北,,,8700,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/04/30,苯酐,华北地区,华北,,,8700,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/04/29,苯酐,华北地区,华北,,,8700,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/04/28,苯酐,华北地区,华北,,,8700,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/04/27,苯酐,华北地区,华北,,,8700,-100,-1.14%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
