数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/09/10,苯酐,华东地区,安徽,,,9500,100,1.06%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/09/09,苯酐,华东地区,安徽,,,9400,100,1.08%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/09/08,苯酐,华东地区,安徽,,,9300,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/09/07,苯酐,华东地区,安徽,,,9300,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/09/04,苯酐,华东地区,安徽,,,9300,100,1.09%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/09/03,苯酐,华东地区,安徽,,,9200,50,0.55%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/09/02,苯酐,华东地区,安徽,,,9150,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/09/01,苯酐,华东地区,安徽,,,9150,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/31,苯酐,华东地区,安徽,,,9150,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/28,苯酐,华东地区,安徽,,,9150,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/27,苯酐,华东地区,安徽,,,9150,-50,-0.54%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/26,苯酐,华东地区,安徽,,,9200,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/25,苯酐,华东地区,安徽,,,9200,100,1.1%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/24,苯酐,华东地区,安徽,,,9100,50,0.55%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/21,苯酐,华东地区,安徽,,,9050,50,0.56%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/20,苯酐,华东地区,安徽,,,9000,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/19,苯酐,华东地区,安徽,,,9000,50,0.56%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/18,苯酐,华东地区,安徽,,,8950,50,0.56%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/17,苯酐,华东地区,安徽,,,8900,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/14,苯酐,华东地区,安徽,,,8900,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/13,苯酐,华东地区,安徽,,,8900,50,0.56%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/12,苯酐,华东地区,安徽,,,8850,50,0.57%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/11,苯酐,华东地区,安徽,,,8800,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/10,苯酐,华东地区,安徽,,,8800,-50,-0.56%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/07,苯酐,华东地区,安徽,,,8850,-50,-0.56%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/06,苯酐,华东地区,安徽,,,8900,0,0%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/05,苯酐,华东地区,安徽,,,8900,-150,-1.66%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/04,苯酐,华东地区,安徽,,,9050,-50,-0.55%,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
2026/08/03,苯酐,华东地区,安徽,,,9100,,,元/吨,厂提现汇,Phthalic_Anhydride_Domestic,3
