数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/15,苯酐,华南地区,广东,,,8100,100,1.25%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/07/14,苯酐,华南地区,广东,,,8000,300,3.9%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/07/13,苯酐,华南地区,广东,,,7700,200,2.67%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/07/10,苯酐,华南地区,广东,,,7500,50,0.67%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/07/09,苯酐,华南地区,广东,,,7450,100,1.36%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/07/08,苯酐,华南地区,广东,,,7350,150,2.08%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/07/07,苯酐,华南地区,广东,,,7200,100,1.41%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/07/06,苯酐,华南地区,广东,,,7100,-50,-0.7%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/07/03,苯酐,华南地区,广东,,,7150,-50,-0.69%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/07/02,苯酐,华南地区,广东,,,7200,-50,-0.69%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/07/01,苯酐,华南地区,广东,,,7250,-200,-2.68%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/06/30,苯酐,华南地区,广东,,,7450,-100,-1.32%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/06/29,苯酐,华南地区,广东,,,7550,-50,-0.66%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/06/26,苯酐,华南地区,广东,,,7600,-150,-1.94%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
2026/06/25,苯酐,华南地区,广东,,,7750,-50,-0.64%,元/吨,送到价,Phthalic_Anhydride_Domestic,3
