数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/02,丙烯,东北地区,东北,7340,7450,7395,0,0%,元/吨,,Propylene_Domestic,3
2026/07/01,丙烯,东北地区,东北,7340,7450,7395,100,1.37%,元/吨,,Propylene_Domestic,3
2026/06/30,丙烯,东北地区,东北,7240,7350,7295,410,5.95%,元/吨,,Propylene_Domestic,3
2026/06/29,丙烯,东北地区,东北,6830,6940,6885,320,4.87%,元/吨,,Propylene_Domestic,3
2026/06/26,丙烯,东北地区,东北,6510,6620,6565,0,0%,元/吨,,Propylene_Domestic,3
2026/06/25,丙烯,东北地区,东北,6510,6620,6565,-400,-5.74%,元/吨,,Propylene_Domestic,3
2026/06/24,丙烯,东北地区,东北,6910,7020,6965,-290,-4%,元/吨,,Propylene_Domestic,3
2026/06/23,丙烯,东北地区,东北,7200,7310,7255,-140,-1.89%,元/吨,,Propylene_Domestic,3
2026/06/22,丙烯,东北地区,东北,7340,7450,7395,520,7.56%,元/吨,,Propylene_Domestic,3
2026/06/18,丙烯,东北地区,东北,6820,6930,6875,-500,-6.78%,元/吨,,Propylene_Domestic,3
2026/06/17,丙烯,东北地区,东北,7320,7430,7375,-470,-5.99%,元/吨,,Propylene_Domestic,3
2026/06/16,丙烯,东北地区,东北,7790,7900,7845,-380,-4.62%,元/吨,,Propylene_Domestic,3
2026/06/15,丙烯,东北地区,东北,8170,8280,8225,-260,-3.06%,元/吨,,Propylene_Domestic,3
2026/06/12,丙烯,东北地区,东北,8430,8540,8485,-20,-0.24%,元/吨,,Propylene_Domestic,3
2026/06/11,丙烯,东北地区,东北,8450,8560,8505,0,0%,元/吨,,Propylene_Domestic,3
2026/06/10,丙烯,东北地区,东北,8450,8560,8505,-50,-0.58%,元/吨,,Propylene_Domestic,3
2026/06/09,丙烯,东北地区,东北,8500,8610,8555,0,0%,元/吨,,Propylene_Domestic,3
2026/06/08,丙烯,东北地区,东北,8500,8610,8555,-100,-1.16%,元/吨,,Propylene_Domestic,3
2026/06/05,丙烯,东北地区,东北,8600,8710,8655,-30,-0.35%,元/吨,,Propylene_Domestic,3
2026/06/04,丙烯,东北地区,东北,8630,8740,8685,0,0%,元/吨,,Propylene_Domestic,3
2026/06/03,丙烯,东北地区,东北,8630,8740,8685,20,0.23%,元/吨,,Propylene_Domestic,3
2026/06/02,丙烯,东北地区,东北,8610,8720,8665,0,0%,元/吨,,Propylene_Domestic,3
2026/06/01,丙烯,东北地区,东北,8610,8720,8665,-120,-1.37%,元/吨,,Propylene_Domestic,3
2026/05/29,丙烯,东北地区,东北,8730,8840,8785,0,0%,元/吨,,Propylene_Domestic,3
2026/05/28,丙烯,东北地区,东北,8730,8840,8785,80,0.92%,元/吨,,Propylene_Domestic,3
2026/05/27,丙烯,东北地区,东北,8650,8760,8705,-20,-0.23%,元/吨,,Propylene_Domestic,3
2026/05/26,丙烯,东北地区,东北,8670,8780,8725,-90,-1.02%,元/吨,,Propylene_Domestic,3
2026/05/25,丙烯,东北地区,东北,8760,8870,8815,40,0.46%,元/吨,,Propylene_Domestic,3
2026/05/22,丙烯,东北地区,东北,8720,8830,8775,20,0.23%,元/吨,,Propylene_Domestic,3
2026/05/21,丙烯,东北地区,东北,8700,8810,8755,0,0%,元/吨,,Propylene_Domestic,3
2026/05/20,丙烯,东北地区,东北,8700,8810,8755,0,0%,元/吨,,Propylene_Domestic,3
2026/05/19,丙烯,东北地区,东北,8700,8810,8755,-60,-0.68%,元/吨,,Propylene_Domestic,3
2026/05/18,丙烯,东北地区,东北,8760,8870,8815,10,0.11%,元/吨,,Propylene_Domestic,3
2026/05/15,丙烯,东北地区,东北,8750,8860,8805,-20,-0.23%,元/吨,,Propylene_Domestic,3
2026/05/14,丙烯,东北地区,东北,8770,8880,8825,0,0%,元/吨,,Propylene_Domestic,3
2026/05/13,丙烯,东北地区,东北,8770,8880,8825,0,0%,元/吨,,Propylene_Domestic,3
2026/05/12,丙烯,东北地区,东北,8770,8880,8825,0,0%,元/吨,,Propylene_Domestic,3
2026/05/11,丙烯,东北地区,东北,8770,8880,8825,50,0.57%,元/吨,,Propylene_Domestic,3
2026/05/09,丙烯,东北地区,东北,8720,8830,8775,-300,-3.31%,元/吨,,Propylene_Domestic,3
2026/05/08,丙烯,东北地区,东北,9020,9130,9075,-180,-1.94%,元/吨,,Propylene_Domestic,3
2026/05/07,丙烯,东北地区,东北,9200,9310,9255,-200,-2.12%,元/吨,,Propylene_Domestic,3
2026/05/06,丙烯,东北地区,东北,9400,9510,9455,70,0.75%,元/吨,,Propylene_Domestic,3
2026/04/30,丙烯,东北地区,东北,9330,9440,9385,280,3.08%,元/吨,,Propylene_Domestic,3
2026/04/29,丙烯,东北地区,东北,9050,9160,9105,150,1.68%,元/吨,,Propylene_Domestic,3
2026/04/28,丙烯,东北地区,东北,8900,9010,8955,200,2.28%,元/吨,,Propylene_Domestic,3
2026/04/27,丙烯,东北地区,东北,8700,8810,8755,-250,-2.78%,元/吨,,Propylene_Domestic,3
2026/04/24,丙烯,东北地区,东北,8950,9060,9005,-20,-0.22%,元/吨,,Propylene_Domestic,3
2026/04/23,丙烯,东北地区,东北,8970,9080,9025,-40,-0.44%,元/吨,,Propylene_Domestic,3
2026/04/22,丙烯,东北地区,东北,9010,9120,9065,50,0.55%,元/吨,,Propylene_Domestic,3
2026/04/21,丙烯,东北地区,东北,8960,9070,9015,150,1.69%,元/吨,,Propylene_Domestic,3
2026/04/20,丙烯,东北地区,东北,8810,8920,8865,140,1.6%,元/吨,,Propylene_Domestic,3
2026/04/17,丙烯,东北地区,东北,8670,8780,8725,-160,-1.8%,元/吨,,Propylene_Domestic,3
2026/04/16,丙烯,东北地区,东北,8830,8940,8885,-200,-2.2%,元/吨,,Propylene_Domestic,3
2026/04/15,丙烯,东北地区,东北,9030,9140,9085,-70,-0.76%,元/吨,,Propylene_Domestic,3
2026/04/14,丙烯,东北地区,东北,9100,9210,9155,200,2.23%,元/吨,,Propylene_Domestic,3
2026/04/13,丙烯,东北地区,东北,8900,9010,8955,300,3.47%,元/吨,,Propylene_Domestic,3
