数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/10,丙烯,山东省,东营,8750,8860,8805,-45,-0.51%,元/吨,,Propylene_Domestic,3
2026/06/09,丙烯,山东省,东营,8800,8900,8850,25,0.28%,元/吨,,Propylene_Domestic,3
2026/06/08,丙烯,山东省,东营,8750,8900,8825,-140,-1.56%,元/吨,,Propylene_Domestic,3
2026/06/05,丙烯,山东省,东营,8870,9060,8965,-15,-0.17%,元/吨,,Propylene_Domestic,3
2026/06/04,丙烯,山东省,东营,8900,9060,8980,-15,-0.17%,元/吨,,Propylene_Domestic,3
2026/06/03,丙烯,山东省,东营,8960,9030,8995,5,0.06%,元/吨,,Propylene_Domestic,3
2026/06/02,丙烯,山东省,东营,8950,9030,8990,0,0%,元/吨,,Propylene_Domestic,3
2026/06/01,丙烯,山东省,东营,8950,9030,8990,-115,-1.26%,元/吨,,Propylene_Domestic,3
2026/05/29,丙烯,山东省,东营,9060,9150,9105,10,0.11%,元/吨,,Propylene_Domestic,3
2026/05/28,丙烯,山东省,东营,9050,9140,9095,80,0.89%,元/吨,,Propylene_Domestic,3
2026/05/27,丙烯,山东省,东营,8950,9080,9015,-20,-0.22%,元/吨,,Propylene_Domestic,3
2026/05/26,丙烯,山东省,东营,8970,9100,9035,-60,-0.66%,元/吨,,Propylene_Domestic,3
2026/05/25,丙烯,山东省,东营,9000,9190,9095,15,0.17%,元/吨,,Propylene_Domestic,3
2026/05/22,丙烯,山东省,东营,8990,9170,9080,-5,-0.06%,元/吨,,Propylene_Domestic,3
2026/05/21,丙烯,山东省,东营,9050,9120,9085,-50,-0.55%,元/吨,,Propylene_Domestic,3
2026/05/20,丙烯,山东省,东营,9050,9200,9135,5,0.05%,元/吨,,Propylene_Domestic,3
2026/05/19,丙烯,山东省,东营,9050,9210,9130,-20,-0.22%,元/吨,,Propylene_Domestic,3
2026/05/18,丙烯,山东省,东营,9070,9230,9150,-35,-0.38%,元/吨,,Propylene_Domestic,3
2026/05/15,丙烯,山东省,东营,9120,9250,9185,-5,-0.05%,元/吨,,Propylene_Domestic,3
2026/05/14,丙烯,山东省,东营,9130,9250,9190,-15,-0.16%,元/吨,,Propylene_Domestic,3
2026/05/13,丙烯,山东省,东营,9140,9270,9205,10,0.11%,元/吨,,Propylene_Domestic,3
2026/05/12,丙烯,山东省,东营,9140,9250,9195,-35,-0.38%,元/吨,,Propylene_Domestic,3
2026/05/11,丙烯,山东省,东营,9160,9300,9230,5,0.05%,元/吨,,Propylene_Domestic,3
2026/05/09,丙烯,山东省,东营,9050,9400,9225,-315,-3.3%,元/吨,,Propylene_Domestic,3
2026/05/08,丙烯,山东省,东营,9380,9700,9540,-115,-1.19%,元/吨,,Propylene_Domestic,3
2026/05/07,丙烯,山东省,东营,9500,9810,9655,-75,-0.77%,元/吨,,Propylene_Domestic,3
2026/05/06,丙烯,山东省,东营,9650,9810,9730,155,1.62%,元/吨,,Propylene_Domestic,3
2026/04/30,丙烯,山东省,东营,9430,9720,9575,210,2.24%,元/吨,,Propylene_Domestic,3
2026/04/29,丙烯,山东省,东营,9320,9410,9365,215,2.35%,元/吨,,Propylene_Domestic,3
2026/04/28,丙烯,山东省,东营,9030,9270,9150,155,1.72%,元/吨,,Propylene_Domestic,3
2026/04/27,丙烯,山东省,东营,8930,9060,8995,-315,-3.38%,元/吨,,Propylene_Domestic,3
2026/04/24,丙烯,山东省,东营,9250,9370,9310,-5,-0.05%,元/吨,,Propylene_Domestic,3
2026/04/23,丙烯,山东省,东营,9260,9370,9315,-20,-0.21%,元/吨,,Propylene_Domestic,3
2026/04/22,丙烯,山东省,东营,9300,9370,9335,70,0.76%,元/吨,,Propylene_Domestic,3
2026/04/21,丙烯,山东省,东营,9200,9330,9265,165,1.81%,元/吨,,Propylene_Domestic,3
2026/04/20,丙烯,山东省,东营,9020,9180,9100,125,1.39%,元/吨,,Propylene_Domestic,3
2026/04/17,丙烯,山东省,东营,8950,9000,8975,-205,-2.23%,元/吨,,Propylene_Domestic,3
2026/04/16,丙烯,山东省,东营,9010,9350,9180,-165,-1.77%,元/吨,,Propylene_Domestic,3
2026/04/15,丙烯,山东省,东营,9290,9400,9345,-30,-0.32%,元/吨,,Propylene_Domestic,3
2026/04/14,丙烯,山东省,东营,9350,9400,9375,190,2.07%,元/吨,,Propylene_Domestic,3
2026/04/13,丙烯,山东省,东营,9050,9320,9185,220,2.45%,元/吨,,Propylene_Domestic,3
2026/04/10,丙烯,山东省,东营,8900,9030,8965,-185,-2.02%,元/吨,,Propylene_Domestic,3
2026/04/09,丙烯,山东省,东营,9000,9300,9150,-430,-4.49%,元/吨,,Propylene_Domestic,3
2026/04/08,丙烯,山东省,东营,9550,9610,9580,0,0%,元/吨,,Propylene_Domestic,3
2026/04/07,丙烯,山东省,东营,9550,9610,9580,365,3.96%,元/吨,,Propylene_Domestic,3
2026/04/03,丙烯,山东省,东营,8880,9550,9215,410,4.66%,元/吨,,Propylene_Domestic,3
2026/04/02,丙烯,山东省,东营,8750,8860,8805,55,0.63%,元/吨,,Propylene_Domestic,3
2026/04/01,丙烯,山东省,东营,8730,8770,8750,15,0.17%,元/吨,,Propylene_Domestic,3
2026/03/31,丙烯,山东省,东营,8700,8770,8735,-20,-0.23%,元/吨,,Propylene_Domestic,3
2026/03/30,丙烯,山东省,东营,8740,8770,8755,440,5.29%,元/吨,,Propylene_Domestic,3
2026/03/27,丙烯,山东省,东营,8100,8530,8315,-485,-5.51%,元/吨,,Propylene_Domestic,3
2026/03/26,丙烯,山东省,东营,8800,8800,8800,-195,-2.17%,元/吨,,Propylene_Domestic,3
2026/03/25,丙烯,山东省,东营,8970,9020,8995,-15,-0.17%,元/吨,,Propylene_Domestic,3
2026/03/24,丙烯,山东省,东营,9000,9020,9010,-55,-0.61%,元/吨,,Propylene_Domestic,3
2026/03/23,丙烯,山东省,东营,9000,9130,9065,485,5.65%,元/吨,,Propylene_Domestic,3
