数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/15,丙烯,华东地区,浙江宁波,8350,8350,8350,0,0%,元/吨,,Propylene_Domestic,3
2026/07/14,丙烯,华东地区,浙江宁波,8350,8350,8350,300,3.73%,元/吨,,Propylene_Domestic,3
2026/07/13,丙烯,华东地区,浙江宁波,8050,8050,8050,100,1.26%,元/吨,,Propylene_Domestic,3
2026/07/10,丙烯,华东地区,浙江宁波,7950,7950,7950,0,0%,元/吨,,Propylene_Domestic,3
2026/07/09,丙烯,华东地区,浙江宁波,7950,7950,7950,200,2.58%,元/吨,,Propylene_Domestic,3
2026/07/08,丙烯,华东地区,浙江宁波,7750,7750,7750,200,2.65%,元/吨,,Propylene_Domestic,3
2026/07/07,丙烯,华东地区,浙江宁波,7350,7550,7550,200,2.72%,元/吨,,Propylene_Domestic,3
2026/07/06,丙烯,华东地区,浙江宁波,7350,7350,7350,-300,-3.92%,元/吨,,Propylene_Domestic,3
2026/07/03,丙烯,华东地区,浙江宁波,7650,7650,7650,-150,-1.92%,元/吨,,Propylene_Domestic,3
2026/07/02,丙烯,华东地区,浙江宁波,7800,7800,7800,0,0%,元/吨,,Propylene_Domestic,3
2026/07/01,丙烯,华东地区,浙江宁波,7800,7800,7800,0,0%,元/吨,,Propylene_Domestic,3
2026/06/30,丙烯,华东地区,浙江宁波,7800,7800,7800,450,6.12%,元/吨,,Propylene_Domestic,3
2026/06/29,丙烯,华东地区,浙江宁波,7350,7350,7350,250,3.52%,元/吨,,Propylene_Domestic,3
2026/06/26,丙烯,华东地区,浙江宁波,7100,7100,7100,-400,-5.33%,元/吨,,Propylene_Domestic,3
2026/06/25,丙烯,华东地区,浙江宁波,7500,7500,7500,0,0%,元/吨,,Propylene_Domestic,3
2026/06/24,丙烯,华东地区,浙江宁波,7500,7500,7500,-350,-4.46%,元/吨,,Propylene_Domestic,3
2026/06/23,丙烯,华东地区,浙江宁波,7850,7850,7850,-100,-1.26%,元/吨,,Propylene_Domestic,3
2026/06/22,丙烯,华东地区,浙江宁波,7950,7950,7950,500,6.71%,元/吨,,Propylene_Domestic,3
2026/06/18,丙烯,华东地区,浙江宁波,7450,7450,7450,-500,-6.29%,元/吨,,Propylene_Domestic,3
2026/06/17,丙烯,华东地区,浙江宁波,7950,7950,7950,-500,-5.92%,元/吨,,Propylene_Domestic,3
2026/06/16,丙烯,华东地区,浙江宁波,8450,8450,8450,-250,-2.87%,元/吨,,Propylene_Domestic,3
2026/06/15,丙烯,华东地区,浙江宁波,8700,8700,8700,-200,-2.25%,元/吨,,Propylene_Domestic,3
2026/06/12,丙烯,华东地区,浙江宁波,8900,8900,8900,0,0%,元/吨,,Propylene_Domestic,3
2026/06/11,丙烯,华东地区,浙江宁波,8900,8900,8900,0,0%,元/吨,,Propylene_Domestic,3
2026/06/10,丙烯,华东地区,浙江宁波,8900,8900,8900,-50,-0.56%,元/吨,,Propylene_Domestic,3
2026/06/09,丙烯,华东地区,浙江宁波,8950,8950,8950,0,0%,元/吨,,Propylene_Domestic,3
2026/06/08,丙烯,华东地区,浙江宁波,8950,8950,8950,-100,-1.1%,元/吨,,Propylene_Domestic,3
2026/06/05,丙烯,华东地区,浙江宁波,9050,9050,9050,-50,-0.55%,元/吨,,Propylene_Domestic,3
2026/06/04,丙烯,华东地区,浙江宁波,9100,9100,9100,-50,-0.55%,元/吨,,Propylene_Domestic,3
2026/06/03,丙烯,华东地区,浙江宁波,9150,9150,9150,0,0%,元/吨,,Propylene_Domestic,3
2026/06/02,丙烯,华东地区,浙江宁波,9150,9150,9150,0,0%,元/吨,,Propylene_Domestic,3
2026/06/01,丙烯,华东地区,浙江宁波,9150,9150,9150,-100,-1.08%,元/吨,,Propylene_Domestic,3
2026/05/29,丙烯,华东地区,浙江宁波,9250,9250,9250,0,0%,元/吨,,Propylene_Domestic,3
2026/05/28,丙烯,华东地区,浙江宁波,9250,9250,9250,50,0.54%,元/吨,,Propylene_Domestic,3
2026/05/27,丙烯,华东地区,浙江宁波,9200,9200,9200,0,0%,元/吨,,Propylene_Domestic,3
2026/05/26,丙烯,华东地区,浙江宁波,9200,9200,9200,-50,-0.54%,元/吨,,Propylene_Domestic,3
2026/05/25,丙烯,华东地区,浙江宁波,9250,9250,9250,0,0%,元/吨,,Propylene_Domestic,3
2026/05/22,丙烯,华东地区,浙江宁波,9250,9250,9250,0,0%,元/吨,,Propylene_Domestic,3
2026/05/21,丙烯,华东地区,浙江宁波,9250,9250,9250,-100,-1.07%,元/吨,,Propylene_Domestic,3
2026/05/20,丙烯,华东地区,浙江宁波,9350,9350,9350,0,0%,元/吨,,Propylene_Domestic,3
2026/05/19,丙烯,华东地区,浙江宁波,9350,9350,9350,-50,-0.53%,元/吨,,Propylene_Domestic,3
2026/05/18,丙烯,华东地区,浙江宁波,9400,9400,9400,0,0%,元/吨,,Propylene_Domestic,3
2026/05/15,丙烯,华东地区,浙江宁波,9400,9400,9400,-50,-0.53%,元/吨,,Propylene_Domestic,3
2026/05/14,丙烯,华东地区,浙江宁波,9450,9450,9450,0,0%,元/吨,,Propylene_Domestic,3
2026/05/13,丙烯,华东地区,浙江宁波,9450,9450,9450,0,0%,元/吨,,Propylene_Domestic,3
2026/05/12,丙烯,华东地区,浙江宁波,9450,9450,9450,-50,-0.53%,元/吨,,Propylene_Domestic,3
2026/05/11,丙烯,华东地区,浙江宁波,9500,9500,9500,0,0%,元/吨,,Propylene_Domestic,3
2026/05/09,丙烯,华东地区,浙江宁波,9500,9500,9500,-200,-2.06%,元/吨,,Propylene_Domestic,3
2026/05/08,丙烯,华东地区,浙江宁波,9700,9700,9700,-100,-1.02%,元/吨,,Propylene_Domestic,3
2026/05/07,丙烯,华东地区,浙江宁波,9800,9800,9800,-50,-0.51%,元/吨,,Propylene_Domestic,3
2026/05/06,丙烯,华东地区,浙江宁波,9800,9900,9850,300,3.14%,元/吨,,Propylene_Domestic,3
2026/04/30,丙烯,华东地区,浙江宁波,9550,9550,9550,50,0.53%,元/吨,,Propylene_Domestic,3
2026/04/29,丙烯,华东地区,浙江宁波,9500,9500,9500,175,1.88%,元/吨,,Propylene_Domestic,3
2026/04/28,丙烯,华东地区,浙江宁波,9250,9400,9325,50,0.54%,元/吨,,Propylene_Domestic,3
2026/04/27,丙烯,华东地区,浙江宁波,9250,9300,9275,-225,-2.37%,元/吨,,Propylene_Domestic,3
2026/04/24,丙烯,华东地区,浙江宁波,9500,9500,9500,0,0%,元/吨,,Propylene_Domestic,3
2026/04/23,丙烯,华东地区,浙江宁波,9500,9500,9500,0,0%,元/吨,,Propylene_Domestic,3
2026/04/22,丙烯,华东地区,浙江宁波,9500,9500,9500,125,1.33%,元/吨,,Propylene_Domestic,3
2026/04/21,丙烯,华东地区,浙江宁波,9350,9400,9375,125,1.35%,元/吨,,Propylene_Domestic,3
2026/04/20,丙烯,华东地区,浙江宁波,9100,9400,9250,-125,-1.33%,元/吨,,Propylene_Domestic,3
2026/04/17,丙烯,华东地区,浙江宁波,9300,9450,9375,-150,-1.57%,元/吨,,Propylene_Domestic,3
2026/04/16,丙烯,华东地区,浙江宁波,9450,9600,9525,-25,-0.26%,元/吨,,Propylene_Domestic,3
2026/04/15,丙烯,华东地区,浙江宁波,9500,9600,9550,150,1.6%,元/吨,,Propylene_Domestic,3
2026/04/14,丙烯,华东地区,浙江宁波,9400,9400,9400,100,1.08%,元/吨,,Propylene_Domestic,3
2026/04/13,丙烯,华东地区,浙江宁波,9150,9450,9300,0,0%,元/吨,,Propylene_Domestic,3
2026/04/10,丙烯,华东地区,浙江宁波,9300,9300,9300,-150,-1.59%,元/吨,,Propylene_Domestic,3
2026/04/09,丙烯,华东地区,浙江宁波,9450,9450,9450,-300,-3.08%,元/吨,,Propylene_Domestic,3
2026/04/08,丙烯,华东地区,浙江宁波,9750,9750,9750,-25,-0.26%,元/吨,,Propylene_Domestic,3
2026/04/07,丙烯,华东地区,浙江宁波,9750,9800,9775,375,3.99%,元/吨,,Propylene_Domestic,3
2026/04/03,丙烯,华东地区,浙江宁波,9400,9400,9400,150,1.62%,元/吨,,Propylene_Domestic,3
2026/04/02,丙烯,华东地区,浙江宁波,9100,9400,9250,150,1.65%,元/吨,,Propylene_Domestic,3
2026/04/01,丙烯,华东地区,浙江宁波,9100,9100,9100,-175,-1.89%,元/吨,,Propylene_Domestic,3
2026/03/31,丙烯,华东地区,浙江宁波,9100,9450,9275,0,0%,元/吨,,Propylene_Domestic,3
2026/03/30,丙烯,华东地区,浙江宁波,9100,9450,9275,300,3.34%,元/吨,,Propylene_Domestic,3
2026/03/27,丙烯,华东地区,浙江宁波,8750,9200,8975,-25,-0.28%,元/吨,,Propylene_Domestic,3
2026/03/26,丙烯,华东地区,浙江宁波,9000,9000,9000,-250,-2.7%,元/吨,,Propylene_Domestic,3
2026/03/25,丙烯,华东地区,浙江宁波,9200,9300,9250,-50,-0.54%,元/吨,,Propylene_Domestic,3
2026/03/24,丙烯,华东地区,浙江宁波,9300,9300,9300,0,0%,元/吨,,Propylene_Domestic,3
2026/03/23,丙烯,华东地区,浙江宁波,9300,9300,9300,650,7.51%,元/吨,,Propylene_Domestic,3
2026/03/20,丙烯,华东地区,浙江宁波,8600,8700,8650,0,0%,元/吨,,Propylene_Domestic,3
2026/03/19,丙烯,华东地区,浙江宁波,8600,8700,8650,350,4.22%,元/吨,,Propylene_Domestic,3
2026/03/18,丙烯,华东地区,浙江宁波,8300,8300,8300,100,1.22%,元/吨,,Propylene_Domestic,3
2026/03/17,丙烯,华东地区,浙江宁波,8200,8200,8200,0,0%,元/吨,,Propylene_Domestic,3
2026/03/16,丙烯,华东地区,浙江宁波,8200,8200,8200,-150,-1.8%,元/吨,,Propylene_Domestic,3
2026/03/13,丙烯,华东地区,浙江宁波,8350,8350,8350,0,0%,元/吨,,Propylene_Domestic,3
2026/03/12,丙烯,华东地区,浙江宁波,8350,8350,8350,-350,-4.02%,元/吨,,Propylene_Domestic,3
2026/03/11,丙烯,华东地区,浙江宁波,8500,8900,8700,-175,-1.97%,元/吨,,Propylene_Domestic,3
2026/03/10,丙烯,华东地区,浙江宁波,8850,8900,8875,-825,-8.51%,元/吨,,Propylene_Domestic,3
2026/03/09,丙烯,华东地区,浙江宁波,9700,9700,9700,2000,25.97%,元/吨,,Propylene_Domestic,3
2026/03/06,丙烯,华东地区,浙江宁波,7700,7700,7700,350,4.76%,元/吨,,Propylene_Domestic,3
2026/03/05,丙烯,华东地区,浙江宁波,7350,7350,7350,350,5%,元/吨,,Propylene_Domestic,3
2026/03/04,丙烯,华东地区,浙江宁波,7000,7000,7000,325,4.87%,元/吨,,Propylene_Domestic,3
2026/03/03,丙烯,华东地区,浙江宁波,6650,6700,6675,25,0.38%,元/吨,,Propylene_Domestic,3
2026/03/02,丙烯,华东地区,浙江宁波,6650,6650,6650,110,1.68%,元/吨,,Propylene_Domestic,3
2026/02/28,丙烯,华东地区,浙江宁波,6530,6550,6540,-10,-0.15%,元/吨,,Propylene_Domestic,3
2026/02/27,丙烯,华东地区,浙江宁波,6550,6550,6550,0,0%,元/吨,,Propylene_Domestic,3
2026/02/26,丙烯,华东地区,浙江宁波,6550,6550,6550,0,0%,元/吨,,Propylene_Domestic,3
2026/02/25,丙烯,华东地区,浙江宁波,6550,6550,6550,0,0%,元/吨,,Propylene_Domestic,3
2026/02/24,丙烯,华东地区,浙江宁波,6550,6550,6550,75,1.16%,元/吨,,Propylene_Domestic,3
2026/02/14,丙烯,华东地区,浙江宁波,6450,6500,6475,0,0%,元/吨,,Propylene_Domestic,3
2026/02/13,丙烯,华东地区,浙江宁波,6450,6500,6475,0,0%,元/吨,,Propylene_Domestic,3
2026/02/12,丙烯,华东地区,浙江宁波,6450,6500,6475,0,0%,元/吨,,Propylene_Domestic,3
2026/02/11,丙烯,华东地区,浙江宁波,6450,6500,6475,0,0%,元/吨,,Propylene_Domestic,3
2026/02/10,丙烯,华东地区,浙江宁波,6450,6500,6475,-25,-0.38%,元/吨,,Propylene_Domestic,3
2026/02/09,丙烯,华东地区,浙江宁波,6500,6500,6500,0,0%,元/吨,,Propylene_Domestic,3
2026/02/06,丙烯,华东地区,浙江宁波,6500,6500,6500,0,0%,元/吨,,Propylene_Domestic,3
2026/02/05,丙烯,华东地区,浙江宁波,6500,6500,6500,0,0%,元/吨,,Propylene_Domestic,3
2026/02/04,丙烯,华东地区,浙江宁波,6500,6500,6500,0,0%,元/吨,,Propylene_Domestic,3
2026/02/03,丙烯,华东地区,浙江宁波,6500,6500,6500,0,0%,元/吨,,Propylene_Domestic,3
2026/02/02,丙烯,华东地区,浙江宁波,6500,6500,6500,0,0%,元/吨,,Propylene_Domestic,3
2026/01/30,丙烯,华东地区,浙江宁波,6500,6500,6500,50,0.78%,元/吨,,Propylene_Domestic,3
2026/01/29,丙烯,华东地区,浙江宁波,6450,6450,6450,0,0%,元/吨,,Propylene_Domestic,3
2026/01/28,丙烯,华东地区,浙江宁波,6450,6450,6450,0,0%,元/吨,,Propylene_Domestic,3
2026/01/27,丙烯,华东地区,浙江宁波,6450,6450,6450,50,0.78%,元/吨,,Propylene_Domestic,3
2026/01/26,丙烯,华东地区,浙江宁波,6400,6400,6400,50,0.79%,元/吨,,Propylene_Domestic,3
2026/01/23,丙烯,华东地区,浙江宁波,6350,6350,6350,25,0.4%,元/吨,,Propylene_Domestic,3
2026/01/22,丙烯,华东地区,浙江宁波,6300,6350,6325,0,0%,元/吨,,Propylene_Domestic,3
2026/01/21,丙烯,华东地区,浙江宁波,6300,6350,6325,25,0.4%,元/吨,,Propylene_Domestic,3
2026/01/20,丙烯,华东地区,浙江宁波,6300,6300,6300,0,0%,元/吨,,Propylene_Domestic,3
2026/01/19,丙烯,华东地区,浙江宁波,6300,6300,6300,0,0%,元/吨,,Propylene_Domestic,3
2026/01/16,丙烯,华东地区,浙江宁波,6300,6300,6300,0,0%,元/吨,,Propylene_Domestic,3
2026/01/15,丙烯,华东地区,浙江宁波,6300,6300,6300,125,2.02%,元/吨,,Propylene_Domestic,3
2026/01/14,丙烯,华东地区,浙江宁波,6150,6200,6175,125,2.07%,元/吨,,Propylene_Domestic,3
2026/01/13,丙烯,华东地区,浙江宁波,6050,6050,6050,0,0%,元/吨,,Propylene_Domestic,3
2026/01/12,丙烯,华东地区,浙江宁波,6050,6050,6050,75,1.26%,元/吨,,Propylene_Domestic,3
2026/01/09,丙烯,华东地区,浙江宁波,5950,6000,5975,0,0%,元/吨,,Propylene_Domestic,3
2026/01/08,丙烯,华东地区,浙江宁波,5950,6000,5975,25,0.42%,元/吨,,Propylene_Domestic,3
2026/01/07,丙烯,华东地区,浙江宁波,5900,6000,5950,50,0.85%,元/吨,,Propylene_Domestic,3
2026/01/06,丙烯,华东地区,浙江宁波,5900,5900,5900,50,0.85%,元/吨,,Propylene_Domestic,3
2026/01/05,丙烯,华东地区,浙江宁波,5850,5850,5850,0,0%,元/吨,,Propylene_Domestic,3
2026/01/04,丙烯,华东地区,浙江宁波,5850,5850,5850,-50,-0.85%,元/吨,,Propylene_Domestic,3
2025/12/31,丙烯,华东地区,浙江宁波,5900,5900,5900,0,0%,元/吨,,Propylene_Domestic,3
2025/12/30,丙烯,华东地区,浙江宁波,5900,5900,5900,0,0%,元/吨,,Propylene_Domestic,3
2025/12/29,丙烯,华东地区,浙江宁波,5900,5900,5900,0,0%,元/吨,,Propylene_Domestic,3
2025/12/26,丙烯,华东地区,浙江宁波,5900,5900,5900,0,0%,元/吨,,Propylene_Domestic,3
2025/12/25,丙烯,华东地区,浙江宁波,5900,5900,5900,0,0%,元/吨,,Propylene_Domestic,3
2025/12/24,丙烯,华东地区,浙江宁波,5900,5900,5900,0,0%,元/吨,,Propylene_Domestic,3
2025/12/23,丙烯,华东地区,浙江宁波,5900,5900,5900,-50,-0.84%,元/吨,,Propylene_Domestic,3
2025/12/22,丙烯,华东地区,浙江宁波,5950,5950,5950,0,0%,元/吨,,Propylene_Domestic,3
2025/12/19,丙烯,华东地区,浙江宁波,5950,5950,5950,0,0%,元/吨,,Propylene_Domestic,3
2025/12/18,丙烯,华东地区,浙江宁波,5950,5950,5950,-50,-0.83%,元/吨,,Propylene_Domestic,3
2025/12/17,丙烯,华东地区,浙江宁波,6000,6000,6000,0,0%,元/吨,,Propylene_Domestic,3
2025/12/16,丙烯,华东地区,浙江宁波,6000,6000,6000,0,0%,元/吨,,Propylene_Domestic,3
2025/12/15,丙烯,华东地区,浙江宁波,6000,6000,6000,0,0%,元/吨,,Propylene_Domestic,3
2025/12/12,丙烯,华东地区,浙江宁波,6000,6000,6000,0,0%,元/吨,,Propylene_Domestic,3
2025/12/11,丙烯,华东地区,浙江宁波,6000,6000,6000,0,0%,元/吨,,Propylene_Domestic,3
2025/12/10,丙烯,华东地区,浙江宁波,6000,6000,6000,-25,-0.41%,元/吨,,Propylene_Domestic,3
2025/12/09,丙烯,华东地区,浙江宁波,6000,6050,6025,0,0%,元/吨,,Propylene_Domestic,3
2025/12/08,丙烯,华东地区,浙江宁波,6000,6050,6025,0,0%,元/吨,,Propylene_Domestic,3
2025/12/05,丙烯,华东地区,浙江宁波,6000,6050,6025,0,0%,元/吨,,Propylene_Domestic,3
2025/12/04,丙烯,华东地区,浙江宁波,6000,6050,6025,0,0%,元/吨,,Propylene_Domestic,3
2025/12/03,丙烯,华东地区,浙江宁波,6000,6050,6025,0,0%,元/吨,,Propylene_Domestic,3
2025/12/02,丙烯,华东地区,浙江宁波,6000,6050,6025,0,0%,元/吨,,Propylene_Domestic,3
2025/12/01,丙烯,华东地区,浙江宁波,6000,6050,6025,0,0%,元/吨,,Propylene_Domestic,3
2025/11/28,丙烯,华东地区,浙江宁波,6000,6050,6025,25,0.42%,元/吨,,Propylene_Domestic,3
2025/11/27,丙烯,华东地区,浙江宁波,5950,6050,6000,0,0%,元/吨,,Propylene_Domestic,3
2025/11/26,丙烯,华东地区,浙江宁波,5950,6050,6000,25,0.42%,元/吨,,Propylene_Domestic,3
2025/11/25,丙烯,华东地区,浙江宁波,5950,6000,5975,15,0.25%,元/吨,,Propylene_Domestic,3
2025/11/24,丙烯,华东地区,浙江宁波,5950,5970,5960,0,0%,元/吨,,Propylene_Domestic,3
2025/11/21,丙烯,华东地区,浙江宁波,5950,5970,5960,10,0.17%,元/吨,,Propylene_Domestic,3
2025/11/20,丙烯,华东地区,浙江宁波,5950,5950,5950,25,0.42%,元/吨,,Propylene_Domestic,3
2025/11/19,丙烯,华东地区,浙江宁波,5900,5950,5925,0,0%,元/吨,,Propylene_Domestic,3
2025/11/18,丙烯,华东地区,浙江宁波,5900,5950,5925,0,0%,元/吨,,Propylene_Domestic,3
2025/11/17,丙烯,华东地区,浙江宁波,5900,5950,5925,0,0%,元/吨,,Propylene_Domestic,3
2025/11/14,丙烯,华东地区,浙江宁波,5900,5950,5925,50,0.85%,元/吨,,Propylene_Domestic,3
2025/11/13,丙烯,华东地区,浙江宁波,5850,5900,5875,0,0%,元/吨,,Propylene_Domestic,3
2025/11/12,丙烯,华东地区,浙江宁波,5850,5900,5875,0,0%,元/吨,,Propylene_Domestic,3
2025/11/11,丙烯,华东地区,浙江宁波,5850,5900,5875,25,0.43%,元/吨,,Propylene_Domestic,3
2025/11/10,丙烯,华东地区,浙江宁波,5850,5850,5850,0,0%,元/吨,,Propylene_Domestic,3
2025/11/07,丙烯,华东地区,浙江宁波,5850,5850,5850,0,0%,元/吨,,Propylene_Domestic,3
2025/11/06,丙烯,华东地区,浙江宁波,5850,5850,5850,-25,-0.43%,元/吨,,Propylene_Domestic,3
2025/11/05,丙烯,华东地区,浙江宁波,5850,5900,5875,-50,-0.84%,元/吨,,Propylene_Domestic,3
2025/11/04,丙烯,华东地区,浙江宁波,5900,5950,5925,-75,-1.25%,元/吨,,Propylene_Domestic,3
2025/11/03,丙烯,华东地区,浙江宁波,6000,6000,6000,0,0%,元/吨,,Propylene_Domestic,3
2025/10/31,丙烯,华东地区,浙江宁波,6000,6000,6000,-50,-0.83%,元/吨,,Propylene_Domestic,3
2025/10/30,丙烯,华东地区,浙江宁波,6000,6100,6050,-50,-0.82%,元/吨,,Propylene_Domestic,3
2025/10/29,丙烯,华东地区,浙江宁波,6100,6100,6100,0,0%,元/吨,,Propylene_Domestic,3
2025/10/28,丙烯,华东地区,浙江宁波,6100,6100,6100,0,0%,元/吨,,Propylene_Domestic,3
2025/10/27,丙烯,华东地区,浙江宁波,6100,6100,6100,0,0%,元/吨,,Propylene_Domestic,3
2025/10/24,丙烯,华东地区,浙江宁波,6100,6100,6100,-25,-0.41%,元/吨,,Propylene_Domestic,3
2025/10/23,丙烯,华东地区,浙江宁波,6100,6150,6125,50,0.82%,元/吨,,Propylene_Domestic,3
2025/10/22,丙烯,华东地区,浙江宁波,6000,6150,6075,0,0%,元/吨,,Propylene_Domestic,3
2025/10/21,丙烯,华东地区,浙江宁波,6000,6150,6075,-75,-1.22%,元/吨,,Propylene_Domestic,3
2025/10/20,丙烯,华东地区,浙江宁波,6150,6150,6150,-50,-0.81%,元/吨,,Propylene_Domestic,3
2025/10/17,丙烯,华东地区,浙江宁波,6200,6200,6200,-50,-0.8%,元/吨,,Propylene_Domestic,3
2025/10/16,丙烯,华东地区,浙江宁波,6250,6250,6250,0,0%,元/吨,,Propylene_Domestic,3
2025/10/15,丙烯,华东地区,浙江宁波,6250,6250,6250,0,0%,元/吨,,Propylene_Domestic,3
2025/10/14,丙烯,华东地区,浙江宁波,6250,6250,6250,0,0%,元/吨,,Propylene_Domestic,3
2025/10/13,丙烯,华东地区,浙江宁波,6250,6250,6250,0,0%,元/吨,,Propylene_Domestic,3
2025/10/11,丙烯,华东地区,浙江宁波,6250,6250,6250,-50,-0.79%,元/吨,,Propylene_Domestic,3
2025/10/10,丙烯,华东地区,浙江宁波,6300,6300,6300,0,0%,元/吨,,Propylene_Domestic,3
2025/10/09,丙烯,华东地区,浙江宁波,6300,6300,6300,-100,-1.56%,元/吨,,Propylene_Domestic,3
2025/09/30,丙烯,华东地区,浙江宁波,6400,6400,6400,0,0%,元/吨,,Propylene_Domestic,3
2025/09/29,丙烯,华东地区,浙江宁波,6400,6400,6400,0,0%,元/吨,,Propylene_Domestic,3
2025/09/28,丙烯,华东地区,浙江宁波,6400,6400,6400,0,0%,元/吨,,Propylene_Domestic,3
2025/09/26,丙烯,华东地区,浙江宁波,6400,6400,6400,0,0%,元/吨,,Propylene_Domestic,3
2025/09/25,丙烯,华东地区,浙江宁波,6400,6400,6400,0,0%,元/吨,,Propylene_Domestic,3
2025/09/24,丙烯,华东地区,浙江宁波,6400,6400,6400,0,0%,元/吨,,Propylene_Domestic,3
2025/09/23,丙烯,华东地区,浙江宁波,6300,6500,6400,0,0%,元/吨,,Propylene_Domestic,3
2025/09/22,丙烯,华东地区,浙江宁波,6300,6500,6400,0,0%,元/吨,,Propylene_Domestic,3
2025/09/19,丙烯,华东地区,浙江宁波,6300,6500,6400,0,0%,元/吨,,Propylene_Domestic,3
2025/09/18,丙烯,华东地区,浙江宁波,6300,6500,6400,-50,-0.78%,元/吨,,Propylene_Domestic,3
2025/09/17,丙烯,华东地区,浙江宁波,6400,6500,6450,-75,-1.15%,元/吨,,Propylene_Domestic,3
2025/09/16,丙烯,华东地区,浙江宁波,6500,6550,6525,0,0%,元/吨,,Propylene_Domestic,3
2025/09/15,丙烯,华东地区,浙江宁波,6500,6550,6525,-75,-1.14%,元/吨,,Propylene_Domestic,3
2025/09/12,丙烯,华东地区,浙江宁波,6600,6600,6600,0,0%,元/吨,,Propylene_Domestic,3
