数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/23,丙烯,山东省,淄博,8400,8400,8400,0,0%,元/吨,,Propylene_Domestic,3
2026/07/22,丙烯,山东省,淄博,8400,8400,8400,0,0%,元/吨,,Propylene_Domestic,3
2026/07/21,丙烯,山东省,淄博,8400,8400,8400,-120,-1.41%,元/吨,,Propylene_Domestic,3
2026/07/20,丙烯,山东省,淄博,8510,8530,8520,-30,-0.35%,元/吨,,Propylene_Domestic,3
2026/07/17,丙烯,山东省,淄博,8550,8550,8550,-250,-2.84%,元/吨,,Propylene_Domestic,3
2026/07/16,丙烯,山东省,淄博,8800,8800,8800,-210,-2.33%,元/吨,,Propylene_Domestic,3
2026/07/15,丙烯,山东省,淄博,9000,9020,9010,400,4.65%,元/吨,,Propylene_Domestic,3
2026/07/14,丙烯,山东省,淄博,8600,8620,8610,470,5.77%,元/吨,,Propylene_Domestic,3
2026/07/13,丙烯,山东省,淄博,8130,8150,8140,125,1.56%,元/吨,,Propylene_Domestic,3
2026/07/10,丙烯,山东省,淄博,8000,8030,8015,50,0.63%,元/吨,,Propylene_Domestic,3
2026/07/09,丙烯,山东省,淄博,7930,8000,7965,165,2.12%,元/吨,,Propylene_Domestic,3
2026/07/08,丙烯,山东省,淄博,7800,7800,7800,0,0%,元/吨,,Propylene_Domestic,3
2026/07/07,丙烯,山东省,淄博,7800,7800,7800,10,0.13%,元/吨,,Propylene_Domestic,3
2026/07/06,丙烯,山东省,淄博,7780,7800,7790,140,1.83%,元/吨,,Propylene_Domestic,3
2026/07/03,丙烯,山东省,淄博,7650,7650,7650,-90,-1.16%,元/吨,,Propylene_Domestic,3
2026/07/02,丙烯,山东省,淄博,7730,7750,7740,-60,-0.77%,元/吨,,Propylene_Domestic,3
2026/07/01,丙烯,山东省,淄博,7750,7850,7800,350,4.7%,元/吨,,Propylene_Domestic,3
2026/06/30,丙烯,山东省,淄博,7450,7450,7450,230,3.19%,元/吨,,Propylene_Domestic,3
2026/06/29,丙烯,山东省,淄博,7220,7220,7220,370,5.4%,元/吨,,Propylene_Domestic,3
2026/06/26,丙烯,山东省,淄博,6850,6850,6850,-250,-3.52%,元/吨,,Propylene_Domestic,3
2026/06/25,丙烯,山东省,淄博,7100,7100,7100,-280,-3.79%,元/吨,,Propylene_Domestic,3
2026/06/24,丙烯,山东省,淄博,7380,7380,7380,-340,-4.4%,元/吨,,Propylene_Domestic,3
2026/06/23,丙烯,山东省,淄博,7720,7720,7720,-130,-1.66%,元/吨,,Propylene_Domestic,3
2026/06/22,丙烯,山东省,淄博,7850,7850,7850,550,7.53%,元/吨,,Propylene_Domestic,3
2026/06/18,丙烯,山东省,淄博,7300,7300,7300,-700,-8.75%,元/吨,,Propylene_Domestic,3
2026/06/17,丙烯,山东省,淄博,8000,8000,8000,-435,-5.16%,元/吨,,Propylene_Domestic,3
2026/06/16,丙烯,山东省,淄博,8420,8450,8435,-215,-2.49%,元/吨,,Propylene_Domestic,3
2026/06/15,丙烯,山东省,淄博,8650,8650,8650,-195,-2.2%,元/吨,,Propylene_Domestic,3
2026/06/12,丙烯,山东省,淄博,8840,8850,8845,-25,-0.28%,元/吨,,Propylene_Domestic,3
2026/06/11,丙烯,山东省,淄博,8870,8870,8870,0,0%,元/吨,,Propylene_Domestic,3
2026/06/10,丙烯,山东省,淄博,8870,,8870,-15,-0.17%,元/吨,,Propylene_Domestic,3
2026/06/09,丙烯,山东省,淄博,8870,8900,8885,0,0%,元/吨,,Propylene_Domestic,3
2026/06/08,丙烯,山东省,淄博,8870,8900,8885,-170,-1.88%,元/吨,,Propylene_Domestic,3
2026/06/05,丙烯,山东省,淄博,9050,9060,9055,0,0%,元/吨,,Propylene_Domestic,3
2026/06/04,丙烯,山东省,淄博,9050,9060,9055,20,0.22%,元/吨,,Propylene_Domestic,3
2026/06/03,丙烯,山东省,淄博,9020,9050,9035,35,0.39%,元/吨,,Propylene_Domestic,3
2026/06/02,丙烯,山东省,淄博,9000,9000,9000,-55,-0.61%,元/吨,,Propylene_Domestic,3
2026/06/01,丙烯,山东省,淄博,9050,9060,9055,-95,-1.04%,元/吨,,Propylene_Domestic,3
2026/05/29,丙烯,山东省,淄博,9150,9150,9150,75,0.83%,元/吨,,Propylene_Domestic,3
2026/05/28,丙烯,山东省,淄博,9050,9100,9075,45,0.5%,元/吨,,Propylene_Domestic,3
2026/05/27,丙烯,山东省,淄博,9000,9060,9030,-70,-0.77%,元/吨,,Propylene_Domestic,3
2026/05/26,丙烯,山东省,淄博,9100,9100,9100,-50,-0.55%,元/吨,,Propylene_Domestic,3
2026/05/25,丙烯,山东省,淄博,9150,9150,9150,25,0.27%,元/吨,,Propylene_Domestic,3
2026/05/22,丙烯,山东省,淄博,9100,9150,9125,-75,-0.82%,元/吨,,Propylene_Domestic,3
2026/05/21,丙烯,山东省,淄博,9200,9200,9200,0,0%,元/吨,,Propylene_Domestic,3
2026/05/20,丙烯,山东省,淄博,9200,9200,9200,-100,-1.08%,元/吨,,Propylene_Domestic,3
2026/05/19,丙烯,山东省,淄博,9300,9300,9300,0,0%,元/吨,,Propylene_Domestic,3
2026/05/18,丙烯,山东省,淄博,9300,9300,9300,-100,-1.06%,元/吨,,Propylene_Domestic,3
2026/05/15,丙烯,山东省,淄博,9400,9400,9400,0,0%,元/吨,,Propylene_Domestic,3
2026/05/14,丙烯,山东省,淄博,9400,9400,9400,0,0%,元/吨,,Propylene_Domestic,3
2026/05/13,丙烯,山东省,淄博,9400,9400,9400,50,0.53%,元/吨,,Propylene_Domestic,3
2026/05/12,丙烯,山东省,淄博,9350,9350,9350,0,0%,元/吨,,Propylene_Domestic,3
2026/05/11,丙烯,山东省,淄博,9350,9350,9350,-50,-0.53%,元/吨,,Propylene_Domestic,3
2026/05/09,丙烯,山东省,淄博,9400,9400,9400,-300,-3.09%,元/吨,,Propylene_Domestic,3
2026/05/08,丙烯,山东省,淄博,9700,9700,9700,-125,-1.27%,元/吨,,Propylene_Domestic,3
2026/05/07,丙烯,山东省,淄博,9800,9850,9825,-50,-0.51%,元/吨,,Propylene_Domestic,3
2026/05/06,丙烯,山东省,淄博,9850,9900,9875,390,4.11%,元/吨,,Propylene_Domestic,3
2026/04/30,丙烯,山东省,淄博,9470,9500,9485,100,1.07%,元/吨,,Propylene_Domestic,3
2026/04/29,丙烯,山东省,淄博,9370,9400,9385,310,3.42%,元/吨,,Propylene_Domestic,3
2026/04/28,丙烯,山东省,淄博,9050,9100,9075,0,0%,元/吨,,Propylene_Domestic,3
2026/04/27,丙烯,山东省,淄博,9050,9100,9075,-300,-3.2%,元/吨,,Propylene_Domestic,3
2026/04/24,丙烯,山东省,淄博,9350,9400,9375,25,0.27%,元/吨,,Propylene_Domestic,3
2026/04/23,丙烯,山东省,淄博,9350,9350,9350,-25,-0.27%,元/吨,,Propylene_Domestic,3
2026/04/22,丙烯,山东省,淄博,9350,9400,9375,100,1.08%,元/吨,,Propylene_Domestic,3
2026/04/21,丙烯,山东省,淄博,9250,9300,9275,235,2.6%,元/吨,,Propylene_Domestic,3
2026/04/20,丙烯,山东省,淄博,9030,9050,9040,40,0.44%,元/吨,,Propylene_Domestic,3
2026/04/17,丙烯,山东省,淄博,9000,9000,9000,-325,-3.49%,元/吨,,Propylene_Domestic,3
2026/04/16,丙烯,山东省,淄博,9300,9350,9325,-75,-0.8%,元/吨,,Propylene_Domestic,3
2026/04/15,丙烯,山东省,淄博,9400,9400,9400,0,0%,元/吨,,Propylene_Domestic,3
2026/04/14,丙烯,山东省,淄博,9400,9400,9400,300,3.3%,元/吨,,Propylene_Domestic,3
