数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/20,丙烯,华东地区,苏南,8700,8700,8700,0,0%,元/吨,,Propylene_Domestic,3
2026/07/17,丙烯,华东地区,苏南,8700,8700,8700,-50,-0.57%,元/吨,,Propylene_Domestic,3
2026/07/16,丙烯,华东地区,苏南,8700,8800,8750,-150,-1.69%,元/吨,,Propylene_Domestic,3
2026/07/15,丙烯,华东地区,苏南,8800,9000,8900,0,0%,元/吨,,Propylene_Domestic,3
2026/07/14,丙烯,华东地区,苏南,8800,9000,8900,450,5.33%,元/吨,,Propylene_Domestic,3
2026/07/13,丙烯,华东地区,苏南,8400,8500,8450,200,2.42%,元/吨,,Propylene_Domestic,3
2026/07/10,丙烯,华东地区,苏南,8200,8300,8250,0,0%,元/吨,,Propylene_Domestic,3
2026/07/09,丙烯,华东地区,苏南,8200,8300,8250,200,2.48%,元/吨,,Propylene_Domestic,3
2026/07/08,丙烯,华东地区,苏南,8050,8050,8050,300,3.87%,元/吨,,Propylene_Domestic,3
2026/07/07,丙烯,华东地区,苏南,7600,7900,7750,250,3.33%,元/吨,,Propylene_Domestic,3
2026/07/06,丙烯,华东地区,苏南,7500,7500,7500,-100,-1.32%,元/吨,,Propylene_Domestic,3
2026/07/03,丙烯,华东地区,苏南,7600,7600,7600,0,0%,元/吨,,Propylene_Domestic,3
2026/07/02,丙烯,华东地区,苏南,7600,7600,7600,-150,-1.94%,元/吨,,Propylene_Domestic,3
2026/07/01,丙烯,华东地区,苏南,7700,7800,7750,-50,-0.64%,元/吨,,Propylene_Domestic,3
2026/06/30,丙烯,华东地区,苏南,7700,7900,7800,400,5.41%,元/吨,,Propylene_Domestic,3
2026/06/29,丙烯,华东地区,苏南,7300,7500,7400,150,2.07%,元/吨,,Propylene_Domestic,3
2026/06/26,丙烯,华东地区,苏南,7200,7300,7250,-230,-3.07%,元/吨,,Propylene_Domestic,3
2026/06/25,丙烯,华东地区,苏南,7480,7480,7480,-200,-2.6%,元/吨,,Propylene_Domestic,3
2026/06/24,丙烯,华东地区,苏南,7680,7680,7680,-120,-1.54%,元/吨,,Propylene_Domestic,3
2026/06/23,丙烯,华东地区,苏南,7800,7800,7800,-150,-1.89%,元/吨,,Propylene_Domestic,3
2026/06/22,丙烯,华东地区,苏南,7900,8000,7950,350,4.61%,元/吨,,Propylene_Domestic,3
2026/06/18,丙烯,华东地区,苏南,7600,7600,7600,-700,-8.43%,元/吨,,Propylene_Domestic,3
2026/06/17,丙烯,华东地区,苏南,8300,8300,8300,-600,-6.74%,元/吨,,Propylene_Domestic,3
2026/06/16,丙烯,华东地区,苏南,8800,9000,8900,0,0%,元/吨,,Propylene_Domestic,3
2026/06/15,丙烯,华东地区,苏南,8800,9000,8900,-175,-1.93%,元/吨,,Propylene_Domestic,3
2026/06/12,丙烯,华东地区,苏南,9050,9100,9075,0,0%,元/吨,,Propylene_Domestic,3
2026/06/11,丙烯,华东地区,苏南,9050,9100,9075,0,0%,元/吨,,Propylene_Domestic,3
2026/06/10,丙烯,华东地区,苏南,9050,9100,9075,-50,-0.55%,元/吨,,Propylene_Domestic,3
2026/06/09,丙烯,华东地区,苏南,9100,9150,9125,0,0%,元/吨,,Propylene_Domestic,3
2026/06/08,丙烯,华东地区,苏南,9100,9150,9125,-75,-0.82%,元/吨,,Propylene_Domestic,3
2026/06/05,丙烯,华东地区,苏南,9200,9200,9200,-50,-0.54%,元/吨,,Propylene_Domestic,3
2026/06/04,丙烯,华东地区,苏南,9250,9250,9250,-25,-0.27%,元/吨,,Propylene_Domestic,3
2026/06/03,丙烯,华东地区,苏南,9250,9300,9275,0,0%,元/吨,,Propylene_Domestic,3
2026/06/02,丙烯,华东地区,苏南,9250,9300,9275,0,0%,元/吨,,Propylene_Domestic,3
2026/06/01,丙烯,华东地区,苏南,9250,9300,9275,-50,-0.54%,元/吨,,Propylene_Domestic,3
2026/05/29,丙烯,华东地区,苏南,9300,9350,9325,-25,-0.27%,元/吨,,Propylene_Domestic,3
2026/05/28,丙烯,华东地区,苏南,9350,9350,9350,25,0.27%,元/吨,,Propylene_Domestic,3
2026/05/27,丙烯,华东地区,苏南,9300,9350,9325,0,0%,元/吨,,Propylene_Domestic,3
