数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/13,丙烯,华东地区,连云港,7900,7900,7900,0,0%,元/吨,,Propylene_Domestic,3
2026/07/10,丙烯,华东地区,连云港,7900,7900,7900,-25,-0.32%,元/吨,,Propylene_Domestic,3
2026/07/09,丙烯,华东地区,连云港,7920,7930,7925,120,1.54%,元/吨,,Propylene_Domestic,3
2026/07/08,丙烯,华东地区,连云港,7800,7810,7805,310,4.14%,元/吨,,Propylene_Domestic,3
2026/07/07,丙烯,华东地区,连云港,7490,7500,7495,140,1.9%,元/吨,,Propylene_Domestic,3
2026/07/06,丙烯,华东地区,连云港,7350,7360,7355,-145,-1.93%,元/吨,,Propylene_Domestic,3
2026/07/03,丙烯,华东地区,连云港,7500,7500,7500,-150,-1.96%,元/吨,,Propylene_Domestic,3
2026/07/02,丙烯,华东地区,连云港,7650,7650,7650,0,0%,元/吨,,Propylene_Domestic,3
2026/07/01,丙烯,华东地区,连云港,7650,7650,7650,345,4.72%,元/吨,,Propylene_Domestic,3
2026/06/30,丙烯,华东地区,连云港,7300,7310,7305,245,3.47%,元/吨,,Propylene_Domestic,3
2026/06/29,丙烯,华东地区,连云港,7060,7060,7060,10,0.14%,元/吨,,Propylene_Domestic,3
2026/06/26,丙烯,华东地区,连云港,7050,7050,7050,-250,-3.42%,元/吨,,Propylene_Domestic,3
2026/06/25,丙烯,华东地区,连云港,7300,7300,7300,-350,-4.58%,元/吨,,Propylene_Domestic,3
2026/06/24,丙烯,华东地区,连云港,7650,7650,7650,-100,-1.29%,元/吨,,Propylene_Domestic,3
2026/06/23,丙烯,华东地区,连云港,7750,7750,7750,150,1.97%,元/吨,,Propylene_Domestic,3
2026/06/22,丙烯,华东地区,连云港,7600,7600,7600,200,2.7%,元/吨,,Propylene_Domestic,3
2026/06/18,丙烯,华东地区,连云港,7400,7400,7400,-900,-10.84%,元/吨,,Propylene_Domestic,3
2026/06/17,丙烯,华东地区,连云港,8300,8300,8300,-200,-2.35%,元/吨,,Propylene_Domestic,3
2026/06/16,丙烯,华东地区,连云港,8400,8600,8500,-250,-2.86%,元/吨,,Propylene_Domestic,3
2026/06/15,丙烯,华东地区,连云港,8750,8750,8750,-185,-2.07%,元/吨,,Propylene_Domestic,3
2026/06/12,丙烯,华东地区,连云港,8930,8940,8935,10,0.11%,元/吨,,Propylene_Domestic,3
2026/06/11,丙烯,华东地区,连云港,8920,8930,8925,50,0.56%,元/吨,,Propylene_Domestic,3
2026/06/10,丙烯,华东地区,连云港,8870,8880,8875,-25,-0.28%,元/吨,,Propylene_Domestic,3
2026/06/09,丙烯,华东地区,连云港,8900,8900,8900,0,0%,元/吨,,Propylene_Domestic,3
2026/06/08,丙烯,华东地区,连云港,8900,8900,8900,-50,-0.56%,元/吨,,Propylene_Domestic,3
2026/06/05,丙烯,华东地区,连云港,8950,8950,8950,-50,-0.56%,元/吨,,Propylene_Domestic,3
2026/06/04,丙烯,华东地区,连云港,9000,9000,9000,0,0%,元/吨,,Propylene_Domestic,3
2026/06/03,丙烯,华东地区,连云港,9000,9000,9000,-5,-0.06%,元/吨,,Propylene_Domestic,3
2026/06/02,丙烯,华东地区,连云港,9000,9010,9005,5,0.06%,元/吨,,Propylene_Domestic,3
2026/06/01,丙烯,华东地区,连云港,9000,9000,9000,-50,-0.55%,元/吨,,Propylene_Domestic,3
2026/05/29,丙烯,华东地区,连云港,9050,9050,9050,-25,-0.28%,元/吨,,Propylene_Domestic,3
2026/05/28,丙烯,华东地区,连云港,9070,9080,9075,75,0.83%,元/吨,,Propylene_Domestic,3
2026/05/27,丙烯,华东地区,连云港,9000,9000,9000,-130,-1.42%,元/吨,,Propylene_Domestic,3
2026/05/26,丙烯,华东地区,连云港,9130,9130,9130,0,0%,元/吨,,Propylene_Domestic,3
