数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/09,丙烯,山东省,鲁西南,8850,8900,8875,0,0%,元/吨,,Propylene_Domestic,3
2026/06/08,丙烯,山东省,鲁西南,8850,8900,8875,-100,-1.11%,元/吨,,Propylene_Domestic,3
2026/06/05,丙烯,山东省,鲁西南,8900,9050,8975,-25,-0.28%,元/吨,,Propylene_Domestic,3
2026/06/04,丙烯,山东省,鲁西南,8950,9050,9000,-25,-0.28%,元/吨,,Propylene_Domestic,3
2026/06/03,丙烯,山东省,鲁西南,9000,9050,9025,0,0%,元/吨,,Propylene_Domestic,3
2026/06/02,丙烯,山东省,鲁西南,9000,9050,9025,0,0%,元/吨,,Propylene_Domestic,3
2026/06/01,丙烯,山东省,鲁西南,9000,9050,9025,-100,-1.1%,元/吨,,Propylene_Domestic,3
2026/05/29,丙烯,山东省,鲁西南,9100,9150,9125,50,0.55%,元/吨,,Propylene_Domestic,3
2026/05/28,丙烯,山东省,鲁西南,9000,9150,9075,60,0.67%,元/吨,,Propylene_Domestic,3
2026/05/27,丙烯,山东省,鲁西南,8980,9050,9015,-35,-0.39%,元/吨,,Propylene_Domestic,3
2026/05/26,丙烯,山东省,鲁西南,9000,9100,9050,-75,-0.82%,元/吨,,Propylene_Domestic,3
2026/05/25,丙烯,山东省,鲁西南,9000,9250,9125,50,0.55%,元/吨,,Propylene_Domestic,3
2026/05/22,丙烯,山东省,鲁西南,9000,9150,9075,-25,-0.27%,元/吨,,Propylene_Domestic,3
2026/05/21,丙烯,山东省,鲁西南,9000,9200,9100,-35,-0.38%,元/吨,,Propylene_Domestic,3
2026/05/20,丙烯,山东省,鲁西南,9020,9250,9135,0,0%,元/吨,,Propylene_Domestic,3
2026/05/19,丙烯,山东省,鲁西南,9020,9250,9135,-65,-0.71%,元/吨,,Propylene_Domestic,3
2026/05/18,丙烯,山东省,鲁西南,9100,9300,9200,0,0%,元/吨,,Propylene_Domestic,3
2026/05/15,丙烯,山东省,鲁西南,9100,9300,9200,-50,-0.54%,元/吨,,Propylene_Domestic,3
2026/05/14,丙烯,山东省,鲁西南,9150,9350,9250,0,0%,元/吨,,Propylene_Domestic,3
2026/05/13,丙烯,山东省,鲁西南,9150,9350,9250,-15,-0.16%,元/吨,,Propylene_Domestic,3
2026/05/12,丙烯,山东省,鲁西南,9150,9380,9265,-25,-0.27%,元/吨,,Propylene_Domestic,3
2026/05/11,丙烯,山东省,鲁西南,9200,9380,9290,-10,-0.11%,元/吨,,Propylene_Domestic,3
