数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/03,环氧丙烷,山东省,山东,7800,7800,7800,0,0%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/07/02,环氧丙烷,山东省,山东,7800,7800,7800,0,0%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/07/01,环氧丙烷,山东省,山东,7800,7800,7800,100,1.3%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/30,环氧丙烷,山东省,山东,7700,7700,7700,125,1.65%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/29,环氧丙烷,山东省,山东,7550,7600,7575,-175,-2.26%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/26,环氧丙烷,山东省,山东,7700,7800,7750,-300,-3.73%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/25,环氧丙烷,山东省,山东,8000,8100,8050,-25,-0.31%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/24,环氧丙烷,山东省,山东,8050,8100,8075,-25,-0.31%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/23,环氧丙烷,山东省,山东,8100,8100,8100,0,0%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/22,环氧丙烷,山东省,山东,8100,8100,8100,50,0.62%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/18,环氧丙烷,山东省,山东,8000,8100,8050,-400,-4.73%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/17,环氧丙烷,山东省,山东,8400,8500,8450,-250,-2.87%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/16,环氧丙烷,山东省,山东,8600,8800,8700,-225,-2.52%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/15,环氧丙烷,山东省,山东,8850,9000,8925,-260,-2.83%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/12,环氧丙烷,山东省,山东,9170,9200,9185,10,0.11%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/11,环氧丙烷,山东省,山东,9150,9200,9175,75,0.82%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/10,环氧丙烷,山东省,山东,9100,9100,9100,75,0.83%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/09,环氧丙烷,山东省,山东,9000,9050,9025,50,0.56%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/08,环氧丙烷,山东省,山东,8950,9000,8975,-50,-0.55%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/05,环氧丙烷,山东省,山东,9000,9050,9025,0,0%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/04,环氧丙烷,山东省,山东,9000,9050,9025,125,1.4%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/03,环氧丙烷,山东省,山东,8900,8900,8900,100,1.14%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/02,环氧丙烷,山东省,山东,8800,8800,8800,-50,-0.56%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/06/01,环氧丙烷,山东省,山东,8800,8900,8850,-750,-7.81%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/05/29,环氧丙烷,山东省,山东,9500,9700,9600,-50,-0.52%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/05/28,环氧丙烷,山东省,山东,9600,9700,9650,0,0%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/05/27,环氧丙烷,山东省,山东,9600,9700,9650,-50,-0.52%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/05/26,环氧丙烷,山东省,山东,9700,9700,9700,200,2.11%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/05/25,环氧丙烷,山东省,山东,9500,9500,9500,300,3.26%,元/吨,厂提现汇,Propylene_Oxide_Domestic,3
2026/05/22,环氧丙烷,山东省,山东,9200,9200,9200,200,2.22%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
2026/05/21,环氧丙烷,山东省,山东,9000,9000,9000,0,0%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
2026/05/20,环氧丙烷,山东省,山东,9000,9000,9000,0,0%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
2026/05/19,环氧丙烷,山东省,山东,9000,9000,9000,-175,-1.91%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
2026/05/18,环氧丙烷,山东省,山东,9150,9200,9175,-275,-2.91%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
2026/05/15,环氧丙烷,山东省,山东,9400,9500,9450,-50,-0.53%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
2026/05/14,环氧丙烷,山东省,山东,9500,9500,9500,0,0%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
2026/05/13,环氧丙烷,山东省,山东,9500,9500,9500,0,0%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
2026/05/12,环氧丙烷,山东省,山东,9500,9500,9500,-250,-2.56%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
2026/05/11,环氧丙烷,山东省,山东,9700,9800,9750,-350,-3.47%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
2026/05/09,环氧丙烷,山东省,山东,10000,10200,10100,-400,-3.81%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
2026/05/08,环氧丙烷,山东省,山东,10400,10600,10500,-50,-0.47%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
2026/05/07,环氧丙烷,山东省,山东,10500,10600,10550,-50,-0.47%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
2026/05/06,环氧丙烷,山东省,山东,10600,10600,10600,400,3.92%,元/吨,现汇出厂,Propylene_Oxide_Domestic,3
