数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/01,丙烯,美国,美国,32.5,33.3,32.9,-0.1,-0.3%,美分/磅,FOB,Propylene,4
2026/05/29,丙烯,美国,美国,32.6,33.4,33,0,0%,美分/磅,FOB,Propylene,4
2026/05/28,丙烯,美国,美国,32.6,33.4,33,0,0%,美分/磅,FOB,Propylene,4
2026/05/27,丙烯,美国,美国,32.6,33.4,33,-1,-2.94%,美分/磅,FOB,Propylene,4
2026/05/26,丙烯,美国,美国,33.6,34.4,34,-2,-5.56%,美分/磅,FOB,Propylene,4
2026/05/25,丙烯,美国,美国,35.6,36.4,36,0,0%,美分/磅,FOB,Propylene,4
2026/05/22,丙烯,美国,美国,35.6,36.4,36,-1.85,-4.89%,美分/磅,FOB,Propylene,4
2026/05/21,丙烯,美国,美国,37.45,38.25,37.85,-2.5,-6.2%,美分/磅,FOB,Propylene,4
2026/05/20,丙烯,美国,美国,39.95,40.75,40.35,-0.75,-1.82%,美分/磅,FOB,Propylene,4
2026/05/19,丙烯,美国,美国,40.7,41.5,41.1,0,0%,美分/磅,FOB,Propylene,4
2026/05/18,丙烯,美国,美国,40.7,41.5,41.1,-1,-2.38%,美分/磅,FOB,Propylene,4
2026/05/15,丙烯,美国,美国,41.7,42.5,42.1,0,0%,美分/磅,FOB,Propylene,4
2026/05/14,丙烯,美国,美国,41.7,42.5,42.1,-1.4,-3.22%,美分/磅,FOB,Propylene,4
2026/05/13,丙烯,美国,美国,43.2,44,43.5,1.4,3.33%,美分/磅,FOB,Propylene,4
2026/05/12,丙烯,美国,美国,41.7,42.5,42.1,0,0%,美分/磅,FOB,Propylene,4
2026/05/11,丙烯,美国,美国,41.7,42.5,42.1,0,0%,美分/磅,FOB,Propylene,4
2026/05/08,丙烯,美国,美国,41.7,42.5,42.1,-1.8,-4.1%,美分/磅,FOB,Propylene,4
2026/05/07,丙烯,美国,美国,43.5,44.3,43.9,0,0%,美分/磅,FOB,Propylene,4
2026/05/06,丙烯,美国,美国,43.5,44.3,43.9,-2.7,-5.79%,美分/磅,FOB,Propylene,4
2026/05/05,丙烯,美国,美国,46.2,47,46.6,2,4.48%,美分/磅,FOB,Propylene,4
2026/05/04,丙烯,美国,美国,44.2,45,44.6,-3.3,-6.89%,美分/磅,FOB,Propylene,4
2026/05/01,丙烯,美国,美国,47.5,48.3,47.9,-1.5,-3.04%,美分/磅,FOB,Propylene,4
2026/04/30,丙烯,美国,美国,49,49.8,49.4,0,0%,美分/磅,FOB,Propylene,4
2026/04/29,丙烯,美国,美国,49,49.8,49.4,1.5,3.13%,美分/磅,FOB,Propylene,4
2026/04/28,丙烯,美国,美国,47.5,48.3,47.9,0.6,1.27%,美分/磅,FOB,Propylene,4
2026/04/27,丙烯,美国,美国,46.9,47.7,47.3,0.7,1.5%,美分/磅,FOB,Propylene,4
2026/04/24,丙烯,美国,美国,46.2,47,46.6,1.1,2.42%,美分/磅,FOB,Propylene,4
2026/04/23,丙烯,美国,美国,45.1,45.9,45.5,-0.5,-1.09%,美分/磅,FOB,Propylene,4
2026/04/22,丙烯,美国,美国,45.6,46.4,46,3,6.98%,美分/磅,FOB,Propylene,4
2026/04/21,丙烯,美国,美国,42.6,43.4,43,4.9,12.86%,美分/磅,FOB,Propylene,4
2026/04/20,丙烯,美国,美国,37.7,38.5,38.1,0,0%,美分/磅,FOB,Propylene,4
2026/04/17,丙烯,美国,美国,37.7,38.5,38.1,-8.5,-18.24%,美分/磅,正常下跌,Propylene,4
2026/04/16,丙烯,美国,美国,46.2,47,46.6,-2.1,-4.31%,美分/磅,FOB,Propylene,4
2026/04/15,丙烯,美国,美国,48.3,49.1,48.7,-0.4,-0.81%,美分/磅,FOB,Propylene,4
2026/04/14,丙烯,美国,美国,48.7,49.5,49.1,-5,-9.24%,美分/磅,FOB,Propylene,4
2026/04/13,丙烯,美国,美国,53.7,54.5,54.1,-1,-1.81%,美分/磅,FOB,Propylene,4
2026/04/10,丙烯,美国,美国,54.7,55.5,55.1,2,3.77%,美分/磅,FOB,Propylene,4
2026/04/09,丙烯,美国,美国,52.7,53.5,53.1,-2.2,-3.98%,美分/磅,FOB,Propylene,4
2026/04/08,丙烯,美国,美国,54.9,55.7,55.3,-1.1,-1.95%,美分/磅,FOB,Propylene,4
2026/04/07,丙烯,美国,美国,56,56.8,56.4,2.3,4.25%,美分/磅,FOB,Propylene,4
2026/04/06,丙烯,美国,美国,53.7,54.5,54.1,-0.9,-1.64%,美分/磅,FOB,Propylene,4
2026/04/03,丙烯,美国,美国,54.6,55.4,55,0,0%,美分/磅,FOB,Propylene,4
2026/04/02,丙烯,美国,美国,54.6,55.4,55,0,0%,美分/磅,FOB,Propylene,4
2026/04/01,丙烯,美国,美国,54.6,55.4,55,-0.1,-0.18%,美分/磅,FOB,Propylene,4
2026/03/31,丙烯,美国,美国,54.7,55.5,55.1,4.6,9.11%,美分/磅,FOB,Propylene,4
2026/03/30,丙烯,美国,美国,50.1,50.9,50.5,0.1,0.2%,美分/磅,FOB,Propylene,4
2026/03/27,丙烯,美国,美国,50,50.8,50.4,2.3,4.78%,美分/磅,FOB,Propylene,4
2026/03/26,丙烯,美国,美国,47.7,48.5,48.1,-2.5,-4.94%,美分/磅,FOB,Propylene,4
2026/03/25,丙烯,美国,美国,50.2,51,50.6,2,4.12%,美分/磅,FOB,Propylene,4
2026/03/24,丙烯,美国,美国,48.2,49,48.6,1.5,3.18%,美分/磅,FOB,Propylene,4
2026/03/23,丙烯,美国,美国,46.7,47.5,47.1,-2.3,-4.66%,美分/磅,FOB,Propylene,4
2026/03/20,丙烯,美国,美国,49,49.8,49.4,3.55,7.74%,美分/磅,FOB,Propylene,4
2026/03/19,丙烯,美国,美国,45.45,46.25,45.85,4.75,11.56%,美分/磅,FOB,Propylene,4
2026/03/18,丙烯,美国,美国,40.7,41.5,41.1,0.4,0.98%,美分/磅,FOB,Propylene,4
2026/03/17,丙烯,美国,美国,40.3,41.1,40.7,0.3,0.74%,美分/磅,FOB,Propylene,4
2026/03/16,丙烯,美国,美国,40,40.8,40.4,-0.5,-1.22%,美分/磅,FOB,Propylene,4
2026/03/13,丙烯,美国,美国,40.5,41.3,40.9,2,5.14%,美分/磅,FOB,Propylene,4
2026/03/12,丙烯,美国,美国,38.5,39.3,38.9,0,0%,美分/磅,FOB,Propylene,4
2026/03/11,丙烯,美国,美国,38.5,39.3,38.9,0.8,2.1%,美分/磅,FOB,Propylene,4
2026/03/10,丙烯,美国,美国,37.7,38.5,38.1,-4.8,-11.19%,美分/磅,FOB,Propylene,4
2026/03/09,丙烯,美国,美国,42.5,43.3,42.9,3,7.52%,美分/磅,FOB,Propylene,4
2026/03/06,丙烯,美国,美国,39.5,40.3,39.9,1.5,3.91%,美分/磅,FOB,Propylene,4
2026/03/05,丙烯,美国,美国,38,38.8,38.4,2.5,6.96%,美分/磅,FOB,Propylene,4
2026/03/04,丙烯,美国,美国,35.5,36.3,35.9,2.5,7.49%,美分/磅,FOB,Propylene,4
2026/03/03,丙烯,美国,美国,33,33.8,33.4,1.5,4.7%,美分/磅,FOB,Propylene,4
2026/03/02,丙烯,美国,美国,31.5,32.3,31.9,0.4,1.27%,美分/磅,FOB,Propylene,4
2026/02/27,丙烯,美国,美国,31.1,31.9,31.5,-0.1,-0.32%,美分/磅,FOB,Propylene,4
2026/02/26,丙烯,美国,美国,31.2,32,31.6,0,0%,美分/磅,FOB,Propylene,4
2026/02/25,丙烯,美国,美国,31.2,32,31.6,-1,-3.07%,美分/磅,FOB,Propylene,4
2026/02/24,丙烯,美国,美国,32.2,33,32.6,0,0%,美分/磅,FOB,Propylene,4
2026/02/23,丙烯,美国,美国,32.2,33,32.6,-0.3,-0.91%,美分/磅,FOB,Propylene,4
2026/02/20,丙烯,美国,美国,32.5,33.3,32.9,-0.2,-0.6%,美分/磅,FOB,Propylene,4
2026/02/19,丙烯,美国,美国,32.7,33.5,33.1,0.7,2.16%,美分/磅,FOB,Propylene,4
2026/02/18,丙烯,美国,美国,32,32.8,32.4,1.8,5.88%,美分/磅,FOB,Propylene,4
2026/02/17,丙烯,美国,美国,,,,,,美分/磅,春节假期休市,Propylene,4
2026/02/16,丙烯,美国,美国,,,,,,美分/磅,春节假期休市,Propylene,4
