数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/01,丙烯,欧洲,西北欧,1396,1404,1400,25,1.82%,欧元/吨,FD,Propylene,4
2026/05/29,丙烯,欧洲,西北欧,1371,1379,1375,-55,-3.85%,欧元/吨,FD,Propylene,4
2026/05/28,丙烯,欧洲,西北欧,1426,1434,1430,0,0%,欧元/吨,FD,Propylene,4
2026/05/27,丙烯,欧洲,西北欧,1426,1434,1430,-5,-0.35%,欧元/吨,FD,Propylene,4
2026/05/26,丙烯,欧洲,西北欧,1431,1439,1435,-25,-1.71%,欧元/吨,FD,Propylene,4
2026/05/25,丙烯,欧洲,西北欧,1456,1464,1460,0,0%,欧元/吨,FD,Propylene,4
2026/05/22,丙烯,欧洲,西北欧,1456,1464,1460,-160,-9.88%,欧元/吨,FD,Propylene,4
2026/05/21,丙烯,欧洲,西北欧,1616,1624,1620,-30,-1.82%,欧元/吨,FD,Propylene,4
2026/05/20,丙烯,欧洲,西北欧,1646,1654,1650,0,0%,欧元/吨,FD,Propylene,4
2026/05/19,丙烯,欧洲,西北欧,1646,1654,1650,0,0%,欧元/吨,FD,Propylene,4
2026/05/18,丙烯,欧洲,西北欧,1646,1654,1650,0,0%,欧元/吨,FD,Propylene,4
2026/05/15,丙烯,欧洲,西北欧,1646,1654,1650,-65,-3.79%,欧元/吨,FD,Propylene,4
2026/05/14,丙烯,欧洲,西北欧,1711,1719,1715,-35,-2%,欧元/吨,FD,Propylene,4
2026/05/13,丙烯,欧洲,西北欧,1746,1754,1750,0,0%,欧元/吨,FD,Propylene,4
2026/05/12,丙烯,欧洲,西北欧,1746,1754,1750,0,0%,欧元/吨,FD,Propylene,4
2026/05/11,丙烯,欧洲,西北欧,1746,1754,1750,0,0%,欧元/吨,FD,Propylene,4
2026/05/08,丙烯,欧洲,西北欧,1746,1754,1750,-20,-1.13%,欧元/吨,FD,Propylene,4
2026/05/07,丙烯,欧洲,西北欧,1766,1774,1770,0,0%,欧元/吨,FD,Propylene,4
2026/05/06,丙烯,欧洲,西北欧,1766,1774,1770,0,0%,欧元/吨,FD,Propylene,4
2026/05/05,丙烯,欧洲,西北欧,1766,1774,1770,0,0%,欧元/吨,FD,Propylene,4
2026/05/04,丙烯,欧洲,西北欧,1766,1774,1770,0,0%,欧元/吨,FD,Propylene,4
2026/05/01,丙烯,欧洲,西北欧,1766,1774,1770,170,10.63%,欧元/吨,FD,Propylene,4
2026/04/30,丙烯,欧洲,西北欧,1596,1604,1600,15,0.95%,欧元/吨,FD,Propylene,4
2026/04/29,丙烯,欧洲,西北欧,1581,1589,1585,65,4.28%,欧元/吨,FD,Propylene,4
2026/04/28,丙烯,欧洲,西北欧,1516,1524,1520,-10,-0.65%,欧元/吨,FD,Propylene,4
2026/04/27,丙烯,欧洲,西北欧,1526,1534,1530,-35,-2.24%,欧元/吨,FD,Propylene,4
2026/04/24,丙烯,欧洲,西北欧,1561,1569,1565,-13,-0.82%,欧元/吨,FD,Propylene,4
2026/04/23,丙烯,欧洲,西北欧,1574,1582,1578,-100,-5.96%,欧元/吨,FD,Propylene,4
2026/04/22,丙烯,欧洲,西北欧,1674,1682,1678,-19,-1.12%,欧元/吨,FD,Propylene,4
2026/04/21,丙烯,欧洲,西北欧,1693,1701,1697,-58,-3.3%,欧元/吨,FD,Propylene,4
2026/04/20,丙烯,欧洲,西北欧,1751,1759,1755,-30,-1.68%,欧元/吨,FD,Propylene,4
2026/04/17,丙烯,欧洲,西北欧,1781,1789,1785,-245,-12.07%,欧元/吨,FD,Propylene,4
2026/04/16,丙烯,欧洲,西北欧,2026,2034,2030,80,4.1%,欧元/吨,FD,Propylene,4
2026/04/15,丙烯,欧洲,西北欧,1946,1954,1950,-60,-2.99%,欧元/吨,FD,Propylene,4
2026/04/14,丙烯,欧洲,西北欧,2006,2014,2010,35,1.77%,欧元/吨,FD,Propylene,4
2026/04/13,丙烯,欧洲,西北欧,1971,1979,1975,65,3.4%,欧元/吨,FD,Propylene,4
2026/04/10,丙烯,欧洲,西北欧,1906,1914,1910,80,4.37%,欧元/吨,FD,Propylene,4
2026/04/09,丙烯,欧洲,西北欧,1826,1834,1830,-45,-2.4%,欧元/吨,FD,Propylene,4
2026/04/08,丙烯,欧洲,西北欧,1871,1879,1875,0,0%,欧元/吨,FD,Propylene,4
2026/04/07,丙烯,欧洲,西北欧,1871,1879,1875,475,33.93%,欧元/吨,正常上涨,Propylene,4
2026/04/06,丙烯,欧洲,西北欧,1396,1404,1400,0,0%,欧元/吨,FD,Propylene,4
2026/04/03,丙烯,欧洲,西北欧,1396,1404,1400,0,0%,欧元/吨,FD,Propylene,4
2026/04/02,丙烯,欧洲,西北欧,1396,1404,1400,0,0%,欧元/吨,FD,Propylene,4
2026/04/01,丙烯,欧洲,西北欧,1396,1404,1400,0,0%,欧元/吨,FD,Propylene,4
2026/03/31,丙烯,欧洲,西北欧,1396,1404,1400,10,0.72%,欧元/吨,FD,Propylene,4
2026/03/30,丙烯,欧洲,西北欧,1386,1394,1390,5,0.36%,欧元/吨,FD,Propylene,4
2026/03/27,丙烯,欧洲,西北欧,1381,1389,1385,5,0.36%,欧元/吨,FD,Propylene,4
2026/03/26,丙烯,欧洲,西北欧,1376,1384,1380,55,4.15%,欧元/吨,FD,Propylene,4
2026/03/25,丙烯,欧洲,西北欧,1321,1329,1325,-55,-3.99%,欧元/吨,FD,Propylene,4
2026/03/24,丙烯,欧洲,西北欧,1376,1384,1380,15,1.1%,欧元/吨,FD,Propylene,4
2026/03/23,丙烯,欧洲,西北欧,1361,1369,1365,35,2.63%,欧元/吨,FD,Propylene,4
2026/03/20,丙烯,欧洲,西北欧,1326,1334,1330,20,1.53%,欧元/吨,FD,Propylene,4
2026/03/19,丙烯,欧洲,西北欧,1306,1314,1310,135,11.49%,欧元/吨,FD,Propylene,4
2026/03/18,丙烯,欧洲,西北欧,1171,1179,1175,15,1.29%,欧元/吨,FD,Propylene,4
2026/03/17,丙烯,欧洲,西北欧,1156,1164,1160,30,2.65%,欧元/吨,FD,Propylene,4
2026/03/16,丙烯,欧洲,西北欧,1126,1134,1130,15,1.35%,欧元/吨,FD,Propylene,4
2026/03/13,丙烯,欧洲,西北欧,1111,1119,1115,-20,-1.76%,欧元/吨,FD,Propylene,4
2026/03/12,丙烯,欧洲,西北欧,1131,1139,1135,105,10.19%,欧元/吨,FD,Propylene,4
2026/03/11,丙烯,欧洲,西北欧,1026,1034,1030,5,0.49%,欧元/吨,FD,Propylene,4
2026/03/10,丙烯,欧洲,西北欧,1021,1029,1025,80,8.47%,欧元/吨,FD,Propylene,4
2026/03/09,丙烯,欧洲,西北欧,941,949,945,10,1.07%,欧元/吨,FD,Propylene,4
2026/03/06,丙烯,欧洲,西北欧,931,939,935,0,0%,欧元/吨,FD,Propylene,4
2026/03/05,丙烯,欧洲,西北欧,931,939,935,30,3.31%,欧元/吨,FD,Propylene,4
2026/03/04,丙烯,欧洲,西北欧,901,909,905,5,0.56%,欧元/吨,FD,Propylene,4
2026/03/03,丙烯,欧洲,西北欧,896,904,900,0,0%,欧元/吨,FD,Propylene,4
2026/03/02,丙烯,欧洲,西北欧,896,904,900,0,0%,欧元/吨,FD,Propylene,4
2026/02/27,丙烯,欧洲,西北欧,896,904,900,70,8.43%,欧元/吨,FD,Propylene,4
2026/02/26,丙烯,欧洲,西北欧,826,834,830,0,0%,欧元/吨,FD,Propylene,4
2026/02/25,丙烯,欧洲,西北欧,826,834,830,5,0.61%,欧元/吨,FD,Propylene,4
2026/02/24,丙烯,欧洲,西北欧,821,829,825,0,0%,欧元/吨,FD,Propylene,4
2026/02/23,丙烯,欧洲,西北欧,821,829,825,5,0.61%,欧元/吨,FD,Propylene,4
2026/02/20,丙烯,欧洲,西北欧,816,824,820,0,0%,欧元/吨,FD,Propylene,4
2026/02/19,丙烯,欧洲,西北欧,816,824,820,40,5.13%,欧元/吨,FD,Propylene,4
2026/02/18,丙烯,欧洲,西北欧,776,784,780,5,0.65%,欧元/吨,FD,Propylene,4
2026/02/17,丙烯,欧洲,西北欧,,,,,,欧元/吨,春节假期休市,Propylene,4
2026/02/16,丙烯,欧洲,西北欧,,,,,,欧元/吨,春节假期休市,Propylene,4
2026/02/13,丙烯,欧洲,西北欧,771,779,775,20,2.65%,欧元/吨,FD,Propylene,4
2026/02/12,丙烯,欧洲,西北欧,751,759,755,5,0.67%,欧元/吨,FD,Propylene,4
2026/02/11,丙烯,欧洲,西北欧,746,754,750,0,0%,欧元/吨,FD,Propylene,4
2026/02/10,丙烯,欧洲,西北欧,746,754,750,0,0%,欧元/吨,FD,Propylene,4
2026/02/09,丙烯,欧洲,西北欧,746,754,750,5,0.67%,欧元/吨,FD,Propylene,4
2026/02/06,丙烯,欧洲,西北欧,741,749,745,0,0%,欧元/吨,FD,Propylene,4
2026/02/05,丙烯,欧洲,西北欧,741,749,745,10,1.36%,欧元/吨,FD,Propylene,4
2026/02/04,丙烯,欧洲,西北欧,731,739,735,0,0%,欧元/吨,FD,Propylene,4
2026/02/03,丙烯,欧洲,西北欧,731,739,735,0,0%,欧元/吨,FD,Propylene,4
2026/02/02,丙烯,欧洲,西北欧,731,739,735,-15,-2%,欧元/吨,FD,Propylene,4
2026/01/30,丙烯,欧洲,西北欧,746,754,750,0,0%,欧元/吨,FD,Propylene,4
2026/01/29,丙烯,欧洲,西北欧,746,754,750,5,0.67%,欧元/吨,FD,Propylene,4
2026/01/28,丙烯,欧洲,西北欧,741,749,745,5,0.68%,欧元/吨,FD,Propylene,4
2026/01/27,丙烯,欧洲,西北欧,736,744,740,0,0%,欧元/吨,FD,Propylene,4
2026/01/26,丙烯,欧洲,西北欧,736,744,740,10,1.37%,欧元/吨,FD,Propylene,4
2026/01/23,丙烯,欧洲,西北欧,726,734,730,10,1.39%,欧元/吨,FD,Propylene,4
2026/01/22,丙烯,欧洲,西北欧,716,724,720,35,5.11%,欧元/吨,FD,Propylene,4
2026/01/21,丙烯,欧洲,西北欧,681,689,685,0,0%,欧元/吨,FD,Propylene,4
2026/01/20,丙烯,欧洲,西北欧,681,689,685,0,0%,欧元/吨,FD,Propylene,4
2026/01/19,丙烯,欧洲,西北欧,681,689,685,10,1.48%,欧元/吨,FD,Propylene,4
2026/01/16,丙烯,欧洲,西北欧,671,679,675,0,0%,欧元/吨,FD,Propylene,4
2026/01/15,丙烯,欧洲,西北欧,671,679,675,0,0%,欧元/吨,FD,Propylene,4
2026/01/14,丙烯,欧洲,西北欧,671,679,675,-20,-2.88%,欧元/吨,FD,Propylene,4
2026/01/13,丙烯,欧洲,西北欧,691,699,695,0,0%,欧元/吨,FD,Propylene,4
2026/01/12,丙烯,欧洲,西北欧,691,699,695,0,0%,欧元/吨,FD,Propylene,4
2026/01/09,丙烯,欧洲,西北欧,691,699,695,30,4.51%,欧元/吨,FD,Propylene,4
2026/01/08,丙烯,欧洲,西北欧,661,669,665,45,7.26%,欧元/吨,FD,Propylene,4
2026/01/07,丙烯,欧洲,西北欧,616,624,620,0,0%,欧元/吨,FD,Propylene,4
2026/01/06,丙烯,欧洲,西北欧,616,624,620,0,0%,欧元/吨,FD,Propylene,4
2026/01/05,丙烯,欧洲,西北欧,616,624,620,0,0%,欧元/吨,FD,Propylene,4
2026/01/02,丙烯,欧洲,西北欧,616,624,620,0,0%,欧元/吨,FD,Propylene,4
2026/01/01,丙烯,欧洲,西北欧,616,624,620,0,0%,欧元/吨,FD,Propylene,4
2025/12/31,丙烯,欧洲,西北欧,616,624,620,0,0%,欧元/吨,FD,Propylene,4
2025/12/30,丙烯,欧洲,西北欧,616,624,620,0,0%,欧元/吨,FD,Propylene,4
2025/12/29,丙烯,欧洲,西北欧,616,624,620,0,0%,欧元/吨,FD,Propylene,4
2025/12/26,丙烯,欧洲,西北欧,616,624,620,0,0%,欧元/吨,FD,Propylene,4
2025/12/25,丙烯,欧洲,西北欧,616,624,620,0,0%,欧元/吨,FD,Propylene,4
2025/12/24,丙烯,欧洲,西北欧,616,624,620,0,0%,欧元/吨,FD,Propylene,4
2025/12/23,丙烯,欧洲,西北欧,616,624,620,-10,-1.59%,欧元/吨,FD,Propylene,4
2025/12/22,丙烯,欧洲,西北欧,626,634,630,0,0%,欧元/吨,FD,Propylene,4
2025/12/19,丙烯,欧洲,西北欧,626,634,630,0,0%,欧元/吨,FD,Propylene,4
2025/12/18,丙烯,欧洲,西北欧,626,634,630,0,0%,欧元/吨,FD,Propylene,4
2025/12/17,丙烯,欧洲,西北欧,626,634,630,0,0%,欧元/吨,FD,Propylene,4
2025/12/16,丙烯,欧洲,西北欧,626,634,630,0,0%,欧元/吨,FD,Propylene,4
