数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/01,丙烯,韩国,韩国,1175,1185,1180,0,0%,美元/吨,FOB,Propylene,4
2026/05/29,丙烯,韩国,韩国,1175,1185,1180,0,0%,美元/吨,FOB,Propylene,4
2026/05/28,丙烯,韩国,韩国,1175,1185,1180,0,0%,美元/吨,FOB,Propylene,4
2026/05/27,丙烯,韩国,韩国,1175,1185,1180,0,0%,美元/吨,FOB,Propylene,4
2026/05/26,丙烯,韩国,韩国,1175,1185,1180,0,0%,美元/吨,FOB,Propylene,4
2026/05/25,丙烯,韩国,韩国,1175,1185,1180,-30,-2.48%,美元/吨,FOB,Propylene,4
2026/05/22,丙烯,韩国,韩国,1205,1215,1210,0,0%,美元/吨,FOB,Propylene,4
2026/05/21,丙烯,韩国,韩国,1205,1215,1210,-20,-1.63%,美元/吨,FOB,Propylene,4
2026/05/20,丙烯,韩国,韩国,1225,1235,1230,0,0%,美元/吨,FOB,Propylene,4
2026/05/19,丙烯,韩国,韩国,1225,1235,1230,0,0%,美元/吨,FOB,Propylene,4
2026/05/18,丙烯,韩国,韩国,1225,1235,1230,0,0%,美元/吨,FOB,Propylene,4
2026/05/15,丙烯,韩国,韩国,1225,1235,1230,-30,-2.38%,美元/吨,FOB,Propylene,4
2026/05/14,丙烯,韩国,韩国,1255,1265,1260,0,0%,美元/吨,FOB,Propylene,4
2026/05/13,丙烯,韩国,韩国,1255,1265,1260,0,0%,美元/吨,FOB,Propylene,4
2026/05/12,丙烯,韩国,韩国,1255,1265,1260,0,0%,美元/吨,FOB,Propylene,4
2026/05/11,丙烯,韩国,韩国,1255,1265,1260,0,0%,美元/吨,FOB,Propylene,4
2026/05/08,丙烯,韩国,韩国,1255,1265,1260,-10,-0.79%,美元/吨,FOB,Propylene,4
2026/05/07,丙烯,韩国,韩国,1265,1275,1270,0,0%,美元/吨,FOB,Propylene,4
2026/05/06,丙烯,韩国,韩国,1265,1275,1270,0,0%,美元/吨,FOB,Propylene,4
2026/05/05,丙烯,韩国,韩国,1265,1275,1270,0,0%,美元/吨,FOB,Propylene,4
2026/05/04,丙烯,韩国,韩国,1265,1275,1270,0,0%,美元/吨,FOB,Propylene,4
2026/05/01,丙烯,韩国,韩国,1265,1275,1270,0,0%,美元/吨,FOB,Propylene,4
2026/04/30,丙烯,韩国,韩国,1265,1275,1270,0,0%,美元/吨,FOB,Propylene,4
2026/04/29,丙烯,韩国,韩国,1265,1275,1270,0,0%,美元/吨,FOB,Propylene,4
2026/04/28,丙烯,韩国,韩国,1265,1275,1270,-30,-2.31%,美元/吨,FOB,Propylene,4
2026/04/27,丙烯,韩国,韩国,1295,1305,1300,-20,-1.52%,美元/吨,FOB,Propylene,4
2026/04/24,丙烯,韩国,韩国,1315,1325,1320,0,0%,美元/吨,FOB,Propylene,4
