数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/08,苯乙烯,华北地区,中沙天津,,,7680,400,5.49%,元/吨,短途送到,Styrene_Domestic,2
2026/07/07,苯乙烯,华北地区,中沙天津,,,7280,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/07/06,苯乙烯,华北地区,中沙天津,,,7280,100,1.39%,元/吨,短途送到,Styrene_Domestic,2
2026/07/03,苯乙烯,华北地区,中沙天津,,,7180,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/07/02,苯乙烯,华北地区,中沙天津,,,7180,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/07/01,苯乙烯,华北地区,中沙天津,,,7180,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/30,苯乙烯,华北地区,中沙天津,,,7180,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/29,苯乙烯,华北地区,中沙天津,,,7180,-200,-2.71%,元/吨,短途送到,Styrene_Domestic,2
2026/06/26,苯乙烯,华北地区,中沙天津,,,7380,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/25,苯乙烯,华北地区,中沙天津,,,7380,-300,-3.91%,元/吨,短途送到,Styrene_Domestic,2
2026/06/24,苯乙烯,华北地区,中沙天津,,,7680,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/23,苯乙烯,华北地区,中沙天津,,,7680,-50,-0.65%,元/吨,短途送到,Styrene_Domestic,2
2026/06/22,苯乙烯,华北地区,中沙天津,,,7730,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/18,苯乙烯,华北地区,中沙天津,,,7730,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/17,苯乙烯,华北地区,中沙天津,,,7730,-400,-4.92%,元/吨,短途送到,Styrene_Domestic,2
2026/06/16,苯乙烯,华北地区,中沙天津,,,8130,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/15,苯乙烯,华北地区,中沙天津,,,8130,-300,-3.56%,元/吨,短途送到,Styrene_Domestic,2
2026/06/12,苯乙烯,华北地区,中沙天津,,,8430,-150,-1.75%,元/吨,短途送到,Styrene_Domestic,2
2026/06/11,苯乙烯,华北地区,中沙天津,,,8580,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/10,苯乙烯,华北地区,中沙天津,,,8580,-50,-0.58%,元/吨,短途送到,Styrene_Domestic,2
2026/06/09,苯乙烯,华北地区,中沙天津,,,8630,50,0.58%,元/吨,短途送到,Styrene_Domestic,2
2026/06/08,苯乙烯,华北地区,中沙天津,,,8580,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/05,苯乙烯,华北地区,中沙天津,,,8580,-150,-1.72%,元/吨,短途送到,Styrene_Domestic,2
2026/06/04,苯乙烯,华北地区,中沙天津,,,8730,-50,-0.57%,元/吨,短途送到,Styrene_Domestic,2
2026/06/03,苯乙烯,华北地区,中沙天津,,,8780,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/02,苯乙烯,华北地区,中沙天津,,,8780,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/01,苯乙烯,华北地区,中沙天津,,,8780,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/05/29,苯乙烯,华北地区,中沙天津,,,8780,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/05/28,苯乙烯,华北地区,中沙天津,,,8780,-250,-2.77%,元/吨,短途送到,Styrene_Domestic,2
2026/05/27,苯乙烯,华北地区,中沙天津,,,9030,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/05/26,苯乙烯,华北地区,中沙天津,,,9030,-200,-2.17%,元/吨,短途送到,Styrene_Domestic,2
2026/05/25,苯乙烯,华北地区,中沙天津,,,9230,-100,-1.07%,元/吨,短途送到,Styrene_Domestic,2
2026/05/22,苯乙烯,华北地区,中沙天津,,,9330,-100,-1.06%,元/吨,短途送到,Styrene_Domestic,2
2026/05/21,苯乙烯,华北地区,中沙天津,,,9430,-50,-0.53%,元/吨,短途送到,Styrene_Domestic,2
2026/05/20,苯乙烯,华北地区,中沙天津,,,9480,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/05/19,苯乙烯,华北地区,中沙天津,,,9480,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/05/18,苯乙烯,华北地区,中沙天津,,,9480,200,2.16%,元/吨,短途送到,Styrene_Domestic,2
2026/05/15,苯乙烯,华北地区,中沙天津,,,9280,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/05/14,苯乙烯,华北地区,中沙天津,,,9280,-300,-3.13%,元/吨,短途送到,Styrene_Domestic,2
2026/05/13,苯乙烯,华北地区,中沙天津,,,9580,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/05/12,苯乙烯,华北地区,中沙天津,,,9580,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/05/11,苯乙烯,华北地区,中沙天津,,,9580,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/05/09,苯乙烯,华北地区,中沙天津,,,9580,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/05/08,苯乙烯,华北地区,中沙天津,,,9580,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/05/07,苯乙烯,华北地区,中沙天津,,,9580,-300,-3.04%,元/吨,短途送到,Styrene_Domestic,2
2026/05/06,苯乙烯,华北地区,中沙天津,,,9880,100,1.02%,元/吨,短途送到,Styrene_Domestic,2
2026/04/30,苯乙烯,华北地区,中沙天津,,,9780,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/29,苯乙烯,华北地区,中沙天津,,,9780,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/28,苯乙烯,华北地区,中沙天津,,,9780,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/27,苯乙烯,华北地区,中沙天津,,,9780,100,1.03%,元/吨,短途送到,Styrene_Domestic,2
2026/04/24,苯乙烯,华北地区,中沙天津,,,9680,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/23,苯乙烯,华北地区,中沙天津,,,9680,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/22,苯乙烯,华北地区,中沙天津,,,9680,-100,-1.02%,元/吨,短途送到,Styrene_Domestic,2
2026/04/21,苯乙烯,华北地区,中沙天津,,,9780,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/20,苯乙烯,华北地区,中沙天津,,,9780,-150,-1.51%,元/吨,短途送到,Styrene_Domestic,2
2026/04/17,苯乙烯,华北地区,中沙天津,,,9930,-150,-1.49%,元/吨,短途送到,Styrene_Domestic,2
2026/04/16,苯乙烯,华北地区,中沙天津,,,10080,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/15,苯乙烯,华北地区,中沙天津,,,10080,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/14,苯乙烯,华北地区,中沙天津,,,10080,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/13,苯乙烯,华北地区,中沙天津,,,10080,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/10,苯乙烯,华北地区,中沙天津,,,10080,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/09,苯乙烯,华北地区,中沙天津,,,10080,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/08,苯乙烯,华北地区,中沙天津,,,10080,-600,-5.62%,元/吨,短途送到,Styrene_Domestic,2
2026/04/07,苯乙烯,华北地区,中沙天津,,,10680,400,3.89%,元/吨,短途送到,Styrene_Domestic,2
2026/04/03,苯乙烯,华北地区,中沙天津,,,10280,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/02,苯乙烯,华北地区,中沙天津,,,10280,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/04/01,苯乙烯,华北地区,中沙天津,,,10280,-550,-5.08%,元/吨,短途送到,Styrene_Domestic,2
2026/03/31,苯乙烯,华北地区,中沙天津,,,10830,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/03/30,苯乙烯,华北地区,中沙天津,,,10830,400,3.84%,元/吨,短途送到,Styrene_Domestic,2
2026/03/27,苯乙烯,华北地区,中沙天津,,,10430,750,7.75%,元/吨,短途送到,Styrene_Domestic,2
