数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/08,苯乙烯,山东省,京博思达睿新材料,,,7750,300,4.03%,元/吨,,Styrene_Domestic,2
2026/07/07,苯乙烯,山东省,京博思达睿新材料,,,7450,100,1.36%,元/吨,,Styrene_Domestic,2
2026/07/06,苯乙烯,山东省,京博思达睿新材料,,,7350,0,0%,元/吨,,Styrene_Domestic,2
2026/07/03,苯乙烯,山东省,京博思达睿新材料,,,7350,150,2.08%,元/吨,,Styrene_Domestic,2
2026/07/02,苯乙烯,山东省,京博思达睿新材料,,,7200,-100,-1.37%,元/吨,,Styrene_Domestic,2
2026/07/01,苯乙烯,山东省,京博思达睿新材料,,,7300,-50,-0.68%,元/吨,,Styrene_Domestic,2
2026/06/30,苯乙烯,山东省,京博思达睿新材料,,,7350,100,1.38%,元/吨,,Styrene_Domestic,2
2026/06/29,苯乙烯,山东省,京博思达睿新材料,,,7250,50,0.69%,元/吨,,Styrene_Domestic,2
2026/06/26,苯乙烯,山东省,京博思达睿新材料,,,7200,-250,-3.36%,元/吨,,Styrene_Domestic,2
2026/06/25,苯乙烯,山东省,京博思达睿新材料,,,7450,-150,-1.97%,元/吨,,Styrene_Domestic,2
2026/06/24,苯乙烯,山东省,京博思达睿新材料,,,7600,-200,-2.56%,元/吨,,Styrene_Domestic,2
2026/06/23,苯乙烯,山东省,京博思达睿新材料,,,7800,-150,-1.89%,元/吨,,Styrene_Domestic,2
2026/06/22,苯乙烯,山东省,京博思达睿新材料,,,7950,0,0%,元/吨,,Styrene_Domestic,2
2026/06/18,苯乙烯,山东省,京博思达睿新材料,,,7950,-200,-2.45%,元/吨,,Styrene_Domestic,2
2026/06/17,苯乙烯,山东省,京博思达睿新材料,,,8150,-100,-1.21%,元/吨,,Styrene_Domestic,2
2026/06/16,苯乙烯,山东省,京博思达睿新材料,,,8250,0,0%,元/吨,,Styrene_Domestic,2
2026/06/15,苯乙烯,山东省,京博思达睿新材料,,,8250,-250,-2.94%,元/吨,,Styrene_Domestic,2
2026/06/12,苯乙烯,山东省,京博思达睿新材料,,,8500,-50,-0.58%,元/吨,,Styrene_Domestic,2
2026/06/11,苯乙烯,山东省,京博思达睿新材料,,,8550,-100,-1.16%,元/吨,,Styrene_Domestic,2
2026/06/10,苯乙烯,山东省,京博思达睿新材料,,,8650,-50,-0.57%,元/吨,,Styrene_Domestic,2
2026/06/09,苯乙烯,山东省,京博思达睿新材料,,,8700,-50,-0.57%,元/吨,,Styrene_Domestic,2
2026/06/08,苯乙烯,山东省,京博思达睿新材料,,,8750,100,1.16%,元/吨,,Styrene_Domestic,2
2026/06/05,苯乙烯,山东省,京博思达睿新材料,,,8650,-200,-2.26%,元/吨,,Styrene_Domestic,2
2026/06/04,苯乙烯,山东省,京博思达睿新材料,,,8850,0,0%,元/吨,,Styrene_Domestic,2
2026/06/03,苯乙烯,山东省,京博思达睿新材料,,,8850,100,1.14%,元/吨,,Styrene_Domestic,2
2026/06/02,苯乙烯,山东省,京博思达睿新材料,,,8750,-120,-1.35%,元/吨,,Styrene_Domestic,2
2026/06/01,苯乙烯,山东省,京博思达睿新材料,,,8870,70,0.8%,元/吨,,Styrene_Domestic,2
2026/05/29,苯乙烯,山东省,京博思达睿新材料,,,8800,-100,-1.12%,元/吨,,Styrene_Domestic,2
2026/05/28,苯乙烯,山东省,京博思达睿新材料,,,8900,-100,-1.11%,元/吨,,Styrene_Domestic,2
2026/05/27,苯乙烯,山东省,京博思达睿新材料,,,9000,-100,-1.1%,元/吨,,Styrene_Domestic,2
2026/05/26,苯乙烯,山东省,京博思达睿新材料,,,9100,-180,-1.94%,元/吨,,Styrene_Domestic,2
2026/05/25,苯乙烯,山东省,京博思达睿新材料,,,9280,-70,-0.75%,元/吨,,Styrene_Domestic,2
2026/05/22,苯乙烯,山东省,京博思达睿新材料,,,9350,-150,-1.58%,元/吨,,Styrene_Domestic,2
2026/05/21,苯乙烯,山东省,京博思达睿新材料,,,9500,0,0%,元/吨,,Styrene_Domestic,2
2026/05/20,苯乙烯,山东省,京博思达睿新材料,,,9500,30,0.32%,元/吨,,Styrene_Domestic,2
2026/05/19,苯乙烯,山东省,京博思达睿新材料,,,9470,20,0.21%,元/吨,,Styrene_Domestic,2
2026/05/18,苯乙烯,山东省,京博思达睿新材料,,,9450,100,1.07%,元/吨,,Styrene_Domestic,2
2026/05/15,苯乙烯,山东省,京博思达睿新材料,,,9350,50,0.54%,元/吨,,Styrene_Domestic,2
2026/05/14,苯乙烯,山东省,京博思达睿新材料,,,9300,-250,-2.62%,元/吨,,Styrene_Domestic,2
2026/05/13,苯乙烯,山东省,京博思达睿新材料,,,9550,-50,-0.52%,元/吨,,Styrene_Domestic,2
2026/05/12,苯乙烯,山东省,京博思达睿新材料,,,9600,0,0%,元/吨,,Styrene_Domestic,2
2026/05/11,苯乙烯,山东省,京博思达睿新材料,,,9600,200,2.13%,元/吨,,Styrene_Domestic,2
2026/05/09,苯乙烯,山东省,京博思达睿新材料,,,9400,-100,-1.05%,元/吨,,Styrene_Domestic,2
2026/05/08,苯乙烯,山东省,京博思达睿新材料,,,9500,-100,-1.04%,元/吨,,Styrene_Domestic,2
2026/05/07,苯乙烯,山东省,京博思达睿新材料,,,9600,-350,-3.52%,元/吨,,Styrene_Domestic,2
2026/05/06,苯乙烯,山东省,京博思达睿新材料,,,9950,-50,-0.5%,元/吨,,Styrene_Domestic,2
2026/04/30,苯乙烯,山东省,京博思达睿新材料,,,10000,0,0%,元/吨,,Styrene_Domestic,2
2026/04/29,苯乙烯,山东省,京博思达睿新材料,,,10000,150,1.52%,元/吨,,Styrene_Domestic,2
2026/04/28,苯乙烯,山东省,京博思达睿新材料,,,9850,-50,-0.51%,元/吨,,Styrene_Domestic,2
2026/04/27,苯乙烯,山东省,京博思达睿新材料,,,9900,-50,-0.5%,元/吨,,Styrene_Domestic,2
2026/04/24,苯乙烯,山东省,京博思达睿新材料,,,9950,100,1.02%,元/吨,,Styrene_Domestic,2
2026/04/23,苯乙烯,山东省,京博思达睿新材料,,,9850,100,1.03%,元/吨,,Styrene_Domestic,2
2026/04/22,苯乙烯,山东省,京博思达睿新材料,,,9750,100,1.04%,元/吨,,Styrene_Domestic,2
2026/04/21,苯乙烯,山东省,京博思达睿新材料,,,9650,-250,-2.53%,元/吨,,Styrene_Domestic,2
2026/04/20,苯乙烯,山东省,京博思达睿新材料,,,9900,-100,-1%,元/吨,,Styrene_Domestic,2
2026/04/17,苯乙烯,山东省,京博思达睿新材料,,,10000,0,0%,元/吨,,Styrene_Domestic,2
2026/04/16,苯乙烯,山东省,京博思达睿新材料,,,10000,0,0%,元/吨,,Styrene_Domestic,2
2026/04/15,苯乙烯,山东省,京博思达睿新材料,,,10000,100,1.01%,元/吨,,Styrene_Domestic,2
2026/04/14,苯乙烯,山东省,京博思达睿新材料,,,9900,-100,-1%,元/吨,首次9780二调9850三调9900,Styrene_Domestic,2
2026/04/13,苯乙烯,山东省,京博思达睿新材料,,,10000,-100,-0.99%,元/吨,,Styrene_Domestic,2
2026/04/10,苯乙烯,山东省,京博思达睿新材料,,,10100,-150,-1.46%,元/吨,,Styrene_Domestic,2
2026/04/09,苯乙烯,山东省,京博思达睿新材料,,,10250,150,1.49%,元/吨,首次10200二调10250,Styrene_Domestic,2
2026/04/08,苯乙烯,山东省,京博思达睿新材料,,,10100,-600,-5.61%,元/吨,,Styrene_Domestic,2
2026/04/07,苯乙烯,山东省,京博思达睿新材料,,,10700,200,1.9%,元/吨,首次10650二调10700,Styrene_Domestic,2
2026/04/03,苯乙烯,山东省,京博思达睿新材料,,,10500,150,1.45%,元/吨,首次10300二调10350三调10500,Styrene_Domestic,2
2026/04/02,苯乙烯,山东省,京博思达睿新材料,,,10350,-50,-0.48%,元/吨,首次10200二调10350,Styrene_Domestic,2
2026/04/01,苯乙烯,山东省,京博思达睿新材料,,,10400,-200,-1.89%,元/吨,,Styrene_Domestic,2
2026/03/31,苯乙烯,山东省,京博思达睿新材料,,,10600,-350,-3.2%,元/吨,,Styrene_Domestic,2
