数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/09,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/08,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/07,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/06,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/03,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/02,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/01,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/30,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/29,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/26,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/25,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/24,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/23,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/22,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/18,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/17,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/16,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/15,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/12,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/11,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/10,苯乙烯,山东省,华星石化,,,,,,元/吨,无货,Styrene_Domestic,2
