数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/23,苯乙烯,华东地区,古雷石化,,,,,,元/吨,询价中,Styrene_Domestic,2
2026/07/22,苯乙烯,华东地区,古雷石化,,,8900,0,0%,元/吨,,Styrene_Domestic,2
2026/07/21,苯乙烯,华东地区,古雷石化,,,8900,0,0%,元/吨,,Styrene_Domestic,2
2026/07/20,苯乙烯,华东地区,古雷石化,,,8900,350,4.09%,元/吨,,Styrene_Domestic,2
2026/07/17,苯乙烯,华东地区,古雷石化,,,8550,0,0%,元/吨,,Styrene_Domestic,2
2026/07/16,苯乙烯,华东地区,古雷石化,,,8550,300,3.64%,元/吨,,Styrene_Domestic,2
2026/07/15,苯乙烯,华东地区,古雷石化,,,8250,0,0%,元/吨,,Styrene_Domestic,2
2026/07/14,苯乙烯,华东地区,古雷石化,,,8250,350,4.43%,元/吨,,Styrene_Domestic,2
2026/07/13,苯乙烯,华东地区,古雷石化,,,7900,200,2.6%,元/吨,,Styrene_Domestic,2
2026/07/10,苯乙烯,华东地区,古雷石化,,,7700,100,1.32%,元/吨,,Styrene_Domestic,2
2026/07/09,苯乙烯,华东地区,古雷石化,,,7600,0,0%,元/吨,,Styrene_Domestic,2
2026/07/08,苯乙烯,华东地区,古雷石化,,,7600,300,4.11%,元/吨,,Styrene_Domestic,2
2026/07/07,苯乙烯,华东地区,古雷石化,,,7300,0,0%,元/吨,,Styrene_Domestic,2
2026/07/06,苯乙烯,华东地区,古雷石化,,,7300,100,1.39%,元/吨,,Styrene_Domestic,2
2026/07/03,苯乙烯,华东地区,古雷石化,,,7200,0,0%,元/吨,,Styrene_Domestic,2
2026/07/02,苯乙烯,华东地区,古雷石化,,,7200,0,0%,元/吨,,Styrene_Domestic,2
2026/07/01,苯乙烯,华东地区,古雷石化,,,7200,0,0%,元/吨,,Styrene_Domestic,2
2026/06/30,苯乙烯,华东地区,古雷石化,,,7200,0,0%,元/吨,,Styrene_Domestic,2
2026/06/29,苯乙烯,华东地区,古雷石化,,,7200,-150,-2.04%,元/吨,,Styrene_Domestic,2
2026/06/26,苯乙烯,华东地区,古雷石化,,,7350,0,0%,元/吨,,Styrene_Domestic,2
2026/06/25,苯乙烯,华东地区,古雷石化,,,7350,-450,-5.77%,元/吨,,Styrene_Domestic,2
