数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/21,苯乙烯,华北地区,唐山旭阳,,,8930,-120,-1.33%,元/吨,,Styrene_Domestic,2
2026/07/20,苯乙烯,华北地区,唐山旭阳,,,9050,350,4.02%,元/吨,,Styrene_Domestic,2
2026/07/17,苯乙烯,华北地区,唐山旭阳,,,8700,0,0%,元/吨,,Styrene_Domestic,2
2026/07/16,苯乙烯,华北地区,唐山旭阳,,,8700,100,1.16%,元/吨,,Styrene_Domestic,2
2026/07/15,苯乙烯,华北地区,唐山旭阳,,,8600,200,2.38%,元/吨,,Styrene_Domestic,2
2026/07/14,苯乙烯,华北地区,唐山旭阳,,,8400,200,2.44%,元/吨,,Styrene_Domestic,2
2026/07/13,苯乙烯,华北地区,唐山旭阳,,,8200,350,4.46%,元/吨,,Styrene_Domestic,2
2026/07/10,苯乙烯,华北地区,唐山旭阳,,,7850,0,0%,元/吨,,Styrene_Domestic,2
2026/07/09,苯乙烯,华北地区,唐山旭阳,,,7850,130,1.68%,元/吨,,Styrene_Domestic,2
2026/07/08,苯乙烯,华北地区,唐山旭阳,,,7720,270,3.62%,元/吨,,Styrene_Domestic,2
2026/07/07,苯乙烯,华北地区,唐山旭阳,,,7450,130,1.78%,元/吨,,Styrene_Domestic,2
2026/07/06,苯乙烯,华北地区,唐山旭阳,,,7320,-30,-0.41%,元/吨,,Styrene_Domestic,2
2026/07/03,苯乙烯,华北地区,唐山旭阳,,,7350,100,1.38%,元/吨,,Styrene_Domestic,2
2026/07/02,苯乙烯,华北地区,唐山旭阳,,,7250,-50,-0.68%,元/吨,,Styrene_Domestic,2
2026/07/01,苯乙烯,华北地区,唐山旭阳,,,7300,-50,-0.68%,元/吨,,Styrene_Domestic,2
2026/06/30,苯乙烯,华北地区,唐山旭阳,,,7350,50,0.68%,元/吨,,Styrene_Domestic,2
2026/06/29,苯乙烯,华北地区,唐山旭阳,,,7300,0,0%,元/吨,,Styrene_Domestic,2
2026/06/26,苯乙烯,华北地区,唐山旭阳,,,7300,-200,-2.67%,元/吨,,Styrene_Domestic,2
2026/06/25,苯乙烯,华北地区,唐山旭阳,,,7500,-150,-1.96%,元/吨,,Styrene_Domestic,2
2026/06/24,苯乙烯,华北地区,唐山旭阳,,,7650,-300,-3.77%,元/吨,,Styrene_Domestic,2
2026/06/23,苯乙烯,华北地区,唐山旭阳,,,,,,元/吨,暂缺,Styrene_Domestic,2
2026/06/22,苯乙烯,华北地区,唐山旭阳,,,7950,50,0.63%,元/吨,,Styrene_Domestic,2
2026/06/18,苯乙烯,华北地区,唐山旭阳,,,7900,-250,-3.07%,元/吨,,Styrene_Domestic,2
2026/06/17,苯乙烯,华北地区,唐山旭阳,,,,,,元/吨,暂缺,Styrene_Domestic,2
2026/06/16,苯乙烯,华北地区,唐山旭阳,,,8150,-150,-1.81%,元/吨,,Styrene_Domestic,2
2026/06/15,苯乙烯,华北地区,唐山旭阳,,,8300,-250,-2.92%,元/吨,,Styrene_Domestic,2
2026/06/12,苯乙烯,华北地区,唐山旭阳,,,8550,-100,-1.16%,元/吨,,Styrene_Domestic,2
2026/06/11,苯乙烯,华北地区,唐山旭阳,,,8650,0,0%,元/吨,,Styrene_Domestic,2
2026/06/10,苯乙烯,华北地区,唐山旭阳,,,8650,-100,-1.14%,元/吨,,Styrene_Domestic,2
2026/06/09,苯乙烯,华北地区,唐山旭阳,,,8750,0,0%,元/吨,,Styrene_Domestic,2
2026/06/08,苯乙烯,华北地区,唐山旭阳,,,8750,0,0%,元/吨,,Styrene_Domestic,2
2026/06/05,苯乙烯,华北地区,唐山旭阳,,,8750,-100,-1.13%,元/吨,,Styrene_Domestic,2
