数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/20,苯乙烯,山东省,山东利华益,,,9000,300,3.45%,元/吨,,Styrene_Domestic,2
2026/07/17,苯乙烯,山东省,山东利华益,,,8700,0,0%,元/吨,,Styrene_Domestic,2
2026/07/16,苯乙烯,山东省,山东利华益,,,8700,100,1.16%,元/吨,,Styrene_Domestic,2
2026/07/15,苯乙烯,山东省,山东利华益,,,8600,170,2.02%,元/吨,,Styrene_Domestic,2
2026/07/14,苯乙烯,山东省,山东利华益,,,8430,200,2.43%,元/吨,,Styrene_Domestic,2
2026/07/13,苯乙烯,山东省,山东利华益,,,8230,380,4.84%,元/吨,,Styrene_Domestic,2
2026/07/10,苯乙烯,山东省,山东利华益,,,7850,0,0%,元/吨,,Styrene_Domestic,2
2026/07/09,苯乙烯,山东省,山东利华益,,,7850,130,1.68%,元/吨,,Styrene_Domestic,2
2026/07/08,苯乙烯,山东省,山东利华益,,,7720,270,3.62%,元/吨,,Styrene_Domestic,2
2026/07/07,苯乙烯,山东省,山东利华益,,,7450,130,1.78%,元/吨,,Styrene_Domestic,2
2026/07/06,苯乙烯,山东省,山东利华益,,,7320,-30,-0.41%,元/吨,,Styrene_Domestic,2
2026/07/03,苯乙烯,山东省,山东利华益,,,7350,150,2.08%,元/吨,,Styrene_Domestic,2
2026/07/02,苯乙烯,山东省,山东利华益,,,7200,-100,-1.37%,元/吨,,Styrene_Domestic,2
2026/07/01,苯乙烯,山东省,山东利华益,,,7300,-50,-0.68%,元/吨,,Styrene_Domestic,2
2026/06/30,苯乙烯,山东省,山东利华益,,,7350,120,1.66%,元/吨,,Styrene_Domestic,2
2026/06/29,苯乙烯,山东省,山东利华益,,,7230,30,0.42%,元/吨,,Styrene_Domestic,2
2026/06/26,苯乙烯,山东省,山东利华益,,,7200,-250,-3.36%,元/吨,,Styrene_Domestic,2
2026/06/25,苯乙烯,山东省,山东利华益,,,7450,-150,-1.97%,元/吨,,Styrene_Domestic,2
2026/06/24,苯乙烯,山东省,山东利华益,,,7600,-150,-1.94%,元/吨,,Styrene_Domestic,2
2026/06/23,苯乙烯,山东省,山东利华益,,,7750,-150,-1.9%,元/吨,,Styrene_Domestic,2
2026/06/22,苯乙烯,山东省,山东利华益,,,7900,50,0.64%,元/吨,,Styrene_Domestic,2
2026/06/18,苯乙烯,山东省,山东利华益,,,7850,0,0%,元/吨,,Styrene_Domestic,2
2026/06/17,苯乙烯,山东省,山东利华益,,,7850,-200,-2.48%,元/吨,,Styrene_Domestic,2
2026/06/16,苯乙烯,山东省,山东利华益,,,8050,-150,-1.83%,元/吨,,Styrene_Domestic,2
2026/06/15,苯乙烯,山东省,山东利华益,,,8200,-300,-3.53%,元/吨,,Styrene_Domestic,2
2026/06/12,苯乙烯,山东省,山东利华益,,,8500,-150,-1.73%,元/吨,,Styrene_Domestic,2
2026/06/11,苯乙烯,山东省,山东利华益,,,8650,0,0%,元/吨,,Styrene_Domestic,2
2026/06/10,苯乙烯,山东省,山东利华益,,,8650,-80,-0.92%,元/吨,,Styrene_Domestic,2
2026/06/09,苯乙烯,山东省,山东利华益,,,8730,0,0%,元/吨,,Styrene_Domestic,2
2026/06/08,苯乙烯,山东省,山东利华益,,,8730,30,0.34%,元/吨,,Styrene_Domestic,2
2026/06/05,苯乙烯,山东省,山东利华益,,,8700,-100,-1.14%,元/吨,,Styrene_Domestic,2
2026/06/04,苯乙烯,山东省,山东利华益,,,8800,-50,-0.56%,元/吨,,Styrene_Domestic,2
2026/06/03,苯乙烯,山东省,山东利华益,,,8850,150,1.72%,元/吨,,Styrene_Domestic,2
2026/06/02,苯乙烯,山东省,山东利华益,,,8700,0,0%,元/吨,,Styrene_Domestic,2
2026/06/01,苯乙烯,山东省,山东利华益,,,8700,-50,-0.57%,元/吨,,Styrene_Domestic,2
2026/05/29,苯乙烯,山东省,山东利华益,,,8750,-100,-1.13%,元/吨,,Styrene_Domestic,2
2026/05/28,苯乙烯,山东省,山东利华益,,,8850,50,0.57%,元/吨,,Styrene_Domestic,2
2026/05/27,苯乙烯,山东省,山东利华益,,,8800,-200,-2.22%,元/吨,,Styrene_Domestic,2
2026/05/26,苯乙烯,山东省,山东利华益,,,9000,-200,-2.17%,元/吨,,Styrene_Domestic,2
2026/05/25,苯乙烯,山东省,山东利华益,,,9200,-150,-1.6%,元/吨,,Styrene_Domestic,2
2026/05/22,苯乙烯,山东省,山东利华益,,,9350,-80,-0.85%,元/吨,,Styrene_Domestic,2
2026/05/21,苯乙烯,山东省,山东利华益,,,9430,0,0%,元/吨,,Styrene_Domestic,2
2026/05/20,苯乙烯,山东省,山东利华益,,,9430,-20,-0.21%,元/吨,,Styrene_Domestic,2
2026/05/19,苯乙烯,山东省,山东利华益,,,9450,0,0%,元/吨,,Styrene_Domestic,2
2026/05/18,苯乙烯,山东省,山东利华益,,,9450,150,1.61%,元/吨,,Styrene_Domestic,2
2026/05/15,苯乙烯,山东省,山东利华益,,,9300,0,0%,元/吨,,Styrene_Domestic,2
2026/05/14,苯乙烯,山东省,山东利华益,,,9300,-150,-1.59%,元/吨,,Styrene_Domestic,2
2026/05/13,苯乙烯,山东省,山东利华益,,,9450,-100,-1.05%,元/吨,,Styrene_Domestic,2
2026/05/12,苯乙烯,山东省,山东利华益,,,9550,50,0.53%,元/吨,,Styrene_Domestic,2
2026/05/11,苯乙烯,山东省,山东利华益,,,9500,200,2.15%,元/吨,,Styrene_Domestic,2
2026/05/09,苯乙烯,山东省,山东利华益,,,9300,-170,-1.8%,元/吨,,Styrene_Domestic,2
2026/05/08,苯乙烯,山东省,山东利华益,,,9470,-110,-1.15%,元/吨,,Styrene_Domestic,2
2026/05/07,苯乙烯,山东省,山东利华益,,,9580,-270,-2.74%,元/吨,,Styrene_Domestic,2
2026/05/06,苯乙烯,山东省,山东利华益,,,9850,-50,-0.51%,元/吨,,Styrene_Domestic,2
2026/04/30,苯乙烯,山东省,山东利华益,,,9900,50,0.51%,元/吨,,Styrene_Domestic,2
2026/04/29,苯乙烯,山东省,山东利华益,,,9850,100,1.03%,元/吨,,Styrene_Domestic,2
2026/04/28,苯乙烯,山东省,山东利华益,,,9750,-50,-0.51%,元/吨,,Styrene_Domestic,2
2026/04/27,苯乙烯,山东省,山东利华益,,,9800,-120,-1.21%,元/吨,,Styrene_Domestic,2
2026/04/24,苯乙烯,山东省,山东利华益,,,9920,170,1.74%,元/吨,,Styrene_Domestic,2
2026/04/23,苯乙烯,山东省,山东利华益,,,9750,0,0%,元/吨,,Styrene_Domestic,2
2026/04/22,苯乙烯,山东省,山东利华益,,,9750,150,1.56%,元/吨,,Styrene_Domestic,2
2026/04/21,苯乙烯,山东省,山东利华益,,,9600,-200,-2.04%,元/吨,,Styrene_Domestic,2
2026/04/20,苯乙烯,山东省,山东利华益,,,9800,-100,-1.01%,元/吨,,Styrene_Domestic,2
2026/04/17,苯乙烯,山东省,山东利华益,,,9900,-100,-1%,元/吨,,Styrene_Domestic,2
2026/04/16,苯乙烯,山东省,山东利华益,,,10000,0,0%,元/吨,,Styrene_Domestic,2
2026/04/15,苯乙烯,山东省,山东利华益,,,10000,170,1.73%,元/吨,,Styrene_Domestic,2
2026/04/14,苯乙烯,山东省,山东利华益,,,9830,-20,-0.2%,元/吨,首次9750 二调9830,Styrene_Domestic,2
2026/04/13,苯乙烯,山东省,山东利华益,,,9850,-150,-1.5%,元/吨,,Styrene_Domestic,2
2026/04/10,苯乙烯,山东省,山东利华益,,,10000,0,0%,元/吨,,Styrene_Domestic,2
2026/04/09,苯乙烯,山东省,山东利华益,,,10000,50,0.5%,元/吨,,Styrene_Domestic,2
2026/04/08,苯乙烯,山东省,山东利华益,,,9950,-650,-6.13%,元/吨,,Styrene_Domestic,2
2026/04/07,苯乙烯,山东省,山东利华益,,,10600,300,2.91%,元/吨,,Styrene_Domestic,2
2026/04/03,苯乙烯,山东省,山东利华益,,,10300,0,0%,元/吨,,Styrene_Domestic,2
2026/04/02,苯乙烯,山东省,山东利华益,,,10300,0,0%,元/吨,,Styrene_Domestic,2
2026/04/01,苯乙烯,山东省,山东利华益,,,10300,0,0%,元/吨,,Styrene_Domestic,2
2026/03/31,苯乙烯,山东省,山东利华益,,,10300,-250,-2.37%,元/吨,,Styrene_Domestic,2
2026/03/30,苯乙烯,山东省,山东利华益,,,10550,300,2.93%,元/吨,,Styrene_Domestic,2
2026/03/27,苯乙烯,山东省,山东利华益,,,10250,430,4.38%,元/吨,,Styrene_Domestic,2
2026/03/26,苯乙烯,山东省,山东利华益,,,9820,70,0.72%,元/吨,,Styrene_Domestic,2
2026/03/25,苯乙烯,山东省,山东利华益,,,9750,-650,-6.25%,元/吨,,Styrene_Domestic,2
2026/03/24,苯乙烯,山东省,山东利华益,,,10400,0,0%,元/吨,,Styrene_Domestic,2
2026/03/23,苯乙烯,山东省,山东利华益,,,10400,650,6.67%,元/吨,,Styrene_Domestic,2
