数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/02,苯乙烯,华北地区,河北盛腾,,,,,,元/吨,暂缺,Styrene_Domestic,2
2026/07/01,苯乙烯,华北地区,河北盛腾,,,,,,元/吨,暂缺,Styrene_Domestic,2
2026/06/30,苯乙烯,华北地区,河北盛腾,,,,,,元/吨,暂缺,Styrene_Domestic,2
2026/06/29,苯乙烯,华北地区,河北盛腾,,,,,,元/吨,暂缺,Styrene_Domestic,2
2026/06/26,苯乙烯,华北地区,河北盛腾,,,,,,元/吨,暂缺,Styrene_Domestic,2
2026/06/25,苯乙烯,华北地区,河北盛腾,,,,,,元/吨,暂缺,Styrene_Domestic,2
2026/06/24,苯乙烯,华北地区,河北盛腾,,,,,,元/吨,暂缺,Styrene_Domestic,2
2026/06/23,苯乙烯,华北地区,河北盛腾,,,,,,元/吨,暂缺,Styrene_Domestic,2
2026/06/22,苯乙烯,华北地区,河北盛腾,,,,,,元/吨,暂缺,Styrene_Domestic,2
2026/06/18,苯乙烯,华北地区,河北盛腾,,,7850,0,0%,元/吨,,Styrene_Domestic,2
2026/06/17,苯乙烯,华北地区,河北盛腾,,,7850,-200,-2.48%,元/吨,,Styrene_Domestic,2
2026/06/16,苯乙烯,华北地区,河北盛腾,,,8050,-150,-1.83%,元/吨,,Styrene_Domestic,2
2026/06/15,苯乙烯,华北地区,河北盛腾,,,8200,-300,-3.53%,元/吨,,Styrene_Domestic,2
2026/06/12,苯乙烯,华北地区,河北盛腾,,,8500,0,0%,元/吨,,Styrene_Domestic,2
2026/06/11,苯乙烯,华北地区,河北盛腾,,,8500,-150,-1.73%,元/吨,,Styrene_Domestic,2
2026/06/10,苯乙烯,华北地区,河北盛腾,,,8650,-50,-0.57%,元/吨,,Styrene_Domestic,2
2026/06/09,苯乙烯,华北地区,河北盛腾,,,8700,-20,-0.23%,元/吨,,Styrene_Domestic,2
2026/06/08,苯乙烯,华北地区,河北盛腾,,,8720,20,0.23%,元/吨,,Styrene_Domestic,2
2026/06/05,苯乙烯,华北地区,河北盛腾,,,8700,-100,-1.14%,元/吨,,Styrene_Domestic,2
2026/06/04,苯乙烯,华北地区,河北盛腾,,,8800,-50,-0.56%,元/吨,,Styrene_Domestic,2
2026/06/03,苯乙烯,华北地区,河北盛腾,,,8850,150,1.72%,元/吨,,Styrene_Domestic,2
2026/06/02,苯乙烯,华北地区,河北盛腾,,,8700,0,0%,元/吨,,Styrene_Domestic,2
2026/06/01,苯乙烯,华北地区,河北盛腾,,,8700,-100,-1.14%,元/吨,,Styrene_Domestic,2
2026/05/29,苯乙烯,华北地区,河北盛腾,,,8800,-50,-0.56%,元/吨,,Styrene_Domestic,2
2026/05/28,苯乙烯,华北地区,河北盛腾,,,8850,50,0.57%,元/吨,,Styrene_Domestic,2
2026/05/27,苯乙烯,华北地区,河北盛腾,,,8800,-300,-3.3%,元/吨,,Styrene_Domestic,2
2026/05/26,苯乙烯,华北地区,河北盛腾,,,9100,-100,-1.09%,元/吨,,Styrene_Domestic,2
2026/05/25,苯乙烯,华北地区,河北盛腾,,,9200,-150,-1.6%,元/吨,,Styrene_Domestic,2
2026/05/22,苯乙烯,华北地区,河北盛腾,,,9350,-80,-0.85%,元/吨,,Styrene_Domestic,2
2026/05/21,苯乙烯,华北地区,河北盛腾,,,9430,0,0%,元/吨,,Styrene_Domestic,2
2026/05/20,苯乙烯,华北地区,河北盛腾,,,9430,-20,-0.21%,元/吨,,Styrene_Domestic,2
2026/05/19,苯乙烯,华北地区,河北盛腾,,,9450,0,0%,元/吨,,Styrene_Domestic,2
2026/05/18,苯乙烯,华北地区,河北盛腾,,,9450,150,1.61%,元/吨,,Styrene_Domestic,2
2026/05/15,苯乙烯,华北地区,河北盛腾,,,9300,0,0%,元/吨,,Styrene_Domestic,2
2026/05/14,苯乙烯,华北地区,河北盛腾,,,9300,-150,-1.59%,元/吨,,Styrene_Domestic,2
2026/05/13,苯乙烯,华北地区,河北盛腾,,,9450,-100,-1.05%,元/吨,,Styrene_Domestic,2
2026/05/12,苯乙烯,华北地区,河北盛腾,,,9550,70,0.74%,元/吨,,Styrene_Domestic,2
2026/05/11,苯乙烯,华北地区,河北盛腾,,,9480,130,1.39%,元/吨,,Styrene_Domestic,2
2026/05/09,苯乙烯,华北地区,河北盛腾,,,9350,-130,-1.37%,元/吨,,Styrene_Domestic,2
2026/05/08,苯乙烯,华北地区,河北盛腾,,,9480,-120,-1.25%,元/吨,,Styrene_Domestic,2
2026/05/07,苯乙烯,华北地区,河北盛腾,,,9600,-250,-2.54%,元/吨,,Styrene_Domestic,2
2026/05/06,苯乙烯,华北地区,河北盛腾,,,9850,-50,-0.51%,元/吨,,Styrene_Domestic,2
2026/04/30,苯乙烯,华北地区,河北盛腾,,,9900,50,0.51%,元/吨,,Styrene_Domestic,2
2026/04/29,苯乙烯,华北地区,河北盛腾,,,9850,50,0.51%,元/吨,,Styrene_Domestic,2
2026/04/28,苯乙烯,华北地区,河北盛腾,,,9800,0,0%,元/吨,,Styrene_Domestic,2
2026/04/27,苯乙烯,华北地区,河北盛腾,,,9800,-100,-1.01%,元/吨,,Styrene_Domestic,2
2026/04/24,苯乙烯,华北地区,河北盛腾,,,9900,150,1.54%,元/吨,,Styrene_Domestic,2
2026/04/23,苯乙烯,华北地区,河北盛腾,,,9750,30,0.31%,元/吨,,Styrene_Domestic,2
2026/04/22,苯乙烯,华北地区,河北盛腾,,,9720,100,1.04%,元/吨,,Styrene_Domestic,2
2026/04/21,苯乙烯,华北地区,河北盛腾,,,9620,-180,-1.84%,元/吨,,Styrene_Domestic,2
2026/04/20,苯乙烯,华北地区,河北盛腾,,,9800,-200,-2%,元/吨,,Styrene_Domestic,2
2026/04/17,苯乙烯,华北地区,河北盛腾,,,10000,0,0%,元/吨,,Styrene_Domestic,2
2026/04/16,苯乙烯,华北地区,河北盛腾,,,10000,0,0%,元/吨,,Styrene_Domestic,2
2026/04/15,苯乙烯,华北地区,河北盛腾,,,10000,200,2.04%,元/吨,,Styrene_Domestic,2
2026/04/14,苯乙烯,华北地区,河北盛腾,,,9800,-100,-1.01%,元/吨,,Styrene_Domestic,2
2026/04/13,苯乙烯,华北地区,河北盛腾,,,9900,-100,-1%,元/吨,,Styrene_Domestic,2
2026/04/10,苯乙烯,华北地区,河北盛腾,,,10000,-150,-1.48%,元/吨,,Styrene_Domestic,2
2026/04/09,苯乙烯,华北地区,河北盛腾,,,10150,150,1.5%,元/吨,,Styrene_Domestic,2
2026/04/08,苯乙烯,华北地区,河北盛腾,,,10000,-600,-5.66%,元/吨,,Styrene_Domestic,2
2026/04/07,苯乙烯,华北地区,河北盛腾,,,10600,300,2.91%,元/吨,,Styrene_Domestic,2
2026/04/03,苯乙烯,华北地区,河北盛腾,,,10300,0,0%,元/吨,,Styrene_Domestic,2
2026/04/02,苯乙烯,华北地区,河北盛腾,,,10300,-50,-0.48%,元/吨,,Styrene_Domestic,2
2026/04/01,苯乙烯,华北地区,河北盛腾,,,10350,-100,-0.96%,元/吨,,Styrene_Domestic,2
2026/03/31,苯乙烯,华北地区,河北盛腾,,,10450,-350,-3.24%,元/吨,,Styrene_Domestic,2
2026/03/30,苯乙烯,华北地区,河北盛腾,,,10800,400,3.85%,元/吨,,Styrene_Domestic,2
