数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/17,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/16,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/15,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/14,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/13,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/10,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/09,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/08,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/07,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/06,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/03,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/02,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/07/01,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/30,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/29,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/26,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/25,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/24,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/23,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/22,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/18,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/17,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/16,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/15,苯乙烯,山东省,淄博峻辰,,,,,,元/吨,无货,Styrene_Domestic,2
2026/06/12,苯乙烯,山东省,淄博峻辰,,,8550,-100,-1.16%,元/吨,,Styrene_Domestic,2
2026/06/11,苯乙烯,山东省,淄博峻辰,,,8650,0,0%,元/吨,,Styrene_Domestic,2
2026/06/10,苯乙烯,山东省,淄博峻辰,,,8650,-50,-0.57%,元/吨,,Styrene_Domestic,2
2026/06/09,苯乙烯,山东省,淄博峻辰,,,8700,-50,-0.57%,元/吨,,Styrene_Domestic,2
2026/06/08,苯乙烯,山东省,淄博峻辰,,,8750,0,0%,元/吨,,Styrene_Domestic,2
2026/06/05,苯乙烯,山东省,淄博峻辰,,,8750,-100,-1.13%,元/吨,,Styrene_Domestic,2
2026/06/04,苯乙烯,山东省,淄博峻辰,,,8850,0,0%,元/吨,,Styrene_Domestic,2
2026/06/03,苯乙烯,山东省,淄博峻辰,,,8850,100,1.14%,元/吨,,Styrene_Domestic,2
2026/06/02,苯乙烯,山东省,淄博峻辰,,,8750,-50,-0.57%,元/吨,,Styrene_Domestic,2
2026/06/01,苯乙烯,山东省,淄博峻辰,,,8800,-50,-0.56%,元/吨,,Styrene_Domestic,2
2026/05/29,苯乙烯,山东省,淄博峻辰,,,8850,-50,-0.56%,元/吨,,Styrene_Domestic,2
2026/05/28,苯乙烯,山东省,淄博峻辰,,,8900,-200,-2.2%,元/吨,,Styrene_Domestic,2
2026/05/27,苯乙烯,山东省,淄博峻辰,,,9100,0,0%,元/吨,,Styrene_Domestic,2
2026/05/26,苯乙烯,山东省,淄博峻辰,,,9100,-200,-2.15%,元/吨,,Styrene_Domestic,2
2026/05/25,苯乙烯,山东省,淄博峻辰,,,9300,-100,-1.06%,元/吨,,Styrene_Domestic,2
2026/05/22,苯乙烯,山东省,淄博峻辰,,,9400,-100,-1.05%,元/吨,,Styrene_Domestic,2
2026/05/21,苯乙烯,山东省,淄博峻辰,,,9500,0,0%,元/吨,,Styrene_Domestic,2
2026/05/20,苯乙烯,山东省,淄博峻辰,,,9500,0,0%,元/吨,,Styrene_Domestic,2
2026/05/19,苯乙烯,山东省,淄博峻辰,,,9500,0,0%,元/吨,,Styrene_Domestic,2
2026/05/18,苯乙烯,山东省,淄博峻辰,,,9500,100,1.06%,元/吨,,Styrene_Domestic,2
