数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/03,苯乙烯,华北地区,渤化发展,,,7400,100,1.37%,元/吨,,Styrene_Domestic,2
2026/07/02,苯乙烯,华北地区,渤化发展,,,7300,-50,-0.68%,元/吨,,Styrene_Domestic,2
2026/07/01,苯乙烯,华北地区,渤化发展,,,7350,-50,-0.68%,元/吨,,Styrene_Domestic,2
2026/06/30,苯乙烯,华北地区,渤化发展,,,7400,100,1.37%,元/吨,,Styrene_Domestic,2
2026/06/29,苯乙烯,华北地区,渤化发展,,,7300,0,0%,元/吨,,Styrene_Domestic,2
2026/06/26,苯乙烯,华北地区,渤化发展,,,7300,-200,-2.67%,元/吨,,Styrene_Domestic,2
2026/06/25,苯乙烯,华北地区,渤化发展,,,7500,-150,-1.96%,元/吨,,Styrene_Domestic,2
2026/06/24,苯乙烯,华北地区,渤化发展,,,7650,-150,-1.92%,元/吨,,Styrene_Domestic,2
2026/06/23,苯乙烯,华北地区,渤化发展,,,7800,-100,-1.27%,元/吨,,Styrene_Domestic,2
2026/06/22,苯乙烯,华北地区,渤化发展,,,7900,0,0%,元/吨,,Styrene_Domestic,2
2026/06/18,苯乙烯,华北地区,渤化发展,,,7900,-100,-1.25%,元/吨,,Styrene_Domestic,2
2026/06/17,苯乙烯,华北地区,渤化发展,,,8000,-150,-1.84%,元/吨,,Styrene_Domestic,2
2026/06/16,苯乙烯,华北地区,渤化发展,,,8150,-150,-1.81%,元/吨,,Styrene_Domestic,2
2026/06/15,苯乙烯,华北地区,渤化发展,,,8300,-300,-3.49%,元/吨,,Styrene_Domestic,2
2026/06/12,苯乙烯,华北地区,渤化发展,,,8600,-100,-1.15%,元/吨,,Styrene_Domestic,2
2026/06/11,苯乙烯,华北地区,渤化发展,,,8700,0,0%,元/吨,,Styrene_Domestic,2
2026/06/10,苯乙烯,华北地区,渤化发展,,,8700,-70,-0.8%,元/吨,,Styrene_Domestic,2
2026/06/09,苯乙烯,华北地区,渤化发展,,,8770,-30,-0.34%,元/吨,,Styrene_Domestic,2
2026/06/08,苯乙烯,华北地区,渤化发展,,,8800,0,0%,元/吨,,Styrene_Domestic,2
2026/06/05,苯乙烯,华北地区,渤化发展,,,8800,-50,-0.56%,元/吨,,Styrene_Domestic,2
2026/06/04,苯乙烯,华北地区,渤化发展,,,8850,-60,-0.67%,元/吨,,Styrene_Domestic,2
2026/06/03,苯乙烯,华北地区,渤化发展,,,8910,100,1.14%,元/吨,,Styrene_Domestic,2
2026/06/02,苯乙烯,华北地区,渤化发展,,,8810,-40,-0.45%,元/吨,,Styrene_Domestic,2
2026/06/01,苯乙烯,华北地区,渤化发展,,,8850,0,0%,元/吨,,Styrene_Domestic,2
2026/05/29,苯乙烯,华北地区,渤化发展,,,8850,-80,-0.9%,元/吨,,Styrene_Domestic,2
2026/05/28,苯乙烯,华北地区,渤化发展,,,8930,-70,-0.78%,元/吨,,Styrene_Domestic,2
2026/05/27,苯乙烯,华北地区,渤化发展,,,9000,-130,-1.42%,元/吨,,Styrene_Domestic,2
2026/05/26,苯乙烯,华北地区,渤化发展,,,9130,-200,-2.14%,元/吨,,Styrene_Domestic,2
2026/05/25,苯乙烯,华北地区,渤化发展,,,9330,-120,-1.27%,元/吨,,Styrene_Domestic,2
2026/05/22,苯乙烯,华北地区,渤化发展,,,9450,-80,-0.84%,元/吨,,Styrene_Domestic,2
2026/05/21,苯乙烯,华北地区,渤化发展,,,9530,0,0%,元/吨,,Styrene_Domestic,2
2026/05/20,苯乙烯,华北地区,渤化发展,,,9530,0,0%,元/吨,,Styrene_Domestic,2
2026/05/19,苯乙烯,华北地区,渤化发展,,,9530,0,0%,元/吨,,Styrene_Domestic,2
2026/05/18,苯乙烯,华北地区,渤化发展,,,9530,130,1.38%,元/吨,,Styrene_Domestic,2
2026/05/15,苯乙烯,华北地区,渤化发展,,,9400,30,0.32%,元/吨,,Styrene_Domestic,2
2026/05/14,苯乙烯,华北地区,渤化发展,,,9370,-200,-2.09%,元/吨,,Styrene_Domestic,2
2026/05/13,苯乙烯,华北地区,渤化发展,,,9570,-80,-0.83%,元/吨,,Styrene_Domestic,2
2026/05/12,苯乙烯,华北地区,渤化发展,,,9650,0,0%,元/吨,,Styrene_Domestic,2
2026/05/11,苯乙烯,华北地区,渤化发展,,,9650,200,2.12%,元/吨,,Styrene_Domestic,2
2026/05/09,苯乙烯,华北地区,渤化发展,,,9450,-150,-1.56%,元/吨,,Styrene_Domestic,2
2026/05/08,苯乙烯,华北地区,渤化发展,,,9600,-100,-1.03%,元/吨,,Styrene_Domestic,2
2026/05/07,苯乙烯,华北地区,渤化发展,,,9700,-250,-2.51%,元/吨,,Styrene_Domestic,2
2026/05/06,苯乙烯,华北地区,渤化发展,,,9950,-100,-1%,元/吨,,Styrene_Domestic,2
2026/04/30,苯乙烯,华北地区,渤化发展,,,10050,100,1.01%,元/吨,,Styrene_Domestic,2
2026/04/29,苯乙烯,华北地区,渤化发展,,,9950,100,1.02%,元/吨,询价中,Styrene_Domestic,2
2026/04/28,苯乙烯,华北地区,渤化发展,,,9850,-50,-0.51%,元/吨,,Styrene_Domestic,2
2026/04/27,苯乙烯,华北地区,渤化发展,,,9900,-100,-1%,元/吨,,Styrene_Domestic,2
2026/04/24,苯乙烯,华北地区,渤化发展,,,10000,100,1.01%,元/吨,,Styrene_Domestic,2
2026/04/23,苯乙烯,华北地区,渤化发展,,,9900,50,0.51%,元/吨,,Styrene_Domestic,2
2026/04/22,苯乙烯,华北地区,渤化发展,,,9850,100,1.03%,元/吨,,Styrene_Domestic,2
2026/04/21,苯乙烯,华北地区,渤化发展,,,9750,-200,-2.01%,元/吨,,Styrene_Domestic,2
2026/04/20,苯乙烯,华北地区,渤化发展,,,9950,-150,-1.49%,元/吨,,Styrene_Domestic,2
2026/04/17,苯乙烯,华北地区,渤化发展,,,10100,70,0.7%,元/吨,,Styrene_Domestic,2
2026/04/16,苯乙烯,华北地区,渤化发展,,,10030,-70,-0.69%,元/吨,,Styrene_Domestic,2
2026/04/15,苯乙烯,华北地区,渤化发展,,,10100,200,2.02%,元/吨,,Styrene_Domestic,2
2026/04/14,苯乙烯,华北地区,渤化发展,,,9900,-200,-1.98%,元/吨,,Styrene_Domestic,2
2026/04/13,苯乙烯,华北地区,渤化发展,,,10100,0,0%,元/吨,,Styrene_Domestic,2
2026/04/10,苯乙烯,华北地区,渤化发展,,,10100,-200,-1.94%,元/吨,,Styrene_Domestic,2
2026/04/09,苯乙烯,华北地区,渤化发展,,,10300,200,1.98%,元/吨,,Styrene_Domestic,2
2026/04/08,苯乙烯,华北地区,渤化发展,,,10100,-650,-6.05%,元/吨,,Styrene_Domestic,2
2026/04/07,苯乙烯,华北地区,渤化发展,,,10750,250,2.38%,元/吨,,Styrene_Domestic,2
2026/04/03,苯乙烯,华北地区,渤化发展,,,10500,0,0%,元/吨,,Styrene_Domestic,2
2026/04/02,苯乙烯,华北地区,渤化发展,,,10500,-150,-1.41%,元/吨,,Styrene_Domestic,2
2026/04/01,苯乙烯,华北地区,渤化发展,,,,,,元/吨,询价中,Styrene_Domestic,2
2026/03/31,苯乙烯,华北地区,渤化发展,,,10650,-300,-2.74%,元/吨,,Styrene_Domestic,2
2026/03/30,苯乙烯,华北地区,渤化发展,,,10950,450,4.29%,元/吨,,Styrene_Domestic,2
2026/03/27,苯乙烯,华北地区,渤化发展,,,10500,350,3.45%,元/吨,,Styrene_Domestic,2
2026/03/26,苯乙烯,华北地区,渤化发展,,,10150,250,2.53%,元/吨,,Styrene_Domestic,2
2026/03/25,苯乙烯,华北地区,渤化发展,,,9900,-550,-5.26%,元/吨,,Styrene_Domestic,2
2026/03/24,苯乙烯,华北地区,渤化发展,,,10450,-150,-1.42%,元/吨,,Styrene_Domestic,2
2026/03/23,苯乙烯,华北地区,渤化发展,,,10600,600,6%,元/吨,,Styrene_Domestic,2
2026/03/20,苯乙烯,华北地区,渤化发展,,,10000,-350,-3.38%,元/吨,,Styrene_Domestic,2
2026/03/19,苯乙烯,华北地区,渤化发展,,,10350,250,2.48%,元/吨,,Styrene_Domestic,2
