数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/10,苯乙烯,华东地区,盛虹石化,,,,,,元/吨,无价格,Styrene_Domestic,2
2026/07/09,苯乙烯,华东地区,盛虹石化,,,,,,元/吨,无价格,Styrene_Domestic,2
2026/07/08,苯乙烯,华东地区,盛虹石化,,,7800,350,4.7%,元/吨,,Styrene_Domestic,2
2026/07/07,苯乙烯,华东地区,盛虹石化,,,7450,150,2.05%,元/吨,,Styrene_Domestic,2
2026/07/06,苯乙烯,华东地区,盛虹石化,,,7300,0,0%,元/吨,,Styrene_Domestic,2
2026/07/03,苯乙烯,华东地区,盛虹石化,,,7300,0,0%,元/吨,,Styrene_Domestic,2
2026/07/02,苯乙烯,华东地区,盛虹石化,,,7300,-100,-1.35%,元/吨,,Styrene_Domestic,2
2026/07/01,苯乙烯,华东地区,盛虹石化,,,7400,0,0%,元/吨,,Styrene_Domestic,2
2026/06/30,苯乙烯,华东地区,盛虹石化,,,7400,100,1.37%,元/吨,,Styrene_Domestic,2
2026/06/29,苯乙烯,华东地区,盛虹石化,,,7300,-100,-1.35%,元/吨,,Styrene_Domestic,2
2026/06/26,苯乙烯,华东地区,盛虹石化,,,7400,-300,-3.9%,元/吨,,Styrene_Domestic,2
2026/06/25,苯乙烯,华东地区,盛虹石化,,,7700,0,0%,元/吨,,Styrene_Domestic,2
2026/06/24,苯乙烯,华东地区,盛虹石化,,,7700,-100,-1.28%,元/吨,,Styrene_Domestic,2
2026/06/23,苯乙烯,华东地区,盛虹石化,,,7800,0,0%,元/吨,,Styrene_Domestic,2
2026/06/22,苯乙烯,华东地区,盛虹石化,,,7800,-100,-1.27%,元/吨,,Styrene_Domestic,2
2026/06/18,苯乙烯,华东地区,盛虹石化,,,7900,-300,-3.66%,元/吨,,Styrene_Domestic,2
2026/06/17,苯乙烯,华东地区,盛虹石化,,,8200,-100,-1.2%,元/吨,,Styrene_Domestic,2
2026/06/16,苯乙烯,华东地区,盛虹石化,,,8300,0,0%,元/吨,,Styrene_Domestic,2
2026/06/15,苯乙烯,华东地区,盛虹石化,,,8300,-500,-5.68%,元/吨,,Styrene_Domestic,2
2026/06/12,苯乙烯,华东地区,盛虹石化,,,8800,0,0%,元/吨,,Styrene_Domestic,2
2026/06/11,苯乙烯,华东地区,盛虹石化,,,8800,0,0%,元/吨,,Styrene_Domestic,2
2026/06/10,苯乙烯,华东地区,盛虹石化,,,8800,-100,-1.12%,元/吨,,Styrene_Domestic,2
