数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/07,苯乙烯,华南地区,茂名石化,,,7200,0,0%,元/吨,,Styrene_Domestic,2
2026/07/06,苯乙烯,华南地区,茂名石化,,,7200,100,1.41%,元/吨,,Styrene_Domestic,2
2026/07/03,苯乙烯,华南地区,茂名石化,,,7100,0,0%,元/吨,,Styrene_Domestic,2
2026/07/02,苯乙烯,华南地区,茂名石化,,,7100,0,0%,元/吨,,Styrene_Domestic,2
2026/07/01,苯乙烯,华南地区,茂名石化,,,7100,0,0%,元/吨,,Styrene_Domestic,2
2026/06/30,苯乙烯,华南地区,茂名石化,,,7100,0,0%,元/吨,,Styrene_Domestic,2
2026/06/29,苯乙烯,华南地区,茂名石化,,,7100,-150,-2.07%,元/吨,,Styrene_Domestic,2
2026/06/26,苯乙烯,华南地区,茂名石化,,,7250,0,0%,元/吨,,Styrene_Domestic,2
2026/06/25,苯乙烯,华南地区,茂名石化,,,7250,-450,-5.84%,元/吨,,Styrene_Domestic,2
2026/06/24,苯乙烯,华南地区,茂名石化,,,7700,0,0%,元/吨,,Styrene_Domestic,2
2026/06/23,苯乙烯,华南地区,茂名石化,,,7700,-100,-1.28%,元/吨,,Styrene_Domestic,2
2026/06/22,苯乙烯,华南地区,茂名石化,,,7800,0,0%,元/吨,,Styrene_Domestic,2
2026/06/18,苯乙烯,华南地区,茂名石化,,,7800,0,0%,元/吨,,Styrene_Domestic,2
2026/06/17,苯乙烯,华南地区,茂名石化,,,7800,-350,-4.29%,元/吨,,Styrene_Domestic,2
2026/06/16,苯乙烯,华南地区,茂名石化,,,8150,0,0%,元/吨,,Styrene_Domestic,2
2026/06/15,苯乙烯,华南地区,茂名石化,,,8150,-350,-4.12%,元/吨,,Styrene_Domestic,2
2026/06/12,苯乙烯,华南地区,茂名石化,,,8500,-200,-2.3%,元/吨,,Styrene_Domestic,2
2026/06/11,苯乙烯,华南地区,茂名石化,,,8700,0,0%,元/吨,,Styrene_Domestic,2
2026/06/10,苯乙烯,华南地区,茂名石化,,,8700,-250,-2.79%,元/吨,,Styrene_Domestic,2
2026/06/09,苯乙烯,华南地区,茂名石化,,,8950,0,0%,元/吨,,Styrene_Domestic,2
2026/06/08,苯乙烯,华南地区,茂名石化,,,8950,0,0%,元/吨,,Styrene_Domestic,2
2026/06/05,苯乙烯,华南地区,茂名石化,,,8950,0,0%,元/吨,,Styrene_Domestic,2
2026/06/04,苯乙烯,华南地区,茂名石化,,,8950,-200,-2.19%,元/吨,,Styrene_Domestic,2
2026/06/03,苯乙烯,华南地区,茂名石化,,,9150,0,0%,元/吨,,Styrene_Domestic,2
2026/06/02,苯乙烯,华南地区,茂名石化,,,9150,0,0%,元/吨,,Styrene_Domestic,2
2026/06/01,苯乙烯,华南地区,茂名石化,,,9150,0,0%,元/吨,,Styrene_Domestic,2
2026/05/29,苯乙烯,华南地区,茂名石化,,,9150,0,0%,元/吨,,Styrene_Domestic,2
2026/05/28,苯乙烯,华南地区,茂名石化,,,9150,0,0%,元/吨,,Styrene_Domestic,2
2026/05/27,苯乙烯,华南地区,茂名石化,,,9150,0,0%,元/吨,,Styrene_Domestic,2
2026/05/26,苯乙烯,华南地区,茂名石化,,,9150,-250,-2.66%,元/吨,,Styrene_Domestic,2
2026/05/25,苯乙烯,华南地区,茂名石化,,,9400,0,0%,元/吨,,Styrene_Domestic,2
2026/05/22,苯乙烯,华南地区,茂名石化,,,9400,-250,-2.59%,元/吨,,Styrene_Domestic,2
2026/05/21,苯乙烯,华南地区,茂名石化,,,9650,0,0%,元/吨,,Styrene_Domestic,2
2026/05/20,苯乙烯,华南地区,茂名石化,,,9650,0,0%,元/吨,,Styrene_Domestic,2
2026/05/19,苯乙烯,华南地区,茂名石化,,,9650,0,0%,元/吨,,Styrene_Domestic,2
2026/05/18,苯乙烯,华南地区,茂名石化,,,9650,300,3.21%,元/吨,,Styrene_Domestic,2
2026/05/15,苯乙烯,华南地区,茂名石化,,,9350,0,0%,元/吨,,Styrene_Domestic,2
2026/05/14,苯乙烯,华南地区,茂名石化,,,9350,-300,-3.11%,元/吨,,Styrene_Domestic,2
2026/05/13,苯乙烯,华南地区,茂名石化,,,9650,0,0%,元/吨,,Styrene_Domestic,2
2026/05/12,苯乙烯,华南地区,茂名石化,,,9650,0,0%,元/吨,,Styrene_Domestic,2
2026/05/11,苯乙烯,华南地区,茂名石化,,,9650,0,0%,元/吨,,Styrene_Domestic,2
2026/05/09,苯乙烯,华南地区,茂名石化,,,9650,0,0%,元/吨,,Styrene_Domestic,2
2026/05/08,苯乙烯,华南地区,茂名石化,,,9650,0,0%,元/吨,,Styrene_Domestic,2
2026/05/07,苯乙烯,华南地区,茂名石化,,,9650,-400,-3.98%,元/吨,,Styrene_Domestic,2
2026/05/06,苯乙烯,华南地区,茂名石化,,,10050,0,0%,元/吨,,Styrene_Domestic,2
2026/04/30,苯乙烯,华南地区,茂名石化,,,10050,0,0%,元/吨,,Styrene_Domestic,2
2026/04/29,苯乙烯,华南地区,茂名石化,,,10050,0,0%,元/吨,,Styrene_Domestic,2
2026/04/28,苯乙烯,华南地区,茂名石化,,,10050,0,0%,元/吨,,Styrene_Domestic,2
2026/04/27,苯乙烯,华南地区,茂名石化,,,10050,-100,-0.99%,元/吨,,Styrene_Domestic,2
2026/04/24,苯乙烯,华南地区,茂名石化,,,10150,0,0%,元/吨,,Styrene_Domestic,2
2026/04/23,苯乙烯,华南地区,茂名石化,,,10150,0,0%,元/吨,,Styrene_Domestic,2
2026/04/22,苯乙烯,华南地区,茂名石化,,,10150,0,0%,元/吨,,Styrene_Domestic,2
2026/04/21,苯乙烯,华南地区,茂名石化,,,10150,0,0%,元/吨,,Styrene_Domestic,2
2026/04/20,苯乙烯,华南地区,茂名石化,,,10150,-150,-1.46%,元/吨,,Styrene_Domestic,2
2026/04/17,苯乙烯,华南地区,茂名石化,,,10300,0,0%,元/吨,,Styrene_Domestic,2
