数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/13,苯乙烯,华东地区,连云港石化,,,8100,150,1.89%,元/吨,,Styrene_Domestic,2
2026/07/10,苯乙烯,华东地区,连云港石化,,,7950,0,0%,元/吨,,Styrene_Domestic,2
2026/07/09,苯乙烯,华东地区,连云港石化,,,7950,150,1.92%,元/吨,,Styrene_Domestic,2
2026/07/08,苯乙烯,华东地区,连云港石化,,,7800,300,4%,元/吨,,Styrene_Domestic,2
2026/07/07,苯乙烯,华东地区,连云港石化,,,7500,50,0.67%,元/吨,,Styrene_Domestic,2
2026/07/06,苯乙烯,华东地区,连云港石化,,,7450,50,0.68%,元/吨,,Styrene_Domestic,2
2026/07/03,苯乙烯,华东地区,连云港石化,,,7400,100,1.37%,元/吨,,Styrene_Domestic,2
2026/07/02,苯乙烯,华东地区,连云港石化,,,7300,0,0%,元/吨,,Styrene_Domestic,2
2026/07/01,苯乙烯,华东地区,连云港石化,,,7300,-100,-1.35%,元/吨,,Styrene_Domestic,2
2026/06/30,苯乙烯,华东地区,连云港石化,,,7400,150,2.07%,元/吨,,Styrene_Domestic,2
2026/06/29,苯乙烯,华东地区,连云港石化,,,7250,-150,-2.03%,元/吨,,Styrene_Domestic,2
2026/06/26,苯乙烯,华东地区,连云港石化,,,7400,0,0%,元/吨,,Styrene_Domestic,2
2026/06/25,苯乙烯,华东地区,连云港石化,,,7400,-300,-3.9%,元/吨,,Styrene_Domestic,2
2026/06/24,苯乙烯,华东地区,连云港石化,,,7700,-150,-1.91%,元/吨,,Styrene_Domestic,2
2026/06/23,苯乙烯,华东地区,连云港石化,,,7850,100,1.29%,元/吨,,Styrene_Domestic,2
2026/06/22,苯乙烯,华东地区,连云港石化,,,7750,-100,-1.27%,元/吨,,Styrene_Domestic,2
2026/06/18,苯乙烯,华东地区,连云港石化,,,7850,-50,-0.63%,元/吨,,Styrene_Domestic,2
2026/06/17,苯乙烯,华东地区,连云港石化,,,7900,-150,-1.86%,元/吨,,Styrene_Domestic,2
2026/06/16,苯乙烯,华东地区,连云港石化,,,8050,-150,-1.83%,元/吨,,Styrene_Domestic,2
2026/06/15,苯乙烯,华东地区,连云港石化,,,8200,-300,-3.53%,元/吨,,Styrene_Domestic,2
2026/06/12,苯乙烯,华东地区,连云港石化,,,8500,-100,-1.16%,元/吨,,Styrene_Domestic,2
2026/06/11,苯乙烯,华东地区,连云港石化,,,8600,-200,-2.27%,元/吨,,Styrene_Domestic,2
2026/06/10,苯乙烯,华东地区,连云港石化,,,8800,-50,-0.56%,元/吨,,Styrene_Domestic,2
2026/06/09,苯乙烯,华东地区,连云港石化,,,8850,50,0.57%,元/吨,,Styrene_Domestic,2
2026/06/08,苯乙烯,华东地区,连云港石化,,,8800,0,0%,元/吨,,Styrene_Domestic,2
2026/06/05,苯乙烯,华东地区,连云港石化,,,8800,-150,-1.68%,元/吨,,Styrene_Domestic,2
2026/06/04,苯乙烯,华东地区,连云港石化,,,8950,-50,-0.56%,元/吨,,Styrene_Domestic,2
2026/06/03,苯乙烯,华东地区,连云港石化,,,9000,200,2.27%,元/吨,,Styrene_Domestic,2
2026/06/02,苯乙烯,华东地区,连云港石化,,,8800,-200,-2.22%,元/吨,,Styrene_Domestic,2
2026/06/01,苯乙烯,华东地区,连云港石化,,,9000,100,1.12%,元/吨,,Styrene_Domestic,2
2026/05/29,苯乙烯,华东地区,连云港石化,,,8900,-150,-1.66%,元/吨,,Styrene_Domestic,2
2026/05/28,苯乙烯,华东地区,连云港石化,,,9050,0,0%,元/吨,,Styrene_Domestic,2
