数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/15,苯乙烯,东北地区,锦西石化,,,8370,0,0%,元/吨,,Styrene_Domestic,2
2026/07/14,苯乙烯,东北地区,锦西石化,,,8370,200,2.45%,元/吨,,Styrene_Domestic,2
2026/07/13,苯乙烯,东北地区,锦西石化,,,8170,350,4.48%,元/吨,,Styrene_Domestic,2
2026/07/10,苯乙烯,东北地区,锦西石化,,,7820,150,1.96%,元/吨,,Styrene_Domestic,2
2026/07/09,苯乙烯,东北地区,锦西石化,,,7670,0,0%,元/吨,,Styrene_Domestic,2
2026/07/08,苯乙烯,东北地区,锦西石化,,,7670,400,5.5%,元/吨,,Styrene_Domestic,2
2026/07/07,苯乙烯,东北地区,锦西石化,,,7270,0,0%,元/吨,,Styrene_Domestic,2
2026/07/06,苯乙烯,东北地区,锦西石化,,,7270,100,1.39%,元/吨,,Styrene_Domestic,2
2026/07/03,苯乙烯,东北地区,锦西石化,,,7170,0,0%,元/吨,,Styrene_Domestic,2
2026/07/02,苯乙烯,东北地区,锦西石化,,,7170,0,0%,元/吨,,Styrene_Domestic,2
2026/07/01,苯乙烯,东北地区,锦西石化,,,7170,0,0%,元/吨,,Styrene_Domestic,2
2026/06/30,苯乙烯,东北地区,锦西石化,,,7170,0,0%,元/吨,,Styrene_Domestic,2
2026/06/29,苯乙烯,东北地区,锦西石化,,,7170,-200,-2.71%,元/吨,,Styrene_Domestic,2
2026/06/26,苯乙烯,东北地区,锦西石化,,,7370,0,0%,元/吨,,Styrene_Domestic,2
2026/06/25,苯乙烯,东北地区,锦西石化,,,7370,-300,-3.91%,元/吨,,Styrene_Domestic,2
2026/06/24,苯乙烯,东北地区,锦西石化,,,7670,0,0%,元/吨,,Styrene_Domestic,2
2026/06/23,苯乙烯,东北地区,锦西石化,,,7670,-50,-0.65%,元/吨,,Styrene_Domestic,2
2026/06/22,苯乙烯,东北地区,锦西石化,,,7720,0,0%,元/吨,,Styrene_Domestic,2
2026/06/18,苯乙烯,东北地区,锦西石化,,,7720,0,0%,元/吨,,Styrene_Domestic,2
2026/06/17,苯乙烯,东北地区,锦西石化,,,7720,-400,-4.93%,元/吨,,Styrene_Domestic,2
2026/06/16,苯乙烯,东北地区,锦西石化,,,8120,0,0%,元/吨,,Styrene_Domestic,2
2026/06/15,苯乙烯,东北地区,锦西石化,,,8120,-300,-3.56%,元/吨,,Styrene_Domestic,2
2026/06/12,苯乙烯,东北地区,锦西石化,,,8420,-150,-1.75%,元/吨,,Styrene_Domestic,2
2026/06/11,苯乙烯,东北地区,锦西石化,,,8570,0,0%,元/吨,,Styrene_Domestic,2
2026/06/10,苯乙烯,东北地区,锦西石化,,,8570,-50,-0.58%,元/吨,,Styrene_Domestic,2
2026/06/09,苯乙烯,东北地区,锦西石化,,,8620,0,0%,元/吨,,Styrene_Domestic,2
2026/06/08,苯乙烯,东北地区,锦西石化,,,8620,0,0%,元/吨,,Styrene_Domestic,2
2026/06/05,苯乙烯,东北地区,锦西石化,,,8620,-100,-1.15%,元/吨,,Styrene_Domestic,2
2026/06/04,苯乙烯,东北地区,锦西石化,,,8720,-50,-0.57%,元/吨,,Styrene_Domestic,2
2026/06/03,苯乙烯,东北地区,锦西石化,,,8770,0,0%,元/吨,,Styrene_Domestic,2
2026/06/02,苯乙烯,东北地区,锦西石化,,,8770,0,0%,元/吨,,Styrene_Domestic,2
2026/06/01,苯乙烯,东北地区,锦西石化,,,8770,0,0%,元/吨,,Styrene_Domestic,2
2026/05/29,苯乙烯,东北地区,锦西石化,,,8770,0,0%,元/吨,,Styrene_Domestic,2
2026/05/28,苯乙烯,东北地区,锦西石化,,,8770,-250,-2.77%,元/吨,,Styrene_Domestic,2
2026/05/27,苯乙烯,东北地区,锦西石化,,,9020,0,0%,元/吨,,Styrene_Domestic,2
2026/05/26,苯乙烯,东北地区,锦西石化,,,9020,-200,-2.17%,元/吨,,Styrene_Domestic,2
2026/05/25,苯乙烯,东北地区,锦西石化,,,9220,-100,-1.07%,元/吨,,Styrene_Domestic,2
2026/05/22,苯乙烯,东北地区,锦西石化,,,9320,-100,-1.06%,元/吨,,Styrene_Domestic,2
2026/05/21,苯乙烯,东北地区,锦西石化,,,9420,0,0%,元/吨,,Styrene_Domestic,2
2026/05/20,苯乙烯,东北地区,锦西石化,,,9420,0,0%,元/吨,,Styrene_Domestic,2
2026/05/19,苯乙烯,东北地区,锦西石化,,,9420,0,0%,元/吨,,Styrene_Domestic,2
