数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/21,苯乙烯,山东省,青岛炼化,,,,,,元/吨,议价中,Styrene_Domestic,2
2026/07/20,苯乙烯,山东省,青岛炼化,,,9130,300,3.4%,元/吨,短途送到,Styrene_Domestic,2
2026/07/17,苯乙烯,山东省,青岛炼化,,,8830,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/07/16,苯乙烯,山东省,青岛炼化,,,8830,300,3.52%,元/吨,短途送到,Styrene_Domestic,2
2026/07/15,苯乙烯,山东省,青岛炼化,,,8530,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/07/14,苯乙烯,山东省,青岛炼化,,,8530,200,2.4%,元/吨,短途送到,Styrene_Domestic,2
2026/07/13,苯乙烯,山东省,青岛炼化,,,8330,350,4.39%,元/吨,短途送到,Styrene_Domestic,2
2026/07/10,苯乙烯,山东省,青岛炼化,,,7980,150,1.92%,元/吨,短途送到,Styrene_Domestic,2
2026/07/09,苯乙烯,山东省,青岛炼化,,,7830,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/07/08,苯乙烯,山东省,青岛炼化,,,7830,400,5.38%,元/吨,短途送到,Styrene_Domestic,2
2026/07/07,苯乙烯,山东省,青岛炼化,,,7430,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/07/06,苯乙烯,山东省,青岛炼化,,,7430,100,1.36%,元/吨,短途送到,Styrene_Domestic,2
2026/07/03,苯乙烯,山东省,青岛炼化,,,7330,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/07/02,苯乙烯,山东省,青岛炼化,,,7330,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/07/01,苯乙烯,山东省,青岛炼化,,,7330,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/30,苯乙烯,山东省,青岛炼化,,,7330,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/29,苯乙烯,山东省,青岛炼化,,,7330,-200,-2.66%,元/吨,短途送到,Styrene_Domestic,2
2026/06/26,苯乙烯,山东省,青岛炼化,,,7530,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/25,苯乙烯,山东省,青岛炼化,,,7530,-300,-3.83%,元/吨,短途送到,Styrene_Domestic,2
2026/06/24,苯乙烯,山东省,青岛炼化,,,7830,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/23,苯乙烯,山东省,青岛炼化,,,7830,-50,-0.63%,元/吨,短途送到,Styrene_Domestic,2
2026/06/22,苯乙烯,山东省,青岛炼化,,,7880,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/18,苯乙烯,山东省,青岛炼化,,,7880,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/17,苯乙烯,山东省,青岛炼化,,,7880,-400,-4.83%,元/吨,短途送到,Styrene_Domestic,2
2026/06/16,苯乙烯,山东省,青岛炼化,,,8280,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/15,苯乙烯,山东省,青岛炼化,,,8280,-300,-3.5%,元/吨,短途送到,Styrene_Domestic,2
2026/06/12,苯乙烯,山东省,青岛炼化,,,8580,-150,-1.72%,元/吨,短途送到,Styrene_Domestic,2
2026/06/11,苯乙烯,山东省,青岛炼化,,,8730,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/10,苯乙烯,山东省,青岛炼化,,,8730,-50,-0.57%,元/吨,短途送到,Styrene_Domestic,2
2026/06/09,苯乙烯,山东省,青岛炼化,,,8780,50,0.57%,元/吨,短途送到,Styrene_Domestic,2
2026/06/08,苯乙烯,山东省,青岛炼化,,,8730,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/05,苯乙烯,山东省,青岛炼化,,,8730,-150,-1.69%,元/吨,短途送到,Styrene_Domestic,2
2026/06/04,苯乙烯,山东省,青岛炼化,,,8880,-50,-0.56%,元/吨,短途送到,Styrene_Domestic,2
2026/06/03,苯乙烯,山东省,青岛炼化,,,8930,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/02,苯乙烯,山东省,青岛炼化,,,8930,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/06/01,苯乙烯,山东省,青岛炼化,,,8930,0,0%,元/吨,短途送到,Styrene_Domestic,2
2026/05/29,苯乙烯,山东省,青岛炼化,,,8930,0,0%,元/吨,短途送到,Styrene_Domestic,2
