数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/15,甲苯,华东地区,宁波,6450,6550,6475,0,0%,元/吨,,Toluene_Domestic,3
2026/07/14,甲苯,华东地区,宁波,6450,6550,6475,200,3.19%,元/吨,,Toluene_Domestic,3
2026/07/13,甲苯,华东地区,宁波,6250,6300,6275,0,0%,元/吨,,Toluene_Domestic,3
2026/07/10,甲苯,华东地区,宁波,6250,6300,6275,0,0%,元/吨,,Toluene_Domestic,3
2026/07/09,甲苯,华东地区,宁波,6250,6300,6275,175,2.87%,元/吨,,Toluene_Domestic,3
2026/07/08,甲苯,华东地区,宁波,6100,6100,6100,0,0%,元/吨,,Toluene_Domestic,3
2026/07/07,甲苯,华东地区,宁波,6100,6100,6100,0,0%,元/吨,,Toluene_Domestic,3
2026/07/06,甲苯,华东地区,宁波,6100,6100,6100,0,0%,元/吨,,Toluene_Domestic,3
2026/07/03,甲苯,华东地区,宁波,6100,6100,6100,0,0%,元/吨,,Toluene_Domestic,3
2026/07/02,甲苯,华东地区,宁波,6100,6100,6100,0,0%,元/吨,,Toluene_Domestic,3
2026/07/01,甲苯,华东地区,宁波,6100,6100,6100,0,0%,元/吨,,Toluene_Domestic,3
2026/06/30,甲苯,华东地区,宁波,6100,6100,6100,0,0%,元/吨,,Toluene_Domestic,3
2026/06/29,甲苯,华东地区,宁波,6100,6100,6100,0,0%,元/吨,,Toluene_Domestic,3
2026/06/26,甲苯,华东地区,宁波,6100,6100,6100,-400,-6.15%,元/吨,,Toluene_Domestic,3
2026/06/25,甲苯,华东地区,宁波,6500,6500,6500,0,0%,元/吨,,Toluene_Domestic,3
2026/06/24,甲苯,华东地区,宁波,6500,6500,6500,0,0%,元/吨,,Toluene_Domestic,3
2026/06/23,甲苯,华东地区,宁波,6500,6500,6500,0,0%,元/吨,,Toluene_Domestic,3
2026/06/22,甲苯,华东地区,宁波,6500,6500,6500,0,0%,元/吨,,Toluene_Domestic,3
2026/06/18,甲苯,华东地区,宁波,6500,6500,6500,0,0%,元/吨,,Toluene_Domestic,3
2026/06/17,甲苯,华东地区,宁波,6500,6500,6500,-225,-3.35%,元/吨,,Toluene_Domestic,3
2026/06/16,甲苯,华东地区,宁波,6700,6750,6725,0,0%,元/吨,,Toluene_Domestic,3
2026/06/15,甲苯,华东地区,宁波,6700,6750,6725,-200,-2.89%,元/吨,,Toluene_Domestic,3
2026/06/12,甲苯,华东地区,宁波,6900,6950,6925,0,0%,元/吨,,Toluene_Domestic,3
2026/06/11,甲苯,华东地区,宁波,6900,6950,6925,0,0%,元/吨,,Toluene_Domestic,3
