数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/17,甲苯,华北地区,山东,6370,6573,6471,0,0%,元/吨,,Toluene_Domestic,3
2026/07/16,甲苯,华北地区,山东,6370,6573,6471,40,0.62%,元/吨,,Toluene_Domestic,3
2026/07/15,甲苯,华北地区,山东,6350,6513,6431,261,4.23%,元/吨,,Toluene_Domestic,3
2026/07/14,甲苯,华北地区,山东,6100,6240,6170,135,2.24%,元/吨,,Toluene_Domestic,3
2026/07/13,甲苯,华北地区,山东,5950,6120,6035,60,1%,元/吨,,Toluene_Domestic,3
2026/07/10,甲苯,华北地区,山东,5900,6050,5975,-25,-0.42%,元/吨,,Toluene_Domestic,3
2026/07/09,甲苯,华北地区,山东,5930,6070,6000,84,1.42%,元/吨,,Toluene_Domestic,3
2026/07/08,甲苯,华北地区,山东,5800,6033,5916,156,2.71%,元/吨,,Toluene_Domestic,3
2026/07/07,甲苯,华北地区,山东,5690,5830,5760,39,0.68%,元/吨,,Toluene_Domestic,3
2026/07/06,甲苯,华北地区,山东,5650,5793,5721,35,0.62%,元/吨,,Toluene_Domestic,3
2026/07/03,甲苯,华北地区,山东,5640,5733,5686,-5,-0.09%,元/吨,,Toluene_Domestic,3
2026/07/02,甲苯,华北地区,山东,5650,5733,5691,-65,-1.13%,元/吨,,Toluene_Domestic,3
2026/07/01,甲苯,华北地区,山东,5703,5810,5756,20,0.35%,元/吨,,Toluene_Domestic,3
2026/06/30,甲苯,华北地区,山东,5700,5773,5736,5,0.09%,元/吨,,Toluene_Domestic,3
2026/06/29,甲苯,华北地区,山东,5700,5763,5731,-69,-1.19%,元/吨,,Toluene_Domestic,3
2026/06/26,甲苯,华北地区,山东,5750,5850,5800,-76,-1.29%,元/吨,,Toluene_Domestic,3
2026/06/25,甲苯,华北地区,山东,5850,5903,5876,-200,-3.29%,元/吨,,Toluene_Domestic,3
2026/06/24,甲苯,华北地区,山东,6050,6103,6076,-35,-0.57%,元/吨,,Toluene_Domestic,3
2026/06/23,甲苯,华北地区,山东,6100,6123,6111,-19,-0.31%,元/吨,,Toluene_Domestic,3
2026/06/22,甲苯,华北地区,山东,6100,6160,6130,-45,-0.73%,元/吨,,Toluene_Domestic,3
2026/06/18,甲苯,华北地区,山东,6100,6250,6175,-25,-0.4%,元/吨,,Toluene_Domestic,3
2026/06/17,甲苯,华北地区,山东,6150,6250,6200,-175,-2.75%,元/吨,,Toluene_Domestic,3
2026/06/16,甲苯,华北地区,山东,6350,6400,6375,-125,-1.92%,元/吨,,Toluene_Domestic,3
2026/06/15,甲苯,华北地区,山东,6450,6550,6500,-190,-2.84%,元/吨,,Toluene_Domestic,3
2026/06/12,甲苯,华北地区,山东,6630,6750,6690,-5,-0.07%,元/吨,,Toluene_Domestic,3
2026/06/11,甲苯,华北地区,山东,6610,6780,6695,15,0.22%,元/吨,,Toluene_Domestic,3
2026/06/10,甲苯,华北地区,山东,6600,6760,6680,-5,-0.07%,元/吨,,Toluene_Domestic,3
2026/06/09,甲苯,华北地区,山东,6600,6770,6685,-10,-0.15%,元/吨,,Toluene_Domestic,3
2026/06/08,甲苯,华北地区,山东,6600,6790,6695,20,0.3%,元/吨,,Toluene_Domestic,3
