数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/10,甲苯,华东地区,张家港,6200,6240,6220,-30,-0.48%,元/吨,,Toluene_Domestic,3
2026/07/09,甲苯,华东地区,张家港,6200,6300,6250,125,2.04%,元/吨,,Toluene_Domestic,3
2026/07/08,甲苯,华东地区,张家港,6110,6140,6125,95,1.58%,元/吨,,Toluene_Domestic,3
2026/07/07,甲苯,华东地区,张家港,6030,6030,6030,-30,-0.5%,元/吨,,Toluene_Domestic,3
2026/07/06,甲苯,华东地区,张家港,6050,6070,6060,15,0.25%,元/吨,,Toluene_Domestic,3
2026/07/03,甲苯,华东地区,张家港,6020,6070,6045,20,0.33%,元/吨,,Toluene_Domestic,3
2026/07/02,甲苯,华东地区,张家港,6000,6050,6025,-60,-0.99%,元/吨,,Toluene_Domestic,3
2026/07/01,甲苯,华东地区,张家港,6070,6100,6085,35,0.58%,元/吨,,Toluene_Domestic,3
2026/06/30,甲苯,华东地区,张家港,6030,6070,6050,40,0.67%,元/吨,,Toluene_Domestic,3
2026/06/29,甲苯,华东地区,张家港,6000,6020,6010,60,1.01%,元/吨,,Toluene_Domestic,3
2026/06/26,甲苯,华东地区,张家港,5950,5950,5950,-25,-0.42%,元/吨,,Toluene_Domestic,3
2026/06/25,甲苯,华东地区,张家港,5950,6000,5975,-290,-4.63%,元/吨,,Toluene_Domestic,3
2026/06/24,甲苯,华东地区,张家港,6200,6330,6265,-150,-2.34%,元/吨,,Toluene_Domestic,3
2026/06/23,甲苯,华东地区,张家港,6400,6430,6415,5,0.08%,元/吨,,Toluene_Domestic,3
2026/06/22,甲苯,华东地区,张家港,6390,6430,6410,-15,-0.23%,元/吨,,Toluene_Domestic,3
2026/06/18,甲苯,华东地区,张家港,6410,6440,6425,0,0%,元/吨,,Toluene_Domestic,3
2026/06/17,甲苯,华东地区,张家港,6400,6450,6425,-125,-1.91%,元/吨,,Toluene_Domestic,3
2026/06/16,甲苯,华东地区,张家港,6540,6560,6550,-35,-0.53%,元/吨,,Toluene_Domestic,3
2026/06/15,甲苯,华东地区,张家港,6570,6600,6585,-255,-3.73%,元/吨,,Toluene_Domestic,3
2026/06/12,甲苯,华东地区,张家港,6830,6850,6840,-25,-0.36%,元/吨,,Toluene_Domestic,3
2026/06/11,甲苯,华东地区,张家港,6860,6870,6865,-5,-0.07%,元/吨,,Toluene_Domestic,3
2026/06/10,甲苯,华东地区,张家港,6860,6880,6870,-20,-0.29%,元/吨,,Toluene_Domestic,3
2026/06/09,甲苯,华东地区,张家港,6870,6910,6890,-50,-0.72%,元/吨,,Toluene_Domestic,3
2026/06/08,甲苯,华东地区,张家港,6930,6950,6940,40,0.58%,元/吨,,Toluene_Domestic,3
2026/06/05,甲苯,华东地区,张家港,6890,6910,6900,-10,-0.14%,元/吨,,Toluene_Domestic,3
2026/06/04,甲苯,华东地区,张家港,6900,6920,6910,-15,-0.22%,元/吨,,Toluene_Domestic,3
2026/06/03,甲苯,华东地区,张家港,6920,6930,6925,75,1.09%,元/吨,,Toluene_Domestic,3
2026/06/02,甲苯,华东地区,张家港,6850,6850,6850,0,0%,元/吨,,Toluene_Domestic,3
2026/06/01,甲苯,华东地区,张家港,6850,6850,6850,0,0%,元/吨,,Toluene_Domestic,3
2026/05/29,甲苯,华东地区,张家港,6850,6850,6850,-80,-1.15%,元/吨,,Toluene_Domestic,3
2026/05/28,甲苯,华东地区,张家港,6910,6950,6930,-35,-0.5%,元/吨,,Toluene_Domestic,3
2026/05/27,甲苯,华东地区,张家港,6920,7010,6965,-60,-0.85%,元/吨,,Toluene_Domestic,3
2026/05/26,甲苯,华东地区,张家港,7000,7050,7025,-30,-0.43%,元/吨,,Toluene_Domestic,3
2026/05/25,甲苯,华东地区,张家港,6990,7120,7055,-155,-2.15%,元/吨,,Toluene_Domestic,3
2026/05/22,甲苯,华东地区,张家港,7190,7230,7210,-80,-1.1%,元/吨,,Toluene_Domestic,3
2026/05/21,甲苯,华东地区,张家港,7280,7300,7290,15,0.21%,元/吨,现汇自提,Toluene_Domestic,3
2026/05/20,甲苯,华东地区,张家港,7250,7300,7275,78,1.08%,元/吨,现汇自提,Toluene_Domestic,3
2026/05/19,甲苯,华东地区,张家港,7195,7200,7197,-113,-1.55%,元/吨,现汇自提,Toluene_Domestic,3
2026/05/18,甲苯,华东地区,张家港,7280,7340,7310,105,1.46%,元/吨,现汇自提,Toluene_Domestic,3
2026/05/15,甲苯,华东地区,张家港,7200,7210,7205,40,0.56%,元/吨,现汇自提,Toluene_Domestic,3
2026/05/14,甲苯,华东地区,张家港,7140,7190,7165,15,0.21%,元/吨,现汇自提,Toluene_Domestic,3
2026/05/13,甲苯,华东地区,张家港,7120,7180,7150,90,1.27%,元/吨,现汇自提,Toluene_Domestic,3
2026/05/12,甲苯,华东地区,张家港,7020,7100,7060,75,1.07%,元/吨,现汇自提,Toluene_Domestic,3
2026/05/11,甲苯,华东地区,张家港,6920,7050,6985,145,2.12%,元/吨,现汇自提,Toluene_Domestic,3
2026/05/09,甲苯,华东地区,张家港,6830,6850,6840,0,0%,元/吨,现汇自提,Toluene_Domestic,3
2026/05/08,甲苯,华东地区,张家港,6820,6860,6840,-140,-2.01%,元/吨,现汇自提,Toluene_Domestic,3
2026/05/07,甲苯,华东地区,张家港,6930,7030,6980,-250,-3.46%,元/吨,现汇自提,Toluene_Domestic,3
2026/05/06,甲苯,华东地区,张家港,7200,7260,7230,-170,-2.3%,元/吨,现汇自提,Toluene_Domestic,3
2026/04/30,甲苯,华东地区,张家港,7380,7420,7400,75,1.02%,元/吨,现汇自提,Toluene_Domestic,3
2026/04/29,甲苯,华东地区,张家港,7300,7350,7325,-25,-0.34%,元/吨,现汇自提,Toluene_Domestic,3
2026/04/28,甲苯,华东地区,张家港,7250,7450,7350,135,1.87%,元/吨,现汇自提,Toluene_Domestic,3
2026/04/27,甲苯,华东地区,张家港,7200,7230,7215,195,2.78%,元/吨,现汇自提,Toluene_Domestic,3
2026/04/24,甲苯,华东地区,张家港,6980,7060,7020,95,1.37%,元/吨,现汇自提,Toluene_Domestic,3
2026/04/23,甲苯,华东地区,张家港,6850,7000,6925,130,1.91%,元/吨,现汇自提,Toluene_Domestic,3
2026/04/22,甲苯,华东地区,张家港,6770,6820,6795,-100,-1.45%,元/吨,现汇自提,Toluene_Domestic,3
2026/04/21,甲苯,华东地区,张家港,6870,6920,6895,10,0.15%,元/吨,现汇自提,Toluene_Domestic,3
