数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/08,甲苯,华中地区,武汉,5800,6000,5900,0,0%,元/吨,,Toluene_Domestic,3
2026/07/07,甲苯,华中地区,武汉,5800,6000,5900,0,0%,元/吨,,Toluene_Domestic,3
2026/07/06,甲苯,华中地区,武汉,5800,6000,5900,-50,-0.84%,元/吨,,Toluene_Domestic,3
2026/07/03,甲苯,华中地区,武汉,5850,6050,5950,0,0%,元/吨,,Toluene_Domestic,3
2026/07/02,甲苯,华中地区,武汉,5850,6050,5950,0,0%,元/吨,,Toluene_Domestic,3
2026/07/01,甲苯,华中地区,武汉,5850,6050,5950,50,0.85%,元/吨,,Toluene_Domestic,3
2026/06/30,甲苯,华中地区,武汉,5800,6000,5900,50,0.85%,元/吨,,Toluene_Domestic,3
2026/06/29,甲苯,华中地区,武汉,5750,5950,5850,-150,-2.5%,元/吨,,Toluene_Domestic,3
2026/06/26,甲苯,华中地区,武汉,5900,6100,6000,-50,-0.83%,元/吨,,Toluene_Domestic,3
2026/06/25,甲苯,华中地区,武汉,5950,6150,6050,-100,-1.63%,元/吨,,Toluene_Domestic,3
2026/06/24,甲苯,华中地区,武汉,6050,6250,6150,0,0%,元/吨,,Toluene_Domestic,3
2026/06/23,甲苯,华中地区,武汉,6050,6250,6150,-50,-0.81%,元/吨,,Toluene_Domestic,3
2026/06/22,甲苯,华中地区,武汉,6100,6300,6200,-50,-0.8%,元/吨,,Toluene_Domestic,3
2026/06/18,甲苯,华中地区,武汉,6150,6350,6250,-100,-1.57%,元/吨,,Toluene_Domestic,3
2026/06/17,甲苯,华中地区,武汉,6250,6450,6350,-150,-2.31%,元/吨,,Toluene_Domestic,3
2026/06/16,甲苯,华中地区,武汉,6400,6600,6500,-50,-0.76%,元/吨,,Toluene_Domestic,3
2026/06/15,甲苯,华中地区,武汉,6450,6650,6550,-200,-2.96%,元/吨,,Toluene_Domestic,3
2026/06/12,甲苯,华中地区,武汉,6650,6850,6750,50,0.75%,元/吨,,Toluene_Domestic,3
2026/06/11,甲苯,华中地区,武汉,6600,6800,6700,0,0%,元/吨,,Toluene_Domestic,3
2026/06/10,甲苯,华中地区,武汉,6600,6800,6700,0,0%,元/吨,,Toluene_Domestic,3
2026/06/09,甲苯,华中地区,武汉,6600,6800,6700,0,0%,元/吨,,Toluene_Domestic,3
2026/06/08,甲苯,华中地区,武汉,6600,6800,6700,0,0%,元/吨,,Toluene_Domestic,3
2026/06/05,甲苯,华中地区,武汉,6600,6800,6700,0,0%,元/吨,,Toluene_Domestic,3
2026/06/04,甲苯,华中地区,武汉,6600,6800,6700,50,0.75%,元/吨,,Toluene_Domestic,3
2026/06/03,甲苯,华中地区,武汉,6550,6750,6650,100,1.53%,元/吨,,Toluene_Domestic,3
2026/06/02,甲苯,华中地区,武汉,6450,6650,6550,0,0%,元/吨,,Toluene_Domestic,3
2026/06/01,甲苯,华中地区,武汉,6450,6650,6550,-150,-2.24%,元/吨,,Toluene_Domestic,3
2026/05/29,甲苯,华中地区,武汉,6600,6800,6700,-50,-0.74%,元/吨,,Toluene_Domestic,3
2026/05/28,甲苯,华中地区,武汉,6650,6850,6750,-100,-1.46%,元/吨,,Toluene_Domestic,3
2026/05/27,甲苯,华中地区,武汉,6750,6950,6850,-200,-2.84%,元/吨,,Toluene_Domestic,3
