数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/09,醋酸乙烯,华中地区,华中,5600,5650,5625,-75,-1.32%,元/吨,,VAM_Domestic,3
2026/07/08,醋酸乙烯,华中地区,华中,5650,5750,5700,-50,-0.87%,元/吨,,VAM_Domestic,3
2026/07/07,醋酸乙烯,华中地区,华中,5700,5800,5750,-100,-1.71%,元/吨,,VAM_Domestic,3
2026/07/06,醋酸乙烯,华中地区,华中,5800,5900,5850,0,0%,元/吨,,VAM_Domestic,3
2026/07/03,醋酸乙烯,华中地区,华中,5800,5900,5850,-100,-1.68%,元/吨,,VAM_Domestic,3
2026/07/02,醋酸乙烯,华中地区,华中,5900,6000,5950,0,0%,元/吨,,VAM_Domestic,3
2026/07/01,醋酸乙烯,华中地区,华中,5900,6000,5950,0,0%,元/吨,,VAM_Domestic,3
2026/06/30,醋酸乙烯,华中地区,华中,5900,6000,5950,-100,-1.65%,元/吨,,VAM_Domestic,3
2026/06/29,醋酸乙烯,华中地区,华中,6000,6100,6050,0,0%,元/吨,,VAM_Domestic,3
2026/06/26,醋酸乙烯,华中地区,华中,6000,6100,6050,0,0%,元/吨,,VAM_Domestic,3
2026/06/25,醋酸乙烯,华中地区,华中,6000,6100,6050,0,0%,元/吨,,VAM_Domestic,3
2026/06/24,醋酸乙烯,华中地区,华中,6000,6100,6050,-100,-1.63%,元/吨,,VAM_Domestic,3
2026/06/23,醋酸乙烯,华中地区,华中,6000,6300,6150,0,0%,元/吨,,VAM_Domestic,3
2026/06/22,醋酸乙烯,华中地区,华中,6000,6300,6150,0,0%,元/吨,,VAM_Domestic,3
2026/06/18,醋酸乙烯,华中地区,华中,6000,6300,6150,0,0%,元/吨,,VAM_Domestic,3
2026/06/17,醋酸乙烯,华中地区,华中,6000,6300,6150,0,0%,元/吨,,VAM_Domestic,3
2026/06/16,醋酸乙烯,华中地区,华中,6000,6300,6150,0,0%,元/吨,,VAM_Domestic,3
2026/06/15,醋酸乙烯,华中地区,华中,6000,6300,6150,0,0%,元/吨,,VAM_Domestic,3
2026/06/12,醋酸乙烯,华中地区,华中,6000,6300,6150,0,0%,元/吨,,VAM_Domestic,3
2026/06/11,醋酸乙烯,华中地区,华中,6000,6300,6150,0,0%,元/吨,,VAM_Domestic,3
2026/06/10,醋酸乙烯,华中地区,华中,6000,6300,6150,150,2.5%,元/吨,,VAM_Domestic,3
2026/06/09,醋酸乙烯,华中地区,华中,6000,6000,6000,0,0%,元/吨,,VAM_Domestic,3
