数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/02,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/07/01,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/30,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/29,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/26,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/25,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/24,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/23,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/22,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/18,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/17,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/16,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/15,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/12,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/11,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/10,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/09,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/08,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/05,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/04,醋酸乙烯,华北地区,华北,5600,5800,5700,0,0%,元/吨,,VAM_Domestic,3
2026/06/03,醋酸乙烯,华北地区,华北,5600,5800,5700,-350,-5.79%,元/吨,,VAM_Domestic,3
2026/06/02,醋酸乙烯,华北地区,华北,5900,6200,6050,0,0%,元/吨,,VAM_Domestic,3
2026/06/01,醋酸乙烯,华北地区,华北,5900,6200,6050,0,0%,元/吨,,VAM_Domestic,3
2026/05/29,醋酸乙烯,华北地区,华北,5900,6200,6050,-100,-1.63%,元/吨,,VAM_Domestic,3
2026/05/28,醋酸乙烯,华北地区,华北,6000,6300,6150,0,0%,元/吨,,VAM_Domestic,3
2026/05/27,醋酸乙烯,华北地区,华北,6000,6300,6150,-550,-8.21%,元/吨,,VAM_Domestic,3
2026/05/26,醋酸乙烯,华北地区,华北,6600,6800,6700,0,0%,元/吨,,VAM_Domestic,3
2026/05/25,醋酸乙烯,华北地区,华北,6600,6800,6700,-200,-2.9%,元/吨,,VAM_Domestic,3
2026/05/22,醋酸乙烯,华北地区,华北,6800,7000,6900,0,0%,元/吨,,VAM_Domestic,3
2026/05/21,醋酸乙烯,华北地区,华北,6800,7000,6900,0,0%,元/吨,,VAM_Domestic,3
2026/05/20,醋酸乙烯,华北地区,华北,6800,7000,6900,0,0%,元/吨,,VAM_Domestic,3
2026/05/19,醋酸乙烯,华北地区,华北,6800,7000,6900,0,0%,元/吨,,VAM_Domestic,3
2026/05/18,醋酸乙烯,华北地区,华北,6800,7000,6900,0,0%,元/吨,,VAM_Domestic,3
2026/05/15,醋酸乙烯,华北地区,华北,6800,7000,6900,-350,-4.83%,元/吨,,VAM_Domestic,3
2026/05/14,醋酸乙烯,华北地区,华北,7000,7500,7250,0,0%,元/吨,,VAM_Domestic,3
2026/05/13,醋酸乙烯,华北地区,华北,7000,7500,7250,-400,-5.23%,元/吨,,VAM_Domestic,3
2026/05/12,醋酸乙烯,华北地区,华北,7500,7800,7650,0,0%,元/吨,,VAM_Domestic,3
2026/05/11,醋酸乙烯,华北地区,华北,7500,7800,7650,-350,-4.38%,元/吨,,VAM_Domestic,3
2026/05/09,醋酸乙烯,华北地区,华北,8000,8000,8000,-300,-3.61%,元/吨,,VAM_Domestic,3
2026/05/08,醋酸乙烯,华北地区,华北,8200,8400,8300,-450,-5.14%,元/吨,,VAM_Domestic,3
2026/05/07,醋酸乙烯,华北地区,华北,8600,8900,8750,-500,-5.41%,元/吨,,VAM_Domestic,3
2026/05/06,醋酸乙烯,华北地区,华北,9000,9500,9250,-500,-5.13%,元/吨,,VAM_Domestic,3
2026/04/30,醋酸乙烯,华北地区,华北,9500,10000,9750,0,0%,元/吨,,VAM_Domestic,3
2026/04/29,醋酸乙烯,华北地区,华北,9500,10000,9750,-500,-4.88%,元/吨,,VAM_Domestic,3
2026/04/28,醋酸乙烯,华北地区,华北,10000,10500,10250,-400,-3.76%,元/吨,,VAM_Domestic,3
2026/04/27,醋酸乙烯,华北地区,华北,10500,10800,10650,-350,-3.18%,元/吨,,VAM_Domestic,3
2026/04/24,醋酸乙烯,华北地区,华北,11000,11000,11000,0,0%,元/吨,,VAM_Domestic,3
2026/04/23,醋酸乙烯,华北地区,华北,11000,11000,11000,-250,-2.22%,元/吨,,VAM_Domestic,3
2026/04/22,醋酸乙烯,华北地区,华北,11000,11500,11250,0,0%,元/吨,,VAM_Domestic,3
2026/04/21,醋酸乙烯,华北地区,华北,11000,11500,11250,-250,-2.17%,元/吨,,VAM_Domestic,3
2026/04/20,醋酸乙烯,华北地区,华北,11000,12000,11500,-250,-2.13%,元/吨,,VAM_Domestic,3
2026/04/17,醋酸乙烯,华北地区,华北,11500,12000,11750,0,0%,元/吨,,VAM_Domestic,3
2026/04/16,醋酸乙烯,华北地区,华北,11500,12000,11750,0,0%,元/吨,,VAM_Domestic,3
2026/04/15,醋酸乙烯,华北地区,华北,11500,12000,11750,0,0%,元/吨,,VAM_Domestic,3
2026/04/14,醋酸乙烯,华北地区,华北,11500,12000,11750,0,0%,元/吨,,VAM_Domestic,3
2026/04/13,醋酸乙烯,华北地区,华北,11500,12000,11750,0,0%,元/吨,,VAM_Domestic,3
2026/04/10,醋酸乙烯,华北地区,华北,11500,12000,11750,0,0%,元/吨,,VAM_Domestic,3
2026/04/09,醋酸乙烯,华北地区,华北,11500,12000,11750,0,0%,元/吨,,VAM_Domestic,3
2026/04/08,醋酸乙烯,华北地区,华北,11500,12000,11750,0,0%,元/吨,,VAM_Domestic,3
2026/04/07,醋酸乙烯,华北地区,华北,11500,12000,11750,0,0%,元/吨,,VAM_Domestic,3
2026/04/03,醋酸乙烯,华北地区,华北,11500,12000,11750,500,4.44%,元/吨,,VAM_Domestic,3
2026/04/02,醋酸乙烯,华北地区,华北,11000,11500,11250,0,0%,元/吨,,VAM_Domestic,3
2026/04/01,醋酸乙烯,华北地区,华北,11000,11500,11250,500,4.65%,元/吨,,VAM_Domestic,3
2026/03/31,醋酸乙烯,华北地区,华北,10500,11000,10750,500,4.88%,元/吨,,VAM_Domestic,3
2026/03/30,醋酸乙烯,华北地区,华北,10000,10500,10250,0,0%,元/吨,,VAM_Domestic,3
2026/03/27,醋酸乙烯,华北地区,华北,10000,10500,10250,0,0%,元/吨,,VAM_Domestic,3
2026/03/26,醋酸乙烯,华北地区,华北,10000,10500,10250,0,0%,元/吨,,VAM_Domestic,3
