数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/24,二甲苯,华东地区,宁波,6890,6900,6895,110,1.62%,元/吨,,Xylene_Domestic,3
2026/07/23,二甲苯,华东地区,宁波,6750,6820,6785,120,1.8%,元/吨,,Xylene_Domestic,3
2026/07/22,二甲苯,华东地区,宁波,6630,6700,6665,105,1.6%,元/吨,,Xylene_Domestic,3
2026/07/21,二甲苯,华东地区,宁波,6520,6600,6560,-70,-1.06%,元/吨,,Xylene_Domestic,3
2026/07/20,二甲苯,华东地区,宁波,6610,6650,6630,305,4.82%,元/吨,,Xylene_Domestic,3
2026/07/17,二甲苯,华东地区,宁波,6300,6350,6325,-40,-0.63%,元/吨,,Xylene_Domestic,3
2026/07/16,二甲苯,华东地区,宁波,6350,6380,6365,5,0.08%,元/吨,,Xylene_Domestic,3
2026/07/15,二甲苯,华东地区,宁波,6350,6370,6360,25,0.39%,元/吨,,Xylene_Domestic,3
2026/07/14,二甲苯,华东地区,宁波,6300,6370,6335,215,3.51%,元/吨,,Xylene_Domestic,3
2026/07/13,二甲苯,华东地区,宁波,6100,6140,6120,80,1.32%,元/吨,,Xylene_Domestic,3
2026/07/10,二甲苯,华东地区,宁波,6010,6070,6040,-45,-0.74%,元/吨,,Xylene_Domestic,3
2026/07/09,二甲苯,华东地区,宁波,6050,6120,6085,110,1.84%,元/吨,,Xylene_Domestic,3
2026/07/08,二甲苯,华东地区,宁波,5950,6000,5975,150,2.58%,元/吨,,Xylene_Domestic,3
2026/07/07,二甲苯,华东地区,宁波,5810,5840,5825,-10,-0.17%,元/吨,,Xylene_Domestic,3
2026/07/06,二甲苯,华东地区,宁波,5820,5850,5835,15,0.26%,元/吨,,Xylene_Domestic,3
2026/07/03,二甲苯,华东地区,宁波,5790,5850,5820,45,0.78%,元/吨,,Xylene_Domestic,3
2026/07/02,二甲苯,华东地区,宁波,5750,5800,5775,-135,-2.28%,元/吨,,Xylene_Domestic,3
2026/07/01,二甲苯,华东地区,宁波,5880,5940,5910,-70,-1.17%,元/吨,,Xylene_Domestic,3
