数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/21,二甲苯,华北地区,山东,6650,6800,6725,0,0%,元/吨,,Xylene_Domestic,3
2026/07/20,二甲苯,华北地区,山东,6650,6800,6725,445,7.09%,元/吨,,Xylene_Domestic,3
2026/07/17,二甲苯,华北地区,山东,6260,6300,6280,5,0.08%,元/吨,,Xylene_Domestic,3
2026/07/16,二甲苯,华北地区,山东,6250,6300,6275,-25,-0.4%,元/吨,,Xylene_Domestic,3
2026/07/15,二甲苯,华北地区,山东,6250,6350,6300,80,1.29%,元/吨,,Xylene_Domestic,3
2026/07/14,二甲苯,华北地区,山东,6170,6270,6220,260,4.36%,元/吨,,Xylene_Domestic,3
2026/07/13,二甲苯,华北地区,山东,5940,5980,5960,60,1.02%,元/吨,,Xylene_Domestic,3
2026/07/10,二甲苯,华北地区,山东,5850,5950,5900,-30,-0.51%,元/吨,,Xylene_Domestic,3
2026/07/09,二甲苯,华北地区,山东,5850,6010,5930,165,2.86%,元/吨,,Xylene_Domestic,3
2026/07/08,二甲苯,华北地区,山东,5670,5860,5765,130,2.31%,元/吨,,Xylene_Domestic,3
2026/07/07,二甲苯,华北地区,山东,5570,5700,5635,-25,-0.44%,元/吨,,Xylene_Domestic,3
2026/07/06,二甲苯,华北地区,山东,5620,5700,5660,5,0.09%,元/吨,,Xylene_Domestic,3
2026/07/03,二甲苯,华北地区,山东,5630,5680,5655,-70,-1.22%,元/吨,,Xylene_Domestic,3
2026/07/02,二甲苯,华北地区,山东,5680,5770,5725,-60,-1.04%,元/吨,,Xylene_Domestic,3
2026/07/01,二甲苯,华北地区,山东,5770,5800,5785,-5,-0.09%,元/吨,,Xylene_Domestic,3
2026/06/30,二甲苯,华北地区,山东,5750,5830,5790,0,0%,元/吨,,Xylene_Domestic,3
2026/06/29,二甲苯,华北地区,山东,5730,5850,5790,-85,-1.45%,元/吨,,Xylene_Domestic,3
2026/06/26,二甲苯,华北地区,山东,5850,5900,5875,-100,-1.67%,元/吨,,Xylene_Domestic,3
2026/06/25,二甲苯,华北地区,山东,5850,6100,5975,-165,-2.69%,元/吨,,Xylene_Domestic,3
2026/06/24,二甲苯,华北地区,山东,6100,6180,6140,-60,-0.97%,元/吨,,Xylene_Domestic,3
2026/06/23,二甲苯,华北地区,山东,6150,6250,6200,-25,-0.4%,元/吨,,Xylene_Domestic,3
2026/06/22,二甲苯,华北地区,山东,6200,6250,6225,75,1.22%,元/吨,,Xylene_Domestic,3
2026/06/18,二甲苯,华北地区,山东,6100,6200,6150,-50,-0.81%,元/吨,,Xylene_Domestic,3
2026/06/17,二甲苯,华北地区,山东,6150,6250,6200,-250,-3.88%,元/吨,,Xylene_Domestic,3
2026/06/16,二甲苯,华北地区,山东,6350,6550,6450,-125,-1.9%,元/吨,,Xylene_Domestic,3
2026/06/15,二甲苯,华北地区,山东,6550,6600,6575,-165,-2.45%,元/吨,,Xylene_Domestic,3
2026/06/12,二甲苯,华北地区,山东,6730,6750,6740,-50,-0.74%,元/吨,,Xylene_Domestic,3
2026/06/11,二甲苯,华北地区,山东,6730,6850,6790,85,1.27%,元/吨,,Xylene_Domestic,3
2026/06/10,二甲苯,华北地区,山东,6680,6730,6705,-45,-0.67%,元/吨,,Xylene_Domestic,3
2026/06/09,二甲苯,华北地区,山东,6700,6800,6750,-25,-0.37%,元/吨,,Xylene_Domestic,3
2026/06/08,二甲苯,华北地区,山东,6700,6850,6775,25,0.37%,元/吨,,Xylene_Domestic,3
2026/06/05,二甲苯,华北地区,山东,6700,6800,6750,-65,-0.95%,元/吨,,Xylene_Domestic,3
2026/06/04,二甲苯,华北地区,山东,6730,6900,6815,10,0.15%,元/吨,,Xylene_Domestic,3
2026/06/03,二甲苯,华北地区,山东,6730,6880,6805,40,0.59%,元/吨,,Xylene_Domestic,3
2026/06/02,二甲苯,华北地区,山东,6730,6800,6765,15,0.22%,元/吨,,Xylene_Domestic,3
2026/06/01,二甲苯,华北地区,山东,6700,6800,6750,25,0.37%,元/吨,,Xylene_Domestic,3
2026/05/29,二甲苯,华北地区,山东,6690,6760,6725,20,0.3%,元/吨,,Xylene_Domestic,3
2026/05/28,二甲苯,华北地区,山东,6650,6760,6705,-20,-0.3%,元/吨,,Xylene_Domestic,3
2026/05/27,二甲苯,华北地区,山东,6650,6800,6725,-50,-0.74%,元/吨,,Xylene_Domestic,3
2026/05/26,二甲苯,华北地区,山东,6670,6880,6775,-15,-0.22%,元/吨,,Xylene_Domestic,3
2026/05/25,二甲苯,华北地区,山东,6750,6830,6790,-175,-2.51%,元/吨,,Xylene_Domestic,3
2026/05/22,二甲苯,华北地区,山东,6950,6980,6965,0,0%,元/吨,主流出厂,Xylene_Domestic,3
2026/05/21,二甲苯,华北地区,山东,6900,7030,6965,25,0.36%,元/吨,主流出厂,Xylene_Domestic,3
2026/05/20,二甲苯,华北地区,山东,6850,7030,6940,50,0.73%,元/吨,主流出厂,Xylene_Domestic,3
2026/05/19,二甲苯,华北地区,山东,6750,7030,6890,-5,-0.07%,元/吨,主流出厂,Xylene_Domestic,3
2026/05/18,二甲苯,华北地区,山东,6840,6950,6895,45,0.66%,元/吨,主流出厂,Xylene_Domestic,3
2026/05/15,二甲苯,华北地区,山东,6750,6950,6850,0,0%,元/吨,主流出厂,Xylene_Domestic,3
2026/05/14,二甲苯,华北地区,山东,6750,6950,6850,0,0%,元/吨,主流出厂,Xylene_Domestic,3
2026/05/13,二甲苯,华北地区,山东,6750,6950,6850,30,0.44%,元/吨,主流出厂,Xylene_Domestic,3
2026/05/12,二甲苯,华北地区,山东,6750,6890,6820,5,0.07%,元/吨,主流出厂,Xylene_Domestic,3
2026/05/11,二甲苯,华北地区,山东,6700,6930,6815,40,0.59%,元/吨,主流出厂,Xylene_Domestic,3
2026/05/09,二甲苯,华北地区,山东,6650,6900,6775,0,0%,元/吨,主流出厂,Xylene_Domestic,3
2026/05/08,二甲苯,华北地区,山东,6650,6900,6775,-100,-1.45%,元/吨,主流出厂,Xylene_Domestic,3
2026/05/07,二甲苯,华北地区,山东,6750,7000,6875,-75,-1.08%,元/吨,主流出厂,Xylene_Domestic,3
2026/05/06,二甲苯,华北地区,山东,6800,7100,6950,-70,-1%,元/吨,主流出厂,Xylene_Domestic,3
2026/04/30,二甲苯,华北地区,山东,6890,7150,7020,85,1.23%,元/吨,主流出厂,Xylene_Domestic,3
2026/04/29,二甲苯,华北地区,山东,6820,7050,6935,130,1.91%,元/吨,主流出厂,Xylene_Domestic,3
2026/04/28,二甲苯,华北地区,山东,6650,6960,6805,135,2.02%,元/吨,主流出厂,Xylene_Domestic,3
2026/04/27,二甲苯,华北地区,山东,6540,6800,6670,75,1.14%,元/吨,主流出厂,Xylene_Domestic,3
2026/04/24,二甲苯,华北地区,山东,6490,6700,6595,55,0.84%,元/吨,主流出厂,Xylene_Domestic,3
2026/04/23,二甲苯,华北地区,山东,6380,6700,6540,15,0.23%,元/吨,主流出厂,Xylene_Domestic,3
2026/04/22,二甲苯,华北地区,山东,6350,6700,6525,75,1.16%,元/吨,主流出厂,Xylene_Domestic,3
2026/04/21,二甲苯,华北地区,山东,6400,6500,6450,-105,-1.6%,元/吨,主流出厂,Xylene_Domestic,3
