数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/10,二甲苯,华南地区,广东,6150,6200,6175,0,0%,元/吨,,Xylene_Domestic,3
2026/07/09,二甲苯,华南地区,广东,6150,6200,6175,175,2.92%,元/吨,,Xylene_Domestic,3
2026/07/08,二甲苯,华南地区,广东,6000,6000,6000,0,0%,元/吨,,Xylene_Domestic,3
2026/07/07,二甲苯,华南地区,广东,6000,6000,6000,0,0%,元/吨,,Xylene_Domestic,3
2026/07/06,二甲苯,华南地区,广东,6000,6000,6000,0,0%,元/吨,,Xylene_Domestic,3
2026/07/03,二甲苯,华南地区,广东,6000,6000,6000,0,0%,元/吨,,Xylene_Domestic,3
2026/07/02,二甲苯,华南地区,广东,6000,6000,6000,-125,-2.04%,元/吨,,Xylene_Domestic,3
2026/07/01,二甲苯,华南地区,广东,6100,6150,6125,0,0%,元/吨,,Xylene_Domestic,3
2026/06/30,二甲苯,华南地区,广东,6100,6150,6125,0,0%,元/吨,,Xylene_Domestic,3
2026/06/29,二甲苯,华南地区,广东,6100,6150,6125,0,0%,元/吨,,Xylene_Domestic,3
2026/06/26,二甲苯,华南地区,广东,6100,6150,6125,-175,-2.78%,元/吨,,Xylene_Domestic,3
2026/06/25,二甲苯,华南地区,广东,6300,6300,6300,0,0%,元/吨,,Xylene_Domestic,3
2026/06/24,二甲苯,华南地区,广东,6300,6300,6300,-150,-2.33%,元/吨,,Xylene_Domestic,3
2026/06/23,二甲苯,华南地区,广东,6450,6450,6450,0,0%,元/吨,,Xylene_Domestic,3
2026/06/22,二甲苯,华南地区,广东,6450,6450,6450,0,0%,元/吨,,Xylene_Domestic,3
2026/06/18,二甲苯,华南地区,广东,6450,6450,6450,-50,-0.77%,元/吨,,Xylene_Domestic,3
2026/06/17,二甲苯,华南地区,广东,6500,6500,6500,-125,-1.89%,元/吨,,Xylene_Domestic,3
2026/06/16,二甲苯,华南地区,广东,6600,6650,6625,0,0%,元/吨,,Xylene_Domestic,3
2026/06/15,二甲苯,华南地区,广东,6600,6650,6625,-175,-2.57%,元/吨,,Xylene_Domestic,3
2026/06/12,二甲苯,华南地区,广东,6800,6800,6800,-50,-0.73%,元/吨,,Xylene_Domestic,3
2026/06/11,二甲苯,华南地区,广东,6800,6900,6850,0,0%,元/吨,,Xylene_Domestic,3
2026/06/10,二甲苯,华南地区,广东,6800,6900,6850,0,0%,元/吨,,Xylene_Domestic,3
2026/06/09,二甲苯,华南地区,广东,6800,6900,6850,0,0%,元/吨,,Xylene_Domestic,3
2026/06/08,二甲苯,华南地区,广东,6800,6900,6850,0,0%,元/吨,,Xylene_Domestic,3
2026/06/05,二甲苯,华南地区,广东,6800,6900,6850,0,0%,元/吨,,Xylene_Domestic,3
2026/06/04,二甲苯,华南地区,广东,6800,6900,6850,50,0.74%,元/吨,,Xylene_Domestic,3
2026/06/03,二甲苯,华南地区,广东,6800,6800,6800,0,0%,元/吨,,Xylene_Domestic,3
2026/06/02,二甲苯,华南地区,广东,6800,6800,6800,0,0%,元/吨,,Xylene_Domestic,3
2026/06/01,二甲苯,华南地区,广东,6800,6800,6800,-150,-2.16%,元/吨,,Xylene_Domestic,3
2026/05/29,二甲苯,华南地区,广东,6900,7000,6950,0,0%,元/吨,,Xylene_Domestic,3
2026/05/28,二甲苯,华南地区,广东,6900,7000,6950,0,0%,元/吨,,Xylene_Domestic,3
2026/05/27,二甲苯,华南地区,广东,6900,7000,6950,0,0%,元/吨,,Xylene_Domestic,3
2026/05/26,二甲苯,华南地区,广东,6900,7000,6950,-25,-0.36%,元/吨,,Xylene_Domestic,3
2026/05/25,二甲苯,华南地区,广东,6950,7000,6975,-150,-2.11%,元/吨,,Xylene_Domestic,3
2026/05/22,二甲苯,华南地区,广东,7100,7150,7125,-175,-2.4%,元/吨,,Xylene_Domestic,3
2026/05/21,二甲苯,华南地区,广东,7300,7300,7300,0,0%,元/吨,,Xylene_Domestic,3
2026/05/20,二甲苯,华南地区,广东,7300,7300,7300,0,0%,元/吨,,Xylene_Domestic,3
2026/05/19,二甲苯,华南地区,广东,7300,7300,7300,0,0%,元/吨,,Xylene_Domestic,3
2026/05/18,二甲苯,华南地区,广东,7300,7300,7300,75,1.04%,元/吨,,Xylene_Domestic,3
2026/05/15,二甲苯,华南地区,广东,7200,7250,7225,0,0%,元/吨,,Xylene_Domestic,3
2026/05/14,二甲苯,华南地区,广东,7200,7250,7225,0,0%,元/吨,,Xylene_Domestic,3
2026/05/13,二甲苯,华南地区,广东,7200,7250,7225,0,0%,元/吨,,Xylene_Domestic,3
2026/05/12,二甲苯,华南地区,广东,7200,7250,7225,100,1.4%,元/吨,,Xylene_Domestic,3
2026/05/11,二甲苯,华南地区,广东,7100,7150,7125,0,0%,元/吨,,Xylene_Domestic,3
2026/05/09,二甲苯,华南地区,广东,7100,7150,7125,0,0%,元/吨,,Xylene_Domestic,3
2026/05/08,二甲苯,华南地区,广东,7100,7150,7125,-275,-3.72%,元/吨,,Xylene_Domestic,3
2026/05/07,二甲苯,华南地区,广东,7400,7400,7400,-300,-3.9%,元/吨,,Xylene_Domestic,3
2026/05/06,二甲苯,华南地区,广东,7700,7700,7700,100,1.32%,元/吨,,Xylene_Domestic,3
2026/04/30,二甲苯,华南地区,广东,7600,7600,7600,50,0.66%,元/吨,,Xylene_Domestic,3
2026/04/29,二甲苯,华南地区,广东,7500,7600,7550,450,6.34%,元/吨,,Xylene_Domestic,3
2026/04/28,二甲苯,华南地区,广东,7100,7100,7100,0,0%,元/吨,,Xylene_Domestic,3
2026/04/27,二甲苯,华南地区,广东,7100,7100,7100,200,2.9%,元/吨,,Xylene_Domestic,3
2026/04/24,二甲苯,华南地区,广东,6900,6900,6900,150,2.22%,元/吨,,Xylene_Domestic,3
2026/04/23,二甲苯,华南地区,广东,6700,6800,6750,0,0%,元/吨,,Xylene_Domestic,3
2026/04/22,二甲苯,华南地区,广东,6700,6800,6750,-200,-2.88%,元/吨,,Xylene_Domestic,3
2026/04/21,二甲苯,华南地区,广东,6900,7000,6950,-400,-5.44%,元/吨,,Xylene_Domestic,3
2026/04/20,二甲苯,华南地区,广东,7300,7400,7350,0,0%,元/吨,,Xylene_Domestic,3
2026/04/17,二甲苯,华南地区,广东,7300,7400,7350,0,0%,元/吨,,Xylene_Domestic,3
