数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/17,二甲苯,华东地区,张家港,6320,6375,6330,15,0.24%,元/吨,,Xylene_Domestic,3
2026/07/16,二甲苯,华东地区,张家港,6300,6330,6315,5,0.08%,元/吨,,Xylene_Domestic,3
2026/07/15,二甲苯,华东地区,张家港,6300,6320,6310,25,0.4%,元/吨,,Xylene_Domestic,3
2026/07/14,二甲苯,华东地区,张家港,6250,6320,6285,215,3.54%,元/吨,,Xylene_Domestic,3
2026/07/13,二甲苯,华东地区,张家港,6050,6090,6070,80,1.34%,元/吨,,Xylene_Domestic,3
2026/07/10,二甲苯,华东地区,张家港,5960,6020,5990,-45,-0.75%,元/吨,,Xylene_Domestic,3
2026/07/09,二甲苯,华东地区,张家港,6000,6070,6035,110,1.86%,元/吨,,Xylene_Domestic,3
2026/07/08,二甲苯,华东地区,张家港,5900,5950,5925,150,2.6%,元/吨,,Xylene_Domestic,3
2026/07/07,二甲苯,华东地区,张家港,5760,5790,5775,-10,-0.17%,元/吨,,Xylene_Domestic,3
2026/07/06,二甲苯,华东地区,张家港,5770,5800,5785,15,0.26%,元/吨,,Xylene_Domestic,3
2026/07/03,二甲苯,华东地区,张家港,5740,5800,5770,45,0.79%,元/吨,,Xylene_Domestic,3
2026/07/02,二甲苯,华东地区,张家港,5700,5750,5725,-135,-2.3%,元/吨,,Xylene_Domestic,3
2026/07/01,二甲苯,华东地区,张家港,5830,5890,5860,-70,-1.18%,元/吨,,Xylene_Domestic,3
2026/06/30,二甲苯,华东地区,张家港,5910,5950,5930,55,0.94%,元/吨,,Xylene_Domestic,3
2026/06/29,二甲苯,华东地区,张家港,5850,5900,5875,30,0.51%,元/吨,,Xylene_Domestic,3
2026/06/26,二甲苯,华东地区,张家港,5790,5900,5845,-30,-0.51%,元/吨,,Xylene_Domestic,3
2026/06/25,二甲苯,华东地区,张家港,5850,5900,5875,-265,-4.32%,元/吨,,Xylene_Domestic,3
2026/06/24,二甲苯,华东地区,张家港,6050,6230,6140,-175,-2.77%,元/吨,,Xylene_Domestic,3
2026/06/23,二甲苯,华东地区,张家港,6270,6360,6315,-45,-0.71%,元/吨,,Xylene_Domestic,3
2026/06/22,二甲苯,华东地区,张家港,6350,6380,6360,-25,-0.39%,元/吨,,Xylene_Domestic,3
2026/06/18,二甲苯,华东地区,张家港,6370,6400,6385,10,0.16%,元/吨,,Xylene_Domestic,3
2026/06/17,二甲苯,华东地区,张家港,6370,6380,6375,-105,-1.62%,元/吨,,Xylene_Domestic,3
2026/06/16,二甲苯,华东地区,张家港,6450,6510,6480,-90,-1.37%,元/吨,,Xylene_Domestic,3
2026/06/15,二甲苯,华东地区,张家港,6550,6590,6570,-270,-3.95%,元/吨,,Xylene_Domestic,3
2026/06/12,二甲苯,华东地区,张家港,6830,6850,6840,-70,-1.01%,元/吨,,Xylene_Domestic,3
2026/06/11,二甲苯,华东地区,张家港,6900,6920,6910,15,0.22%,元/吨,,Xylene_Domestic,3
2026/06/10,二甲苯,华东地区,张家港,6890,6900,6895,-35,-0.51%,元/吨,,Xylene_Domestic,3
2026/06/09,二甲苯,华东地区,张家港,6910,6950,6930,-10,-0.14%,元/吨,,Xylene_Domestic,3
2026/06/08,二甲苯,华东地区,张家港,6900,6980,6940,30,0.43%,元/吨,,Xylene_Domestic,3
2026/06/05,二甲苯,华东地区,张家港,6890,6930,6910,5,0.07%,元/吨,,Xylene_Domestic,3
2026/06/04,二甲苯,华东地区,张家港,6890,6920,6905,5,0.07%,元/吨,,Xylene_Domestic,3
2026/06/03,二甲苯,华东地区,张家港,6850,6950,6900,55,0.8%,元/吨,,Xylene_Domestic,3
2026/06/02,二甲苯,华东地区,张家港,6820,6870,6845,23,0.34%,元/吨,,Xylene_Domestic,3
2026/06/01,二甲苯,华东地区,张家港,6815,6830,6822,17,0.25%,元/吨,,Xylene_Domestic,3
2026/05/29,二甲苯,华东地区,张家港,6790,6820,6805,-65,-0.95%,元/吨,,Xylene_Domestic,3
2026/05/28,二甲苯,华东地区,张家港,6850,6890,6870,5,0.07%,元/吨,,Xylene_Domestic,3
2026/05/27,二甲苯,华东地区,张家港,6830,6900,6865,-60,-0.87%,元/吨,,Xylene_Domestic,3
2026/05/26,二甲苯,华东地区,张家港,6900,6950,6925,-15,-0.22%,元/吨,,Xylene_Domestic,3
2026/05/25,二甲苯,华东地区,张家港,6830,7050,6940,-185,-2.6%,元/吨,,Xylene_Domestic,3
2026/05/22,二甲苯,华东地区,张家港,7100,7150,7125,-100,-1.38%,元/吨,,Xylene_Domestic,3
2026/05/21,二甲苯,华东地区,张家港,7200,7250,7225,0,0%,元/吨,,Xylene_Domestic,3
2026/05/20,二甲苯,华东地区,张家港,7200,7250,7225,50,0.7%,元/吨,,Xylene_Domestic,3
2026/05/19,二甲苯,华东地区,张家港,7150,7200,7175,-70,-0.97%,元/吨,,Xylene_Domestic,3
2026/05/18,二甲苯,华东地区,张家港,7220,7270,7245,20,0.28%,元/吨,,Xylene_Domestic,3
2026/05/15,二甲苯,华东地区,张家港,7200,7250,7225,15,0.21%,元/吨,,Xylene_Domestic,3
2026/05/14,二甲苯,华东地区,张家港,7170,7250,7210,-55,-0.76%,元/吨,,Xylene_Domestic,3
2026/05/13,二甲苯,华东地区,张家港,7200,7330,7265,105,1.47%,元/吨,,Xylene_Domestic,3
2026/05/12,二甲苯,华东地区,张家港,7130,7190,7160,-15,-0.21%,元/吨,,Xylene_Domestic,3
2026/05/11,二甲苯,华东地区,张家港,7100,7250,7175,155,2.21%,元/吨,,Xylene_Domestic,3
2026/05/09,二甲苯,华东地区,张家港,7010,7030,7020,-45,-0.64%,元/吨,,Xylene_Domestic,3
2026/05/08,二甲苯,华东地区,张家港,7000,7130,7065,-35,-0.49%,元/吨,,Xylene_Domestic,3
2026/05/07,二甲苯,华东地区,张家港,7050,7150,7100,-340,-4.57%,元/吨,,Xylene_Domestic,3
2026/05/06,二甲苯,华东地区,张家港,7430,7450,7440,-235,-3.06%,元/吨,,Xylene_Domestic,3
2026/04/30,二甲苯,华东地区,张家港,7600,7750,7675,115,1.52%,元/吨,,Xylene_Domestic,3
2026/04/29,二甲苯,华东地区,张家港,7470,7650,7560,120,1.61%,元/吨,,Xylene_Domestic,3
2026/04/28,二甲苯,华东地区,张家港,7350,7530,7440,255,3.55%,元/吨,,Xylene_Domestic,3
2026/04/27,二甲苯,华东地区,张家港,7150,7220,7185,200,2.86%,元/吨,,Xylene_Domestic,3
2026/04/24,二甲苯,华东地区,张家港,6970,7000,6985,105,1.53%,元/吨,,Xylene_Domestic,3
2026/04/23,二甲苯,华东地区,张家港,6850,6910,6880,70,1.03%,元/吨,,Xylene_Domestic,3
2026/04/22,二甲苯,华东地区,张家港,6800,6820,6810,-15,-0.22%,元/吨,,Xylene_Domestic,3
2026/04/21,二甲苯,华东地区,张家港,6800,6850,6825,35,0.52%,元/吨,,Xylene_Domestic,3
2026/04/20,二甲苯,华东地区,张家港,6750,6830,6790,-360,-5.03%,元/吨,,Xylene_Domestic,3
