数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/20,二甲苯,华中地区,武汉,6100,6600,6350,0,0%,元/吨,,Xylene_Domestic,3
2026/07/17,二甲苯,华中地区,武汉,6100,6600,6350,0,0%,元/吨,,Xylene_Domestic,3
2026/07/16,二甲苯,华中地区,武汉,6100,6600,6350,100,1.6%,元/吨,,Xylene_Domestic,3
2026/07/15,二甲苯,华中地区,武汉,6000,6500,6250,300,5.04%,元/吨,,Xylene_Domestic,3
2026/07/14,二甲苯,华中地区,武汉,5700,6200,5950,0,0%,元/吨,,Xylene_Domestic,3
2026/07/13,二甲苯,华中地区,武汉,5700,6200,5950,50,0.85%,元/吨,,Xylene_Domestic,3
2026/07/10,二甲苯,华中地区,武汉,5700,6100,5900,0,0%,元/吨,,Xylene_Domestic,3
2026/07/09,二甲苯,华中地区,武汉,5700,6100,5900,300,5.36%,元/吨,,Xylene_Domestic,3
2026/07/08,二甲苯,华中地区,武汉,5400,5800,5600,0,0%,元/吨,,Xylene_Domestic,3
2026/07/07,二甲苯,华中地区,武汉,5400,5800,5600,0,0%,元/吨,,Xylene_Domestic,3
2026/07/06,二甲苯,华中地区,武汉,5400,5800,5600,0,0%,元/吨,,Xylene_Domestic,3
2026/07/03,二甲苯,华中地区,武汉,5400,5800,5600,-25,-0.44%,元/吨,,Xylene_Domestic,3
2026/07/02,二甲苯,华中地区,武汉,5400,5850,5625,-130,-2.26%,元/吨,,Xylene_Domestic,3
2026/07/01,二甲苯,华中地区,武汉,5600,5910,5755,0,0%,元/吨,,Xylene_Domestic,3
2026/06/30,二甲苯,华中地区,武汉,5600,5910,5755,0,0%,元/吨,,Xylene_Domestic,3
2026/06/29,二甲苯,华中地区,武汉,5600,5910,5755,0,0%,元/吨,,Xylene_Domestic,3
2026/06/26,二甲苯,华中地区,武汉,5600,5910,5755,-370,-6.04%,元/吨,,Xylene_Domestic,3
2026/06/25,二甲苯,华中地区,武汉,6000,6250,6125,0,0%,元/吨,,Xylene_Domestic,3
2026/06/24,二甲苯,华中地区,武汉,6000,6250,6125,-25,-0.41%,元/吨,,Xylene_Domestic,3
2026/06/23,二甲苯,华中地区,武汉,6000,6300,6150,-5,-0.08%,元/吨,,Xylene_Domestic,3
2026/06/22,二甲苯,华中地区,武汉,6000,6310,6155,-25,-0.4%,元/吨,,Xylene_Domestic,3
2026/06/18,二甲苯,华中地区,武汉,6000,6360,6180,-525,-7.83%,元/吨,,Xylene_Domestic,3
2026/06/17,二甲苯,华中地区,武汉,6610,6800,6705,0,0%,元/吨,,Xylene_Domestic,3
2026/06/16,二甲苯,华中地区,武汉,6610,6800,6705,-45,-0.67%,元/吨,,Xylene_Domestic,3
2026/06/15,二甲苯,华中地区,武汉,6700,6800,6750,-5,-0.07%,元/吨,,Xylene_Domestic,3
2026/06/12,二甲苯,华中地区,武汉,6700,6810,6755,0,0%,元/吨,,Xylene_Domestic,3
2026/06/11,二甲苯,华中地区,武汉,6700,6810,6755,15,0.22%,元/吨,,Xylene_Domestic,3
2026/06/10,二甲苯,华中地区,武汉,6700,6780,6740,0,0%,元/吨,,Xylene_Domestic,3
