数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/08,正丁醇,华东地区,华东,6100,6150,6125,0,0%,元/吨,,n-Butanol_Domestic,3
2026/07/07,正丁醇,华东地区,华东,6100,6150,6125,200,3.38%,元/吨,,n-Butanol_Domestic,3
2026/07/06,正丁醇,华东地区,华东,5900,5950,5925,100,1.72%,元/吨,,n-Butanol_Domestic,3
2026/07/03,正丁醇,华东地区,华东,5800,5850,5825,0,0%,元/吨,,n-Butanol_Domestic,3
2026/07/02,正丁醇,华东地区,华东,5800,5850,5825,0,0%,元/吨,,n-Butanol_Domestic,3
2026/07/01,正丁醇,华东地区,华东,5800,5850,5825,-100,-1.69%,元/吨,,n-Butanol_Domestic,3
2026/06/30,正丁醇,华东地区,华东,5900,5950,5925,-150,-2.47%,元/吨,,n-Butanol_Domestic,3
2026/06/29,正丁醇,华东地区,华东,6050,6100,6075,-175,-2.8%,元/吨,,n-Butanol_Domestic,3
2026/06/26,正丁醇,华东地区,华东,6250,6250,6250,-125,-1.96%,元/吨,,n-Butanol_Domestic,3
2026/06/25,正丁醇,华东地区,华东,6350,6400,6375,-125,-1.92%,元/吨,,n-Butanol_Domestic,3
2026/06/24,正丁醇,华东地区,华东,6500,6500,6500,-100,-1.52%,元/吨,,n-Butanol_Domestic,3
2026/06/23,正丁醇,华东地区,华东,6600,6600,6600,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/22,正丁醇,华东地区,华东,6600,6600,6600,-125,-1.86%,元/吨,,n-Butanol_Domestic,3
2026/06/18,正丁醇,华东地区,华东,6700,6750,6725,-75,-1.1%,元/吨,,n-Butanol_Domestic,3
2026/06/17,正丁醇,华东地区,华东,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/16,正丁醇,华东地区,华东,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/15,正丁醇,华东地区,华东,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/12,正丁醇,华东地区,华东,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/11,正丁醇,华东地区,华东,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/10,正丁醇,华东地区,华东,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/09,正丁醇,华东地区,华东,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/08,正丁醇,华东地区,华东,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/05,正丁醇,华东地区,华东,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/04,正丁醇,华东地区,华东,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/03,正丁醇,华东地区,华东,6800,6800,6800,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/02,正丁醇,华东地区,华东,6800,6800,6800,-25,-0.37%,元/吨,,n-Butanol_Domestic,3
2026/06/01,正丁醇,华东地区,华东,6800,6850,6825,-25,-0.36%,元/吨,,n-Butanol_Domestic,3
2026/05/29,正丁醇,华东地区,华东,6850,6850,6850,-50,-0.72%,元/吨,,n-Butanol_Domestic,3
2026/05/28,正丁醇,华东地区,华东,6900,6900,6900,-75,-1.08%,元/吨,,n-Butanol_Domestic,3
2026/05/27,正丁醇,华东地区,华东,6950,7000,6975,-75,-1.06%,元/吨,,n-Butanol_Domestic,3
2026/05/26,正丁醇,华东地区,华东,7050,7050,7050,-25,-0.35%,元/吨,,n-Butanol_Domestic,3
2026/05/25,正丁醇,华东地区,华东,7050,7100,7075,-50,-0.7%,元/吨,,n-Butanol_Domestic,3
2026/05/22,正丁醇,华东地区,华东,7100,7150,7125,-50,-0.7%,元/吨,,n-Butanol_Domestic,3
2026/05/21,正丁醇,华东地区,华东,7150,7200,7175,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/20,正丁醇,华东地区,华东,7150,7200,7175,-25,-0.35%,元/吨,,n-Butanol_Domestic,3
2026/05/19,正丁醇,华东地区,华东,7150,7250,7200,-50,-0.69%,元/吨,,n-Butanol_Domestic,3
2026/05/18,正丁醇,华东地区,华东,7200,7300,7250,-150,-2.03%,元/吨,,n-Butanol_Domestic,3
2026/05/15,正丁醇,华东地区,华东,7400,7400,7400,-100,-1.33%,元/吨,,n-Butanol_Domestic,3
2026/05/14,正丁醇,华东地区,华东,7500,7500,7500,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/13,正丁醇,华东地区,华东,7500,7500,7500,-100,-1.32%,元/吨,,n-Butanol_Domestic,3
2026/05/12,正丁醇,华东地区,华东,7600,7600,7600,-50,-0.65%,元/吨,,n-Butanol_Domestic,3
2026/05/11,正丁醇,华东地区,华东,7650,7650,7650,-125,-1.61%,元/吨,,n-Butanol_Domestic,3
2026/05/09,正丁醇,华东地区,华东,7750,7800,7775,-75,-0.96%,元/吨,,n-Butanol_Domestic,3
2026/05/08,正丁醇,华东地区,华东,7850,7850,7850,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/07,正丁醇,华东地区,华东,7850,7850,7850,50,0.64%,元/吨,,n-Butanol_Domestic,3
2026/05/06,正丁醇,华东地区,华东,7800,7850,7800,200,2.63%,元/吨,,n-Butanol_Domestic,3
2026/04/30,正丁醇,华东地区,华东,7600,7650,7600,0,0%,元/吨,,n-Butanol_Domestic,3
2026/04/29,正丁醇,华东地区,华东,7600,7650,7600,0,0%,元/吨,,n-Butanol_Domestic,3
