数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/23,正丁醇,华南地区,华南,6600,6600,6600,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/22,正丁醇,华南地区,华南,6600,6600,6600,-25,-0.38%,元/吨,,n-Butanol_Domestic,3
2026/06/18,正丁醇,华南地区,华南,6600,6650,6625,-75,-1.12%,元/吨,,n-Butanol_Domestic,3
2026/06/17,正丁醇,华南地区,华南,6700,6700,6700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/16,正丁醇,华南地区,华南,6700,6700,6700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/15,正丁醇,华南地区,华南,6700,6700,6700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/12,正丁醇,华南地区,华南,6700,6700,6700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/11,正丁醇,华南地区,华南,6700,6700,6700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/10,正丁醇,华南地区,华南,6700,6700,6700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/09,正丁醇,华南地区,华南,6700,6700,6700,100,1.52%,元/吨,,n-Butanol_Domestic,3
2026/06/08,正丁醇,华南地区,华南,6600,6600,6600,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/05,正丁醇,华南地区,华南,6600,6600,6600,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/04,正丁醇,华南地区,华南,6600,6600,6600,50,0.76%,元/吨,,n-Butanol_Domestic,3
2026/06/03,正丁醇,华南地区,华南,6500,6600,6550,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/02,正丁醇,华南地区,华南,6500,6600,6550,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/01,正丁醇,华南地区,华南,6500,6600,6550,-225,-3.32%,元/吨,,n-Butanol_Domestic,3
2026/05/29,正丁醇,华南地区,华南,6750,6800,6775,-75,-1.09%,元/吨,,n-Butanol_Domestic,3
2026/05/28,正丁醇,华南地区,华南,6800,6900,6850,-50,-0.72%,元/吨,,n-Butanol_Domestic,3
2026/05/27,正丁醇,华南地区,华南,6900,6900,6900,-25,-0.36%,元/吨,,n-Butanol_Domestic,3
2026/05/26,正丁醇,华南地区,华南,6900,6950,6925,-25,-0.36%,元/吨,,n-Butanol_Domestic,3
