数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/17,正丁醇,华北地区,山东,6800,6800,6800,-20,-0.29%,元/吨,,n-Butanol_Domestic,3
2026/07/16,正丁醇,华北地区,山东,6820,6820,6820,20,0.29%,元/吨,,n-Butanol_Domestic,3
2026/07/15,正丁醇,华北地区,山东,6800,6800,6800,200,3.03%,元/吨,,n-Butanol_Domestic,3
2026/07/14,正丁醇,华北地区,山东,6600,6600,6600,50,0.76%,元/吨,,n-Butanol_Domestic,3
2026/07/13,正丁醇,华北地区,山东,6500,6600,6550,-50,-0.76%,元/吨,,n-Butanol_Domestic,3
2026/07/10,正丁醇,华北地区,山东,6600,6600,6600,70,1.07%,元/吨,,n-Butanol_Domestic,3
2026/07/09,正丁醇,华北地区,山东,6500,6560,6530,485,8.02%,元/吨,,n-Butanol_Domestic,3
2026/07/08,正丁醇,华北地区,山东,5900,6190,6045,160,2.72%,元/吨,,n-Butanol_Domestic,3
2026/07/07,正丁醇,华北地区,山东,5800,5970,5885,50,0.86%,元/吨,,n-Butanol_Domestic,3
2026/07/06,正丁醇,华北地区,山东,5800,5870,5835,135,2.37%,元/吨,,n-Butanol_Domestic,3
2026/07/03,正丁醇,华北地区,山东,5700,5700,5700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/07/02,正丁醇,华北地区,山东,5700,5700,5700,-25,-0.44%,元/吨,,n-Butanol_Domestic,3
2026/07/01,正丁醇,华北地区,山东,5700,5750,5725,-50,-0.87%,元/吨,,n-Butanol_Domestic,3
2026/06/30,正丁醇,华北地区,山东,5750,5800,5775,-175,-2.94%,元/吨,,n-Butanol_Domestic,3
2026/06/29,正丁醇,华北地区,山东,5900,6000,5950,-250,-4.03%,元/吨,,n-Butanol_Domestic,3
2026/06/26,正丁醇,华北地区,山东,6200,6200,6200,-100,-1.59%,元/吨,,n-Butanol_Domestic,3
2026/06/25,正丁醇,华北地区,山东,6300,6300,6300,-150,-2.33%,元/吨,,n-Butanol_Domestic,3
2026/06/24,正丁醇,华北地区,山东,6400,6500,6450,-50,-0.77%,元/吨,,n-Butanol_Domestic,3
2026/06/23,正丁醇,华北地区,山东,6500,6500,6500,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/22,正丁醇,华北地区,山东,6500,6500,6500,-50,-0.76%,元/吨,,n-Butanol_Domestic,3
2026/06/18,正丁醇,华北地区,山东,6500,6600,6550,-150,-2.24%,元/吨,,n-Butanol_Domestic,3
2026/06/17,正丁醇,华北地区,山东,6700,6700,6700,-50,-0.74%,元/吨,,n-Butanol_Domestic,3
2026/06/16,正丁醇,华北地区,山东,6700,6800,6750,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/15,正丁醇,华北地区,山东,6700,6800,6750,-50,-0.74%,元/吨,,n-Butanol_Domestic,3
2026/06/12,正丁醇,华北地区,山东,6800,6800,6800,100,1.49%,元/吨,,n-Butanol_Domestic,3
2026/06/11,正丁醇,华北地区,山东,6700,6700,6700,10,0.15%,元/吨,,n-Butanol_Domestic,3
