数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/24,正丁醇,华中地区,河南,6470,6520,6470,20,0.31%,元/吨,,n-Butanol_Domestic,3
2026/06/23,正丁醇,华中地区,河南,6450,6500,6450,-50,-0.77%,元/吨,,n-Butanol_Domestic,3
2026/06/22,正丁醇,华中地区,河南,6500,6550,6500,-150,-2.26%,元/吨,,n-Butanol_Domestic,3
2026/06/18,正丁醇,华中地区,河南,6650,6700,6650,-25,-0.37%,元/吨,,n-Butanol_Domestic,3
2026/06/17,正丁醇,华中地区,河南,6650,6700,6675,-150,-2.2%,元/吨,,n-Butanol_Domestic,3
2026/06/16,正丁醇,华中地区,河南,6800,6850,6825,-100,-1.44%,元/吨,,n-Butanol_Domestic,3
2026/06/15,正丁醇,华中地区,河南,6900,6950,6925,135,1.99%,元/吨,,n-Butanol_Domestic,3
2026/06/12,正丁醇,华中地区,河南,6770,6810,6790,-65,-0.95%,元/吨,,n-Butanol_Domestic,3
2026/06/11,正丁醇,华中地区,河南,6830,6880,6855,105,1.56%,元/吨,,n-Butanol_Domestic,3
2026/06/10,正丁醇,华中地区,河南,6750,6800,6750,30,0.45%,元/吨,,n-Butanol_Domestic,3
2026/06/09,正丁醇,华中地区,河南,6720,6770,6720,20,0.3%,元/吨,,n-Butanol_Domestic,3
2026/06/08,正丁醇,华中地区,河南,6700,6750,6700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/05,正丁醇,华中地区,河南,6650,6750,6700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/04,正丁醇,华中地区,河南,6650,6750,6700,0,0%,元/吨,,n-Butanol_Domestic,3
2026/06/03,正丁醇,华中地区,河南,6650,6750,6700,50,0.75%,元/吨,,n-Butanol_Domestic,3
2026/06/02,正丁醇,华中地区,河南,6600,6700,6650,-100,-1.48%,元/吨,,n-Butanol_Domestic,3
2026/06/01,正丁醇,华中地区,河南,6700,6800,6750,-350,-4.93%,元/吨,,n-Butanol_Domestic,3
2026/05/29,正丁醇,华中地区,河南,7000,7200,7100,-150,-2.07%,元/吨,,n-Butanol_Domestic,3
2026/05/28,正丁醇,华中地区,河南,7100,7400,7250,-100,-1.36%,元/吨,,n-Butanol_Domestic,3
2026/05/27,正丁醇,华中地区,河南,7300,7400,7350,75,1.03%,元/吨,,n-Butanol_Domestic,3
2026/05/26,正丁醇,华中地区,河南,7250,7300,7275,80,1.11%,元/吨,,n-Butanol_Domestic,3
2026/05/25,正丁醇,华中地区,河南,7170,7220,7195,195,2.79%,元/吨,,n-Butanol_Domestic,3
2026/05/22,正丁醇,华中地区,河南,7000,7050,7000,-150,-2.1%,元/吨,,n-Butanol_Domestic,3
2026/05/21,正丁醇,华中地区,河南,7150,7200,7150,0,0%,元/吨,,n-Butanol_Domestic,3
2026/05/20,正丁醇,华中地区,河南,7150,7200,7150,-110,-1.52%,元/吨,,n-Butanol_Domestic,3
