数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/01,正丁醇,中国,中国,979,981,980,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/29,正丁醇,中国,中国,979,981,980,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/28,正丁醇,中国,中国,979,981,980,-10,-1.01%,美元/吨,CFR,n-Butanol,4
2026/05/27,正丁醇,中国,中国,989,991,990,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/26,正丁醇,中国,中国,989,991,990,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/25,正丁醇,中国,中国,989,991,990,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/22,正丁醇,中国,中国,989,991,990,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/21,正丁醇,中国,中国,989,991,990,-30,-2.94%,美元/吨,CFR,n-Butanol,4
2026/05/20,正丁醇,中国,中国,1019,1021,1020,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/19,正丁醇,中国,中国,1019,1021,1020,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/18,正丁醇,中国,中国,1019,1021,1020,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/15,正丁醇,中国,中国,1019,1021,1020,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/14,正丁醇,中国,中国,1019,1021,1020,-10,-0.97%,美元/吨,CFR,n-Butanol,4
2026/05/13,正丁醇,中国,中国,1029,1031,1030,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/12,正丁醇,中国,中国,1029,1031,1030,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/11,正丁醇,中国,中国,1029,1031,1030,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/08,正丁醇,中国,中国,1029,1031,1030,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/07,正丁醇,中国,中国,1029,1031,1030,30,3%,美元/吨,CFR,n-Butanol,4
2026/05/06,正丁醇,中国,中国,999,1001,1000,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/05,正丁醇,中国,中国,999,1001,1000,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/04,正丁醇,中国,中国,999,1001,1000,0,0%,美元/吨,CFR,n-Butanol,4
2026/05/01,正丁醇,中国,中国,999,1001,1000,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/30,正丁醇,中国,中国,999,1001,1000,-40,-3.85%,美元/吨,CFR,n-Butanol,4
2026/04/29,正丁醇,中国,中国,1039,1041,1040,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/28,正丁醇,中国,中国,1039,1041,1040,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/27,正丁醇,中国,中国,1039,1041,1040,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/24,正丁醇,中国,中国,1039,1041,1040,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/23,正丁醇,中国,中国,1039,1041,1040,-5,-0.48%,美元/吨,CFR,n-Butanol,4
2026/04/22,正丁醇,中国,中国,1044,1046,1045,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/21,正丁醇,中国,中国,1044,1046,1045,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/20,正丁醇,中国,中国,1044,1046,1045,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/17,正丁醇,中国,中国,1044,1046,1045,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/16,正丁醇,中国,中国,1044,1046,1045,-5,-0.48%,美元/吨,CFR,n-Butanol,4
2026/04/15,正丁醇,中国,中国,1049,1051,1050,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/14,正丁醇,中国,中国,1049,1051,1050,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/13,正丁醇,中国,中国,1049,1051,1050,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/10,正丁醇,中国,中国,1049,1051,1050,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/09,正丁醇,中国,中国,1049,1051,1050,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/08,正丁醇,中国,中国,1049,1051,1050,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/07,正丁醇,中国,中国,1049,1051,1050,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/06,正丁醇,中国,中国,1049,1051,1050,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/03,正丁醇,中国,中国,1049,1051,1050,0,0%,美元/吨,CFR,n-Butanol,4
2026/04/02,正丁醇,中国,中国,1049,1051,1050,100,10.53%,美元/吨,CFR,n-Butanol,4
2026/04/01,正丁醇,中国,中国,949,951,950,0,0%,美元/吨,CFR,n-Butanol,4
2026/03/31,正丁醇,中国,中国,949,951,950,0,0%,美元/吨,CFR,n-Butanol,4
2026/03/30,正丁醇,中国,中国,949,951,950,0,0%,美元/吨,CFR,n-Butanol,4
2026/03/27,正丁醇,中国,中国,949,951,950,0,0%,美元/吨,CFR,n-Butanol,4
2026/03/26,正丁醇,中国,中国,949,951,950,50,5.56%,美元/吨,CFR,n-Butanol,4
2026/03/25,正丁醇,中国,中国,899,901,900,0,0%,美元/吨,CFR,n-Butanol,4
2026/03/24,正丁醇,中国,中国,899,901,900,0,0%,美元/吨,CFR,n-Butanol,4
2026/03/23,正丁醇,中国,中国,899,901,900,0,0%,美元/吨,CFR,n-Butanol,4
2026/03/20,正丁醇,中国,中国,899,901,900,0,0%,美元/吨,CFR,n-Butanol,4
2026/03/19,正丁醇,中国,中国,899,901,900,0,0%,美元/吨,CFR,n-Butanol,4
2026/03/18,正丁醇,中国,中国,899,901,900,0,0%,美元/吨,CFR,n-Butanol,4
2026/03/17,正丁醇,中国,中国,899,901,900,0,0%,美元/吨,CFR,n-Butanol,4
