数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/01,正丁醇,欧洲,西北欧,1748,1752,1750,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/29,正丁醇,欧洲,西北欧,1748,1752,1750,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/28,正丁醇,欧洲,西北欧,1748,1752,1750,-30,-1.69%,欧元/吨,FD,n-Butanol,4
2026/05/27,正丁醇,欧洲,西北欧,1778,1782,1780,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/26,正丁醇,欧洲,西北欧,1778,1782,1780,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/25,正丁醇,欧洲,西北欧,1778,1782,1780,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/22,正丁醇,欧洲,西北欧,1778,1782,1780,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/21,正丁醇,欧洲,西北欧,1778,1782,1780,-100,-5.32%,欧元/吨,FD,n-Butanol,4
2026/05/20,正丁醇,欧洲,西北欧,1878,1882,1880,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/19,正丁醇,欧洲,西北欧,1878,1882,1880,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/18,正丁醇,欧洲,西北欧,1878,1882,1880,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/15,正丁醇,欧洲,西北欧,1878,1882,1880,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/14,正丁醇,欧洲,西北欧,1878,1882,1880,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/13,正丁醇,欧洲,西北欧,1878,1882,1880,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/12,正丁醇,欧洲,西北欧,1878,1882,1880,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/11,正丁醇,欧洲,西北欧,1878,1882,1880,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/08,正丁醇,欧洲,西北欧,1878,1882,1880,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/07,正丁醇,欧洲,西北欧,1878,1882,1880,-10,-0.53%,欧元/吨,FD,n-Butanol,4
2026/05/06,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/05,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/04,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/05/01,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/04/30,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/04/29,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/04/28,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/04/27,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/04/24,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/04/23,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/04/22,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/04/21,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/04/20,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/04/17,正丁醇,欧洲,西北欧,1888,1892,1890,0,0%,欧元/吨,FD,n-Butanol,4
2026/04/16,正丁醇,欧洲,西北欧,1888,1892,1890,-10,-0.53%,欧元/吨,FD,n-Butanol,4
2026/04/15,正丁醇,欧洲,西北欧,1898,1902,1900,0,0%,欧元/吨,供应紧张,n-Butanol,4
2026/04/14,正丁醇,欧洲,西北欧,1898,1902,1900,0,0%,欧元/吨,供应紧张,n-Butanol,4
2026/04/13,正丁醇,欧洲,西北欧,1898,1902,1900,0,0%,欧元/吨,供应紧张,n-Butanol,4
