数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/17,正丙醇,华东地区,华东,7700,7800,7750,0,0%,元/吨,,n-Propanol_Domestic,3
2026/07/16,正丙醇,华东地区,华东,7700,7800,7750,0,0%,元/吨,,n-Propanol_Domestic,3
2026/07/15,正丙醇,华东地区,华东,7700,7800,7750,200,2.65%,元/吨,,n-Propanol_Domestic,3
2026/07/14,正丙醇,华东地区,华东,7500,7600,7550,0,0%,元/吨,,n-Propanol_Domestic,3
2026/07/13,正丙醇,华东地区,华东,7500,7600,7550,0,0%,元/吨,,n-Propanol_Domestic,3
2026/07/10,正丙醇,华东地区,华东,7500,7600,7550,0,0%,元/吨,,n-Propanol_Domestic,3
2026/07/09,正丙醇,华东地区,华东,7500,7600,7550,0,0%,元/吨,,n-Propanol_Domestic,3
2026/07/08,正丙醇,华东地区,华东,7500,7600,7550,0,0%,元/吨,,n-Propanol_Domestic,3
2026/07/07,正丙醇,华东地区,华东,7500,7600,7550,0,0%,元/吨,,n-Propanol_Domestic,3
2026/07/06,正丙醇,华东地区,华东,7500,7600,7550,0,0%,元/吨,,n-Propanol_Domestic,3
2026/07/03,正丙醇,华东地区,华东,7500,7600,7550,0,0%,元/吨,,n-Propanol_Domestic,3
2026/07/02,正丙醇,华东地区,华东,7500,7600,7550,-75,-0.98%,元/吨,,n-Propanol_Domestic,3
2026/07/01,正丙醇,华东地区,华东,7600,7650,7625,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/30,正丙醇,华东地区,华东,7600,7650,7625,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/29,正丙醇,华东地区,华东,7600,7650,7625,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/26,正丙醇,华东地区,华东,7600,7650,7625,-25,-0.33%,元/吨,,n-Propanol_Domestic,3
2026/06/25,正丙醇,华东地区,华东,7600,7700,7650,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/24,正丙醇,华东地区,华东,7600,7700,7650,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/23,正丙醇,华东地区,华东,7600,7700,7650,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/22,正丙醇,华东地区,华东,7600,7700,7650,-25,-0.33%,元/吨,,n-Propanol_Domestic,3
2026/06/18,正丙醇,华东地区,华东,7650,7700,7675,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/17,正丙醇,华东地区,华东,7650,7700,7675,50,0.66%,元/吨,,n-Propanol_Domestic,3
2026/06/16,正丙醇,华东地区,华东,7600,7650,7625,100,1.33%,元/吨,,n-Propanol_Domestic,3
2026/06/15,正丙醇,华东地区,华东,7500,7550,7525,150,2.03%,元/吨,,n-Propanol_Domestic,3
2026/06/12,正丙醇,华东地区,华东,7350,7400,7375,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/11,正丙醇,华东地区,华东,7350,7400,7375,50,0.68%,元/吨,,n-Propanol_Domestic,3
2026/06/10,正丙醇,华东地区,华东,7300,7350,7325,-25,-0.34%,元/吨,,n-Propanol_Domestic,3
2026/06/09,正丙醇,华东地区,华东,7300,7400,7350,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/08,正丙醇,华东地区,华东,7300,7400,7350,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/05,正丙醇,华东地区,华东,7300,7400,7350,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/04,正丙醇,华东地区,华东,7300,7400,7350,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/03,正丙醇,华东地区,华东,7300,7400,7350,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/02,正丙醇,华东地区,华东,7300,7400,7350,0,0%,元/吨,,n-Propanol_Domestic,3
2026/06/01,正丙醇,华东地区,华东,7300,7400,7350,0,0%,元/吨,,n-Propanol_Domestic,3
2026/05/29,正丙醇,华东地区,华东,7300,7400,7350,0,0%,元/吨,,n-Propanol_Domestic,3
2026/05/28,正丙醇,华东地区,华东,7300,7400,7350,0,0%,元/吨,,n-Propanol_Domestic,3
2026/05/27,正丙醇,华东地区,华东,7300,7400,7350,0,0%,元/吨,,n-Propanol_Domestic,3
2026/05/26,正丙醇,华东地区,华东,7300,7400,7350,0,0%,元/吨,,n-Propanol_Domestic,3
2026/05/25,正丙醇,华东地区,华东,7300,7400,7350,100,1.38%,元/吨,,n-Propanol_Domestic,3
2026/05/22,正丙醇,华东地区,华东,7200,7300,7250,-50,-0.68%,元/吨,,n-Propanol_Domestic,3
2026/05/21,正丙醇,华东地区,华东,7200,7400,7300,0,0%,元/吨,,n-Propanol_Domestic,3
2026/05/20,正丙醇,华东地区,华东,7200,7400,7300,0,0%,元/吨,库提现汇,n-Propanol_Domestic,3
2026/05/19,正丙醇,华东地区,华东,7200,7400,7300,0,0%,元/吨,库提现汇,n-Propanol_Domestic,3
2026/05/18,正丙醇,华东地区,华东,7200,7400,7300,0,0%,元/吨,库提现汇,n-Propanol_Domestic,3
2026/05/15,正丙醇,华东地区,华东,7200,7400,7300,-100,-1.35%,元/吨,库提现汇,n-Propanol_Domestic,3
2026/05/14,正丙醇,华东地区,华东,7300,7500,7400,-200,-2.63%,元/吨,库提现汇,n-Propanol_Domestic,3
